@PartitionA
r1 , r2 , r3 , r4 , r5 , r6 , r7 , r8 , r9 , r10 , r11 , r12 , r13 , r14 , r15 , r16 , r17 , r18 , r19 , r20 , r21 , r22 , r23 , r24 , r25 , r26 , r27 , r28 , r29 , r30 , r31 , r32 , r33 , r34 , r35 , r36 , r37 , r38 , r39 , r40 , r41 , r42 , r43 , r44 , r45 , r46 , r47 , r48 , r49 , r50 , r51 , r52 , r53 , r54 , r55 , r56 , r57 , r58 , r59 , r60 , r61 , r62 , r63 , r64 , r65 , r66 , r67 , r68 , r69 , r70 , r71 , r72 , r73 , r74 , r75 , r76 , r77 , r78 , r79 , r80 , r81 , r82 , r83 , r84 , r85 , r86 , r87 , r88 , r89 , r90 , r91 , r92 , r93 , r94 , r95 , r96 , r97 , r98 , r99 , r100 , r101 , r102 , r103 , r104 , r105 , r106 , r107 , r108 , r109 , r110 , r111 , r112 , r113 , r114 , r115 , r116 , r117 , r118 , r119 , r120 , r121 , r122 , r123 , r124 , r125 , r126 , r127 , r128 , r129 , r130 , r131 , r132 , r133 , r134 , r135 , r136 , r137 , r138 , r139 , r140 , r141 , r142 , r143 , r144 , r145 , r146 , r147 , r148 , r149 , r150 , r151 , r152 , r153 , r154 , r155 , r156 , r157 , r158 , r159 , r160 , r161 , r162 , r163 , r164 , r165 , r166 , r167 , r168 , r169 , r170 , r171 , r172 , r173 , r174 , r175 , r176 , r177 , r178 , r179 , r180 , r181 , r182 , r183 , r184 , r185 , r186 , r187 , r188 , r189 , r190 , r191 , r192 , r193 , r194 , r195 , r196 , r197 , r198 , r199 , r200 , r201 , r202 , r203 , r204 , r205 , r206 , r207 , r208 , r209 , r210 , r211 , r212 , r213 , r214 , r215 , r216 , r217 , r218 , r219 , r220 , r221 , r222 , r223 , r224 , r225 , r226 , r227 , r228 , r229 , r230 , r231 , r232 , r233 , r234 , r235 , r236 , r237 , r238 , r239 , r240 , r241 , r242 , r243 , r244 , r245 , r246 , r247 , r248 , r249 , r250 , r251 , r252 , r253 , r254 , r255 , r256 , r257 , r258 , r259 , r260 , r261 , r262 , r263 , r264 , r265 , r266 , r267 , r268 , r269 , r270 , r271 , r272 , r273 , r274 , r275 , r276 , r277 , r278 , r279 , r280 , r281 , r282 , r283 , r284 , r285 , r286 , r287 , r288 , r289 , r290 , r291 , r292 , r293 , r294 , r295 , r296 , r297 , r298 , r299 , r300 , r301 , r302 , r303 , r304 , r305 , r306 , r307 , r308 , r309 , r310 , r311 , r312 , r313 , r314 , r315 , r316 , r317 , r318 , r319 , r320 , r321 , r322 , r323 , r324 , r325 , r326 , r327 , r328 , r329 , r330 , r331 , r332 , r333 , r334 , r335 , r336 , r337 , r338 , r339 , r340 , r341 , r342 , r343 , r344 , r345 , r346 , r347 , r348 , r349 , r350 , r351 , r352 , r353 , r354 , r355 , r356 , r357 , r358 , r359 , r360 , r361 , r362 , r363 , r364 , r365 , r366 , r367 , r368 , r369 , r370 , r371 , r372 , r373 , r374 , r375 , r376 , r377 , r378 , r379 , r380 , r381 , r382 , r383 , r384 , r385 , r386 , r387 , r388 , r389 , r390 , r391 , r392 , r393 , r394 , r395 , r396 , r397 , r398 , r399 , r400 , r401 , r402 , r403 , r404 , r405 , r406 , r407 , r408 , r409 , r410 , r411 , r412 , r413 , r414 , r415 , r416 , r417 , r418 , r419 , r420 , r421 , r422 , r423 , r424 , r425 , r426 , r427 , r428 , r429 , r430 , r431 , r432 , r433 , r434 , r435 , r436 , r437 , r438 , r439 , r440 , r441 , r442 , r443 , r444 , r445 , r446 , r447 , r448 , r449 , r450 , r451 , r452 , r453 , r454 , r455 , r456 , r457 , r458 , r459 , r460 , r461 , r462 , r463 , r464 , r465 , r466 , r467 , r468 , r469 , r470 , r471 , r472 , r473 , r474 , r475 , r476 , r477 , r478 , r479 , r480 , r481 , r482 , r483 , r484 , r485 , r486 , r487 , r488 , r489 , r490 , r491 , r492 , r493 , r494 , r495 , r496 , r497 , r498 , r499 , r500 , r501 , r502 , r503 , r504 , r505 , r506 , r507 , r508 , r509 , r510 , r511 , r512 , r513 , r514 , r515 , r516 , r517 , r518 , r519 , r520 , r521 , r522 , r523 , r524 , r525 , r526 , r527 , r528 , r529 , r530 , r531 , r532 , r533 , r534 , r535 , r536 , r537 , r538 , r539 , r540 , r541 , r542 , r543 , r544 , r545 , r546 , r547 , r548 , r549 , r550 , r551 , r552 , r553 , r554 , r555 , r556 , r557 , r558 , r559 , r560 , r561 , r562 , r563 , r564 , r565 , r566 , r567 , r568 , r569 , r570 , r571 , r572 , r573 , r574 , r575 , r576 , r577 , r578 , r579 , r580 , r581 , r582 , r583 , r584 , r585 , r586 , r587 , r588 , r589 , r590 , r591 , r592 , r593 , r594 , r595 , r596 , r597 , r598 , r599 , r600 , r601 , r602 , r603 , r604 , r605 , r606 , r607 , r608 , r609 , r610 , r611 , r612 , r613 , r614 , r615 , r616 , r617 , r618 , r619 , r620 , r621 , r622 , r623 , r624 , r625 , r626 , r627 , r628 , r629 , r630 , r631 , r632 , r633 , r634 , r635 , r636 , r637 , r638 , r639 , r640 , r641 , r642 , r643 , r644 , r645 , r646 , r647 , r648 , r649 , r650 , r651 , r652 , r653 , r654 , r655 , r656 , r657 , r658 , r659 , r660 , r661 , r662 , r663 , r664 , r665 , r666 , r667 , r668 , r669 , r670 , r671 , r672 , r673 , r674 , r675 , r676 , r677 , r678 , r679 , r680 , r681 , r682 , r683 , r684 , r685 , r686 , r687 , r688 , r689 , r690 , r691 , r692 , r693 , r694 , r695 , r696 , r697 , r698 , r699 , r700 , r701 , r702 , r703 , r704 , r705 , r706 , r707 , r708 , r709 , r710 , r711 , r712 , r713 , r714 , r715 , r716 , r717 , r718 , r719 , r720 , r721 , r722 , r723 , r724 , r725 , r726 , r727 , r728 , r729 , r730 , r731 , r732 , r733 , r734 , r735 , r736 , r737 , r738 , r739 , r740 , r741 , r742 , r743 , r744 , r745 , r746 , r747 , r748 , r749 , r750 , r751 , r752 , r753 , r754 , r755 , r756 , r757 , r758 , r759 , r760 , r761 , r762 , r763 , r764 , r765 , r766 , r767 , r768 , r769 , r770 , r771 , r772 , r773 , r774 , r775 , r776 , r777 , r778 , r779 , r780 , r781 , r782 , r783 , r784 , r785 , r786 , r787 , r788 , r789 , r790 , r791 , r792 , r793 , r794 , r795 , r796 , r797 , r798 , r799 , r800 , r801 , r802 , r803 , r804 , r805 , r806 , r807 , r808 , r809 , r810 , r811 , r812 , r813 , r814 , r815 , r816 , r817 , r818 , r819 , r820 , r821 , r822 , r823 , r824 , r825 , r826 , r827 , r828 , r829 , r830 , r831 , r832 , r833 , r834 , r835 , r836 , r837 , r838 , r839 , r840 , r841 , r842 , r843 , r844 , r845 , r846 , r847 , r848 , r849 , r850 , r851 , r852 , r853 , r854 , r855 , r856 , r857 , r858 , r859 , r860 , r861 , r862 , r863 , r864 , r865 , r866 , r867 , r868 , r869 , r870 , r871 , r872 , r873 , r874 , r875 , r876 , r877 , r878 , r879 , r880 , r881 , r882 , r883 , r884 , r885 , r886 , r887 , r888 , r889 , r890 , r891 , r892 , r893 , r894 , r895 , r896 , r897 , r898 , r899 , r900 , r901 , r902 , r903 , r904 , r905 , r906 , r907 , r908 , r909 , r910 , r911 , r912 , r913 , r914 , r915 , r916 , r917 , r918 , r919 , r920 , r921 , r922 , r923 , r924 , r925 , r926 , r927 , r928 , r929 , r930 , r931 , r932 , r933 , r934 , r935 , r936 , r937 , r938 , r939 , r940 , r941 , r942 , r943 , r944 , r945 , r946 , r947 , r948 , r949 , r950 , r951 , r952 , r953 , r954 , r955 , r956 , r957 , r958 , r959 , r960 , r961 , r962 , r963 , r964 , r965 , r966 , r967 , r968 , r969 , r970 , r971 , r972 , r973 , r974 , r975 , r976 , r977 , r978 , r979 , r980 , r981 , r982 , r983 , r984 , r985 , r986 , r987 , r988 , r989 , r990 , r991 , r992 , r993 , r994 , r995 , r996 , r997 , r998 , r999 , r1000  ;
@End

@PartitionB
h53 (10), h62 (10), h66 (10), h67 (10), h4 (10), h76 (10), h23 (10), h36 (10), h68 (10), h29 (10), h82 (10), h74 (10), h33 (10), h77 (10), h34 (10), h9 (10), h48 (10), h20 (10), h92 (10), h78 (10), h13 (10), h72 (10), h42 (10), h41 (10), h83 (10), h54 (10), h3 (10), h16 (10), h6 (10), h100 (10), h91 (10), h93 (10), h71 (10), h18 (10), h51 (10), h58 (10), h38 (10), h59 (10), h15 (10), h99 (10), h52 (10), h19 (10), h11 (10), h86 (10), h85 (10), h24 (10), h80 (10), h30 (10), h81 (10), h7 (10), h79 (10), h65 (10), h22 (10), h55 (10), h88 (10), h89 (10), h12 (10), h21 (10), h25 (10), h87 (10), h64 (10), h94 (10), h32 (10), h98 (10), h14 (10), h47 (10), h90 (10), h70 (10), h69 (10), h44 (10), h49 (10), h84 (10), h37 (10), h56 (10), h43 (10), h10 (10), h96 (10), h97 (10), h39 (10), h46 (10), h40 (10), h50 (10), h61 (10), h17 (10), h8 (10), h45 (10), h95 (10), h57 (10), h35 (10), h75 (10), h28 (10), h31 (10), h60 (10), h1 (10), h26 (10), h2 (10), h63 (10), h5 (10), h73 (10), h27 (10) ;
@End

@PreferenceListsA
r1 : h97, h17, h70, h93, h100 ;
r2 : h7, h78, h72, h57, h50 ;
r3 : h48, h40, h67, h52, h1 ;
r4 : h12, h8, h78, h62, h26 ;
r5 : h75, h58, h81, h94, h7 ;
r6 : h9, h42, h99, h100, h66 ;
r7 : h48, h36, h57, h1, h40 ;
r8 : h48, h3, h24, h39, h100 ;
r9 : h26, h95, h63, h50, h45 ;
r10 : h9, h17, h58, h78, h82 ;
r11 : h85, h75, h78, h32, h6 ;
r12 : h59, h19, h94, h48, h50 ;
r13 : h78, h100, h2, h59, h94 ;
r14 : h29, h18, h98, h99, h1 ;
r15 : h26, h50, h62, h90, h58 ;
r16 : h17, h100, h69, h81, h13 ;
r17 : h73, h2, h53, h70, h47 ;
r18 : h96, h50, h9, h100, h23 ;
r19 : h75, h82, h17, h96, h29 ;
r20 : h1, h22, h90, h53, h86 ;
r21 : h38, h97, h48, h39, h52 ;
r22 : h34, h25, h14, h94, h41 ;
r23 : h77, h94, h50, h34, h61 ;
r24 : h5, h100, h74, h45, h85 ;
r25 : h50, h59, h48, h62, h53 ;
r26 : h13, h73, h9, h32, h40 ;
r27 : h7, h4, h39, h15, h99 ;
r28 : h75, h50, h92, h36, h62 ;
r29 : h50, h89, h33, h80, h32 ;
r30 : h50, h47, h57, h80, h66 ;
r31 : h8, h87, h100, h70, h39 ;
r32 : h72, h70, h29, h25, h47 ;
r33 : h81, h14, h46, h44, h77 ;
r34 : h78, h46, h50, h18, h66 ;
r35 : h9, h22, h60, h53, h38 ;
r36 : h47, h68, h9, h96, h54 ;
r37 : h39, h94, h22, h71, h17 ;
r38 : h9, h32, h73, h18, h59 ;
r39 : h74, h59, h7, h78, h17 ;
r40 : h44, h32, h50, h77, h24 ;
r41 : h1, h45, h11, h59, h8 ;
r42 : h6, h68, h32, h18, h63 ;
r43 : h5, h62, h1, h25, h18 ;
r44 : h58, h36, h77, h99, h47 ;
r45 : h59, h48, h69, h76, h17 ;
r46 : h1, h50, h47, h100, h9 ;
r47 : h6, h9, h50, h26, h17 ;
r48 : h66, h100, h3, h77, h9 ;
r49 : h62, h24, h22, h33, h47 ;
r50 : h6, h48, h94, h62, h77 ;
r51 : h48, h50, h25, h98, h18 ;
r52 : h50, h46, h40, h74, h45 ;
r53 : h1, h58, h100, h6, h50 ;
r54 : h92, h17, h33, h29, h82 ;
r55 : h39, h99, h18, h77, h38 ;
r56 : h32, h1, h9, h59, h94 ;
r57 : h9, h62, h38, h7, h22 ;
r58 : h95, h9, h70, h5, h22 ;
r59 : h99, h17, h59, h15, h78 ;
r60 : h100, h39, h9, h5, h59 ;
r61 : h1, h32, h94, h78, h75 ;
r62 : h58, h18, h96, h39, h1 ;
r63 : h45, h47, h99, h53, h7 ;
r64 : h77, h73, h75, h85, h100 ;
r65 : h97, h38, h75, h9, h69 ;
r66 : h97, h100, h62, h17, h37 ;
r67 : h50, h9, h100, h8, h17 ;
r68 : h17, h1, h46, h62, h44 ;
r69 : h30, h57, h62, h29, h18 ;
r70 : h50, h24, h17, h48, h77 ;
r71 : h45, h93, h3, h14, h54 ;
r72 : h25, h99, h94, h1, h41 ;
r73 : h8, h2, h18, h100, h94 ;
r74 : h9, h17, h6, h53, h90 ;
r75 : h81, h79, h70, h96, h21 ;
r76 : h50, h92, h85, h18, h39 ;
r77 : h39, h97, h30, h62, h100 ;
r78 : h25, h22, h99, h48, h9 ;
r79 : h39, h86, h34, h70, h59 ;
r80 : h9, h16, h14, h97, h62 ;
r81 : h53, h25, h82, h62, h77 ;
r82 : h58, h39, h13, h59, h47 ;
r83 : h9, h33, h1, h96, h65 ;
r84 : h95, h38, h29, h30, h33 ;
r85 : h100, h58, h9, h14, h17 ;
r86 : h70, h28, h41, h38, h73 ;
r87 : h53, h89, h22, h45, h100 ;
r88 : h45, h48, h33, h9, h37 ;
r89 : h17, h47, h22, h7, h18 ;
r90 : h100, h99, h78, h57, h77 ;
r91 : h50, h82, h18, h25, h99 ;
r92 : h9, h62, h57, h50, h48 ;
r93 : h22, h53, h82, h18, h25 ;
r94 : h90, h50, h78, h97, h39 ;
r95 : h62, h54, h46, h97, h1 ;
r96 : h25, h16, h29, h50, h58 ;
r97 : h7, h70, h36, h58, h53 ;
r98 : h18, h90, h14, h92, h45 ;
r99 : h25, h40, h9, h48, h47 ;
r100 : h9, h65, h62, h82, h99 ;
r101 : h38, h6, h100, h9, h62 ;
r102 : h96, h6, h50, h24, h1 ;
r103 : h50, h62, h17, h48, h58 ;
r104 : h59, h62, h53, h1, h17 ;
r105 : h100, h90, h85, h1, h97 ;
r106 : h13, h1, h86, h34, h96 ;
r107 : h17, h91, h2, h46, h92 ;
r108 : h73, h7, h35, h29, h25 ;
r109 : h85, h62, h93, h21, h32 ;
r110 : h67, h24, h70, h38, h12 ;
r111 : h50, h25, h22, h70, h33 ;
r112 : h39, h59, h12, h78, h45 ;
r113 : h17, h51, h99, h2, h49 ;
r114 : h94, h71, h18, h74, h50 ;
r115 : h55, h97, h8, h93, h3 ;
r116 : h94, h58, h73, h79, h67 ;
r117 : h16, h100, h78, h71, h82 ;
r118 : h48, h2, h26, h1, h9 ;
r119 : h45, h9, h68, h43, h82 ;
r120 : h75, h77, h45, h18, h96 ;
r121 : h9, h67, h18, h93, h62 ;
r122 : h70, h77, h8, h5, h100 ;
r123 : h97, h53, h59, h44, h39 ;
r124 : h11, h100, h63, h17, h96 ;
r125 : h78, h50, h99, h45, h77 ;
r126 : h100, h5, h45, h2, h33 ;
r127 : h18, h48, h9, h94, h58 ;
r128 : h18, h17, h90, h99, h22 ;
r129 : h22, h77, h57, h48, h68 ;
r130 : h44, h86, h75, h97, h9 ;
r131 : h57, h82, h1, h71, h59 ;
r132 : h1, h32, h91, h73, h18 ;
r133 : h50, h17, h39, h1, h100 ;
r134 : h99, h92, h96, h90, h22 ;
r135 : h1, h100, h85, h39, h34 ;
r136 : h100, h92, h39, h95, h32 ;
r137 : h50, h51, h38, h57, h62 ;
r138 : h45, h50, h7, h18, h25 ;
r139 : h8, h63, h100, h5, h59 ;
r140 : h100, h65, h17, h32, h97 ;
r141 : h39, h50, h94, h81, h55 ;
r142 : h59, h94, h75, h85, h29 ;
r143 : h38, h99, h50, h100, h25 ;
r144 : h17, h100, h70, h41, h2 ;
r145 : h38, h86, h50, h18, h59 ;
r146 : h25, h50, h78, h8, h45 ;
r147 : h62, h83, h73, h48, h29 ;
r148 : h100, h32, h5, h56, h85 ;
r149 : h9, h48, h75, h95, h100 ;
r150 : h96, h45, h81, h78, h44 ;
r151 : h93, h96, h17, h1, h71 ;
r152 : h66, h1, h51, h100, h77 ;
r153 : h48, h39, h61, h52, h62 ;
r154 : h22, h24, h17, h39, h50 ;
r155 : h9, h75, h57, h17, h85 ;
r156 : h2, h90, h14, h33, h50 ;
r157 : h85, h14, h68, h7, h84 ;
r158 : h7, h50, h39, h92, h100 ;
r159 : h82, h9, h22, h25, h5 ;
r160 : h92, h71, h54, h62, h72 ;
r161 : h64, h53, h63, h44, h62 ;
r162 : h62, h44, h1, h99, h26 ;
r163 : h22, h40, h82, h66, h73 ;
r164 : h62, h74, h93, h95, h99 ;
r165 : h55, h8, h100, h6, h65 ;
r166 : h61, h44, h63, h1, h14 ;
r167 : h99, h45, h48, h36, h2 ;
r168 : h22, h77, h100, h62, h17 ;
r169 : h62, h16, h52, h33, h18 ;
r170 : h65, h8, h50, h59, h9 ;
r171 : h75, h59, h18, h58, h81 ;
r172 : h39, h1, h17, h65, h59 ;
r173 : h17, h93, h38, h88, h78 ;
r174 : h22, h62, h32, h93, h14 ;
r175 : h93, h17, h66, h94, h99 ;
r176 : h51, h31, h94, h9, h29 ;
r177 : h93, h9, h62, h61, h65 ;
r178 : h8, h65, h45, h100, h85 ;
r179 : h82, h92, h100, h45, h47 ;
r180 : h100, h91, h39, h65, h57 ;
r181 : h17, h62, h22, h100, h59 ;
r182 : h46, h50, h8, h6, h41 ;
r183 : h48, h32, h53, h59, h17 ;
r184 : h32, h93, h100, h39, h18 ;
r185 : h68, h9, h45, h99, h90 ;
r186 : h77, h1, h29, h41, h13 ;
r187 : h22, h73, h38, h17, h32 ;
r188 : h17, h15, h100, h39, h68 ;
r189 : h54, h33, h89, h75, h73 ;
r190 : h61, h13, h50, h2, h62 ;
r191 : h83, h9, h75, h18, h54 ;
r192 : h47, h69, h54, h92, h44 ;
r193 : h1, h47, h18, h73, h45 ;
r194 : h89, h45, h17, h75, h54 ;
r195 : h9, h25, h54, h79, h33 ;
r196 : h66, h93, h22, h90, h9 ;
r197 : h92, h39, h65, h38, h100 ;
r198 : h90, h80, h79, h6, h58 ;
r199 : h25, h100, h79, h81, h45 ;
r200 : h38, h85, h45, h49, h24 ;
r201 : h73, h62, h1, h2, h14 ;
r202 : h18, h49, h47, h59, h91 ;
r203 : h70, h1, h9, h59, h62 ;
r204 : h94, h39, h44, h1, h100 ;
r205 : h70, h100, h63, h99, h1 ;
r206 : h18, h92, h1, h99, h36 ;
r207 : h13, h79, h29, h27, h6 ;
r208 : h27, h85, h39, h93, h7 ;
r209 : h9, h97, h17, h59, h1 ;
r210 : h100, h9, h79, h22, h80 ;
r211 : h18, h50, h62, h99, h78 ;
r212 : h84, h26, h77, h37, h94 ;
