@PartitionA
r467 , r100 , r488 , r244 , r595 , r945 , r49 , r923 , r866 , r653 , r238 , r378 , r311 , r411 , r747 , r766 , r229 , r994 , r76 , r34 , r320 , r884 , r109 , r15 , r468 , r199 , r62 , r864 , r910 , r19 , r580 , r825 , r358 , r619 , r159 , r32 , r556 , r115 , r784 , r134 , r129 , r508 , r978 , r605 , r644 , r397 , r507 , r750 , r787 , r898 , r9 , r807 , r811 , r387 , r302 , r344 , r661 , r1 , r817 , r889 , r612 , r382 , r410 , r375 , r977 , r233 , r534 , r896 , r210 , r234 , r296 , r545 , r853 , r112 , r87 , r535 , r420 , r475 , r904 , r257 , r265 , r805 , r509 , r957 , r841 , r462 , r892 , r815 , r876 , r504 , r83 , r197 , r783 , r57 , r837 , r42 , r647 , r284 , r408 , r35 , r721 , r96 , r839 , r703 , r489 , r98 , r755 , r725 , r593 , r776 , r592 , r922 , r342 , r479 , r443 , r824 , r912 , r303 , r38 , r168 , r546 , r562 , r933 , r379 , r490 , r678 , r75 , r105 , r561 , r954 , r980 , r713 , r942 , r252 , r394 , r401 , r181 , r193 , r128 , r84 , r553 , r694 , r88 , r863 , r547 , r80 , r18 , r697 , r616 , r184 , r718 , r178 , r362 , r421 , r521 , r161 , r865 , r103 , r972 , r448 , r939 , r611 , r453 , r108 , r288 , r142 , r844 , r313 , r312 , r607 , r596 , r171 , r788 , r260 , r63 , r517 , r575 , r799 , r352 , r400 , r261 , r654 , r150 , r936 , r794 , r258 , r127 , r480 , r513 , r850 , r191 , r22 , r819 , r198 , r610 , r705 , r808 , r615 , r423 , r698 , r751 , r152 , r253 , r107 , r458 , r594 , r690 , r341 , r646 , r770 , r355 , r327 , r720 , r937 , r692 , r291 , r540 , r539 , r598 , r888 , r187 , r879 , r631 , r962 , r149 , r2 , r514 , r447 , r760 , r236 , r656 , r883 , r903 , r28 , r30 , r224 , r226 , r217 , r786 , r14 , r541 , r555 , r687 , r909 , r365 , r324 , r41 , r989 , r11 , r183 , r77 , r608 , r101 , r104 , r579 , r997 , r216 , r278 , r570 , r822 , r396 , r281 , r798 , r557 , r987 , r359 , r275 , r682 , r166 , r478 , r169 , r964 , r588 , r560 , r130 , r445 , r243 , r151 , r650 , r800 , r415 , r890 , r658 , r809 , r686 , r618 , r627 , r665 , r767 , r70 , r27 , r12 , r185 , r472 , r586 , r638 , r33 , r285 , r548 , r446 , r133 , r267 , r642 , r1000 , r623 , r106 , r172 , r781 , r435 , r56 , r227 , r92 , r859 , r123 , r953 , r461 , r433 , r125 , r322 , r550 , r310 , r552 , r525 , r554 , r406 , r969 , r102 , r237 , r696 , r830 , r604 , r927 , r511 , r861 , r867 , r314 , r899 , r6 , r812 , r179 , r699 , r454 , r317 , r882 , r239 , r693 , r373 , r995 , r708 , r273 , r173 , r893 , r491 , r418 , r753 , r832 , r71 , r722 , r763 , r43 , r833 , r136 , r944 , r872 , r589 , r775 , r164 , r54 , r842 , r930 , r366 , r126 , r984 , r17 , r992 , r232 , r440 , r163 , r282 , r527 , r248 , r769 , r530 , r116 , r643 , r44 , r328 , r648 , r297 , r73 , r975 , r3 , r74 , r391 , r450 , r531 , r857 , r520 , r52 , r702 , r880 , r597 , r121 , r620 , r276 , r946 , r298 , r367 , r874 , r947 , r175 , r231 , r160 , r386 , r916 , r998 , r13 , r241 , r704 , r932 , r334 , r645 , r938 , r917 , r806 , r926 , r715 , r966 , r131 , r203 , r254 , r471 , r785 , r524 , r295 , r663 , r58 , r274 , r31 , r29 , r797 , r147 , r40 , r167 , r340 , r752 , r259 , r955 , r497 , r707 , r652 , r711 , r162 , r428 , r818 , r835 , r113 , r838 , r395 , r858 , r958 , r306 , r731 , r280 , r286 , r485 , r590 , r141 , r913 , r660 , r463 , r943 , r412 , r666 , r246 , r194 , r413 , r710 , r209 , r403 , r451 , r529 , r99 , r576 , r827 , r965 , r617 , r578 , r813 , r843 , r680 , r140 , r976 , r662 , r761 , r299 , r778 , r959 , r993 , r442 , r810 , r318 , r8 , r625 , r200 , r263 , r495 , r727 , r482 , r114 , r251 , r569 , r380 , r738 , r346 , r439 , r585 , r952 , r730 , r641 , r526 , r974 , r220 , r759 , r777 , r348 , r357 , r498 , r743 , r855 , r144 , r496 , r820 , r940 , r388 , r24 , r510 , r821 , r655 , r372 , r156 , r247 , r250 , r635 , r674 , r614 , r405 , r862 , r764 , r587 , r836 , r901 , r914 , r211 , r741 , r793 , r97 , r195 , r915 , r677 , r685 , r780 , r846 , r158 , r637 , r979 , r290 , r7 , r505 , r572 , r908 , r676 , r907 , r528 , r180 , r385 , r963 , r502 , r840 , r949 , r223 , r518 , r664 , r990 , r567 , r771 , r873 , r361 , r499 , r709 , r364 , r148 , r999 , r186 , r745 , r72 , r369 , r516 , r701 , r629 , r791 , r483 , r68 , r886 , r960 , r5 , r292 , r675 , r89 , r464 , r891 , r982 , r816 , r829 , r289 , r473 , r153 , r493 , r919 , r728 , r376 , r768 , r667 , r895 , r568 , r301 , r559 , r860 , r269 , r430 , r204 , r887 , r897 , r773 , r935 , r85 , r277 , r398 , r688 , r228 , r834 , r287 , r522 , r414 , r823 , r323 , r533 , r564 , r363 , r729 , r803 , r795 , r878 , r779 , r983 , r145 , r500 , r377 , r122 , r973 , r633 , r4 , r350 , r132 , r409 , r326 , r345 , r283 , r81 , r262 , r515 , r613 , r600 , r877 , r218 , r789 , r202 , r538 , r900 , r679 , r264 , r316 , r455 , r432 , r452 , r457 , r221 , r988 , r404 , r460 , r911 , r37 , r240 , r271 , r93 , r111 , r51 , r188 , r426 , r609 , r985 , r307 , r487 , r354 , r118 , r325 , r351 , r622 , r86 , r639 , r774 , r393 , r782 , r117 , r190 , r649 , r986 , r924 , r10 , r119 , r621 , r796 , r143 , r329 , r732 , r245 , r948 , r492 , r671 , r465 , r991 , r347 , r53 , r657 , r26 , r55 , r801 , r474 , r543 , r23 , r392 , r734 , r219 , r719 , r558 , r918 , r438 , r684 , r370 , r309 , r21 , r584 , r459 , r601 , r146 , r176 , r754 , r337 , r669 , r494 , r305 , r349 , r124 , r814 , r67 , r170 , r256 , r321 , r332 , r444 , r951 , r389 , r735 , r871 , r192 , r154 , r213 , r742 , r851 , r542 , r826 , r870 , r931 , r968 , r402 , r242 , r308 , r50 , r503 , r225 , r61 , r399 , r436 , r758 , r790 , r45 , r634 , r270 , r712 , r110 , r706 , r849 , r60 , r717 , r356 , r16 , r466 , r591 , r934 , r691 , r279 , r532 , r624 , r683 , r441 , r651 , r847 , r477 , r230 , r602 , r139 , r449 , r695 , r25 , r272 , r961 , r581 , r681 , r689 , r424 , r64 , r294 , r319 , r640 , r339 , r138 , r894 , r566 , r967 , r330 , r573 , r739 , r427 , r956 , r565 , r748 , r632 , r765 , r91 , r205 , r996 , r831 , r212 , r268 , r549 , r137 , r902 , r599 , r512 , r804 , r304 , r333 , r723 , r906 , r630 , r481 , r182 , r536 , r700 , r434 , r925 , r802 , r95 , r65 , r875 , r845 , r425 , r456 , r852 , r266 , r437 , r82 , r905 , r407 , r928 , r417 , r384 , r255 , r336 , r343 , r854 , r476 , r381 , r757 , r206 , r537 , r208 , r981 , r606 , r756 , r174 , r848 , r971 , r628 , r733 , r416 , r868 , r737 , r869 , r165 , r636 , r519 , r929 , r47 , r744 , r135 , r726 , r48 , r714 , r828 , r177 , r970 , r431 , r670 , r157 , r885 , r222 , r740 , r792 , r582 , r360 , r881 , r69 , r469 , r39 , r338 , r484 , r746 , r207 , r501 , r94 , r523 , r59 , r249 , r353 , r374 , r724 , r544 , r201 , r335 , r563 , r189 , r235 , r920 , r950 , r293 , r78 , r577 , r574 , r659 , r315 , r90 , r36 , r155 , r214 , r772 , r921 , r390 , r422 , r551 , r215 , r66 , r368 , r506 , r856 , r668 , r626 , r371 , r603 , r736 , r331 , r749 , r673 , r762 , r196 , r419 , r79 , r300 , r20 , r583 , r941 , r383 , r120 , r429 , r470 , r571 , r716 , r672 , r486 , r46  ;
@End

@PartitionB
h91 (10), h24 (10), h30 (10), h70 (10), h100 (10), h66 (10), h47 (10), h12 (10), h61 (10), h28 (10), h73 (10), h87 (10), h79 (10), h58 (10), h17 (10), h64 (10), h43 (10), h50 (10), h35 (10), h99 (10), h7 (10), h49 (10), h60 (10), h67 (10), h84 (10), h18 (10), h51 (10), h80 (10), h81 (10), h22 (10), h96 (10), h2 (10), h48 (10), h31 (10), h38 (10), h21 (10), h34 (10), h89 (10), h94 (10), h90 (10), h57 (10), h53 (10), h72 (10), h9 (10), h86 (10), h29 (10), h85 (10), h97 (10), h69 (10), h23 (10), h26 (10), h98 (10), h62 (10), h56 (10), h59 (10), h8 (10), h39 (10), h45 (10), h25 (10), h65 (10), h76 (10), h83 (10), h77 (10), h16 (10), h63 (10), h37 (10), h42 (10), h20 (10), h44 (10), h74 (10), h95 (10), h5 (10), h54 (10), h27 (10), h19 (10), h88 (10), h71 (10), h68 (10), h32 (10), h14 (10), h36 (10), h10 (10), h33 (10), h4 (10), h11 (10), h40 (10), h93 (10), h6 (10), h41 (10), h46 (10), h78 (10), h92 (10), h1 (10), h15 (10), h3 (10), h75 (10), h82 (10), h55 (10), h13 (10), h52 (10) ;
@End

@PreferenceListsA
r467 : h26, h75, h41, h72, h60 ;
r100 : h51, h23, h77, h71, h13 ;
r488 : h48, h26, h65, h66, h67 ;
r244 : h36, h2, h80, h78, h23 ;
r595 : h69, h17, h59, h31, h26 ;
r945 : h85, h91, h89, h56, h8 ;
r49 : h49, h55, h92, h7, h15 ;
r923 : h74, h10, h58, h59, h52 ;
r866 : h77, h74, h3, h22, h79 ;
r653 : h10, h45, h33, h35, h31 ;
r238 : h97, h81, h86, h94, h66 ;
r378 : h63, h29, h49, h86, h95 ;
r311 : h71, h37, h44, h57, h15 ;
r411 : h67, h63, h62, h45, h20 ;
r747 : h12, h86, h65, h26, h53 ;
r766 : h27, h67, h69, h17, h52 ;
r229 : h19, h83, h78, h16, h22 ;
r994 : h98, h92, h48, h78, h96 ;
r76 : h85, h27, h99, h32, h11 ;
r34 : h31, h47, h20, h14, h49 ;
r320 : h96, h68, h82, h23, h63 ;
r884 : h51, h80, h42, h87, h56 ;
r109 : h29, h95, h55, h85, h99 ;
r15 : h57, h56, h10, h53, h40 ;
r468 : h34, h92, h18, h29, h63 ;
r199 : h91, h46, h61, h22, h7 ;
r62 : h69, h9, h32, h31, h74 ;
r864 : h98, h5, h52, h25, h89 ;
r910 : h86, h36, h62, h76, h54 ;
r19 : h49, h14, h52, h66, h86 ;
r580 : h51, h82, h75, h56, h53 ;
r825 : h82, h33, h80, h5, h75 ;
r358 : h27, h88, h100, h16, h18 ;
r619 : h96, h32, h76, h21, h17 ;
r159 : h98, h16, h82, h83, h63 ;
r32 : h90, h53, h2, h57, h40 ;
r556 : h56, h90, h48, h38, h60 ;
r115 : h69, h5, h51, h41, h11 ;
r784 : h65, h36, h29, h76, h30 ;
r134 : h100, h81, h38, h26, h22 ;
r129 : h69, h87, h66, h16, h91 ;
r508 : h35, h20, h43, h96, h34 ;
r978 : h51, h98, h27, h13, h84 ;
r605 : h53, h21, h68, h42, h84 ;
r644 : h82, h65, h71, h57, h74 ;
r397 : h14, h23, h47, h96, h80 ;
r507 : h76, h71, h19, h77, h98 ;
r750 : h5, h71, h24, h95, h13 ;
r787 : h76, h14, h34, h39, h22 ;
r898 : h37, h41, h58, h27, h52 ;
r9 : h34, h94, h18, h62, h72 ;
r807 : h54, h19, h29, h33, h10 ;
r811 : h1, h81, h97, h65, h13 ;
r387 : h41, h50, h53, h14, h73 ;
r302 : h4, h66, h90, h25, h8 ;
r344 : h93, h97, h42, h85, h82 ;
r661 : h94, h20, h19, h33, h82 ;
r1 : h96, h16, h4, h68, h63 ;
r817 : h54, h93, h86, h89, h60 ;
r889 : h47, h10, h20, h49, h33 ;
r612 : h89, h60, h28, h26, h8 ;
r382 : h7, h97, h42, h67, h48 ;
r410 : h19, h81, h65, h8, h58 ;
r375 : h82, h71, h45, h86, h55 ;
r977 : h28, h72, h100, h74, h45 ;
r233 : h18, h35, h34, h71, h15 ;
r534 : h38, h45, h71, h24, h12 ;
r896 : h40, h29, h65, h75, h30 ;
r210 : h61, h27, h31, h50, h12 ;
r234 : h10, h59, h16, h30, h49 ;
r296 : h90, h22, h96, h43, h35 ;
r545 : h69, h82, h100, h73, h42 ;
r853 : h45, h69, h36, h89, h99 ;
r112 : h39, h2, h31, h58, h46 ;
r87 : h63, h2, h96, h11, h73 ;
r535 : h36, h85, h25, h92, h26 ;
r420 : h1, h51, h21, h5, h8 ;
r475 : h16, h29, h44, h84, h51 ;
r904 : h11, h18, h80, h100, h51 ;
r257 : h57, h29, h30, h18, h66 ;
r265 : h9, h76, h79, h52, h67 ;
r805 : h23, h69, h2, h17, h93 ;
r509 : h98, h9, h63, h23, h14 ;
r957 : h56, h28, h16, h63, h60 ;
r841 : h35, h13, h23, h20, h64 ;
r462 : h49, h5, h45, h86, h30 ;
r892 : h33, h42, h56, h64, h100 ;
r815 : h97, h30, h5, h96, h53 ;
r876 : h74, h7, h51, h40, h100 ;
r504 : h2, h17, h10, h85, h100 ;
r83 : h88, h78, h11, h69, h90 ;
r197 : h24, h22, h27, h55, h29 ;
r783 : h45, h35, h11, h98, h2 ;
r57 : h96, h26, h74, h19, h10 ;
r837 : h71, h91, h77, h54, h48 ;
r42 : h16, h78, h66, h88, h100 ;
r647 : h37, h97, h79, h39, h20 ;
r284 : h62, h48, h46, h71, h47 ;
r408 : h94, h67, h27, h4, h83 ;
r35 : h1, h50, h49, h3, h4 ;
r721 : h46, h31, h82, h18, h26 ;
r96 : h95, h67, h34, h72, h99 ;
r839 : h50, h83, h67, h5, h3 ;
r703 : h76, h26, h97, h79, h16 ;
r489 : h52, h21, h32, h100, h99 ;
r98 : h36, h78, h68, h46, h74 ;
r755 : h99, h45, h20, h33, h15 ;
r725 : h62, h20, h89, h80, h61 ;
r593 : h11, h7, h33, h16, h60 ;
r776 : h78, h70, h76, h34, h30 ;
r592 : h18, h6, h76, h82, h15 ;
r922 : h97, h61, h38, h49, h27 ;
r342 : h25, h57, h5, h68, h6 ;
r479 : h95, h11, h65, h47, h96 ;
r443 : h31, h45, h95, h27, h33 ;
r824 : h70, h68, h94, h71, h73 ;
r912 : h5, h79, h56, h48, h89 ;
r303 : h33, h17, h84, h79, h61 ;
r38 : h84, h14, h49, h21, h56 ;
r168 : h77, h11, h30, h25, h34 ;
r546 : h49, h61, h16, h84, h63 ;
r562 : h2, h7, h64, h47, h53 ;
r933 : h83, h88, h57, h29, h92 ;
r379 : h49, h86, h66, h36, h51 ;
r490 : h92, h52, h18, h81, h39 ;
r678 : h44, h16, h9, h59, h99 ;
r75 : h88, h22, h67, h17, h95 ;
r105 : h88, h38, h68, h28, h9 ;
r561 : h20, h91, h56, h76, h33 ;
r954 : h3, h94, h90, h25, h27 ;
r980 : h67, h24, h57, h48, h78 ;
r713 : h55, h86, h52, h90, h1 ;
r942 : h89, h50, h11, h93, h48 ;
r252 : h20, h61, h42, h68, h52 ;
r394 : h90, h16, h9, h11, h80 ;
r401 : h31, h36, h94, h22, h48 ;
r181 : h85, h52, h59, h58, h23 ;
r193 : h90, h65, h93, h89, h29 ;
r128 : h56, h55, h42, h52, h96 ;
r84 : h24, h7, h17, h16, h39 ;
r553 : h44, h98, h65, h86, h73 ;
r694 : h34, h96, h72, h46, h30 ;
r88 : h18, h56, h37, h9, h74 ;
r863 : h32, h9, h83, h35, h31 ;
r547 : h6, h62, h52, h88, h86 ;
r80 : h45, h17, h33, h4, h12 ;
r18 : h5, h45, h26, h52, h28 ;
r697 : h53, h96, h47, h68, h83 ;
r616 : h1, h38, h69, h68, h9 ;
r184 : h12, h61, h34, h53, h55 ;
r718 : h3, h27, h99, h2, h14 ;
r178 : h89, h24, h32, h29, h8 ;
r362 : h32, h33, h5, h87, h31 ;
r421 : h21, h87, h67, h45, h89 ;
r521 : h45, h68, h38, h87, h65 ;
r161 : h76, h25, h50, h1, h89 ;
r865 : h57, h85, h37, h66, h14 ;
r103 : h84, h2, h75, h78, h55 ;
r972 : h83, h24, h56, h27, h94 ;
r448 : h53, h62, h71, h69, h48 ;
r939 : h57, h7, h45, h12, h86 ;
r611 : h88, h57, h54, h79, h95 ;
r453 : h28, h5, h67, h52, h75 ;
r108 : h43, h31, h53, h86, h20 ;
r288 : h60, h73, h11, h93, h68 ;
r142 : h77, h18, h31, h62, h43 ;
r844 : h62, h88, h2, h85, h68 ;
r313 : h6, h93, h100, h36, h59 ;
r312 : h68, h11, h23, h60, h45 ;
r607 : h48, h84, h33, h58, h18 ;
r596 : h95, h92, h18, h48, h6 ;
r171 : h57, h46, h83, h55, h59 ;
r788 : h98, h86, h13, h8, h75 ;
r260 : h12, h2, h67, h77, h75 ;
r63 : h86, h37, h44, h18, h81 ;
r517 : h90, h10, h73, h96, h89 ;
r575 : h5, h21, h74, h42, h58 ;
r799 : h50, h12, h60, h41, h27 ;
r352 : h76, h86, h73, h75, h9 ;
r400 : h80, h11, h57, h35, h27 ;
r261 : h43, h81, h95, h25, h64 ;
r654 : h92, h64, h27, h93, h90 ;
r150 : h58, h96, h65, h75, h71 ;
r936 : h33, h71, h78, h46, h22 ;
r794 : h55, h12, h38, h53, h85 ;
r258 : h32, h79, h90, h80, h4 ;
r127 : h91, h38, h5, h49, h3 ;
r480 : h61, h53, h71, h5, h79 ;
r513 : h73, h80, h9, h35, h62 ;
r850 : h16, h34, h100, h17, h18 ;
r191 : h82, h30, h12, h42, h83 ;
r22 : h78, h89, h70, h93, h86 ;
r819 : h83, h95, h91, h3, h94 ;
r198 : h47, h38, h36, h80, h93 ;
r610 : h8, h90, h38, h45, h75 ;
r705 : h34, h80, h31, h19, h89 ;
r808 : h85, h25, h48, h30, h44 ;
r615 : h33, h92, h37, h99, h9 ;
r423 : h24, h58, h70, h35, h90 ;
r698 : h55, h53, h96, h4, h65 ;
r751 : h92, h44, h3, h47, h71 ;
r152 : h34, h44, h91, h21, h31 ;
r253 : h100, h46, h51, h91, h79 ;
r107 : h27, h42, h48, h92, h14 ;
r458 : h5, h34, h40, h71, h15 ;
r594 : h79, h61, h38, h59, h39 ;
r690 : h56, h75, h80, h79, h71 ;
r341 : h69, h6, h90, h16, h12 ;
r646 : h18, h19, h20, h24, h23 ;
r770 : h41, h73, h88, h5, h33 ;
r355 : h1, h29, h79, h65, h16 ;
r327 : h69, h85, h64, h1, h2 ;
