@PartitionA
r986 , r752 , r864 , r859 , r100 , r349 , r529 , r637 , r805 , r977 , r674 , r612 , r715 , r536 , r286 , r821 , r372 , r483 , r679 , r243 , r873 , r949 , r950 , r550 , r24 , r970 , r80 , r540 , r603 , r628 , r366 , r441 , r520 , r313 , r919 , r972 , r250 , r553 , r139 , r425 , r37 , r254 , r477 , r644 , r328 , r510 , r267 , r615 , r633 , r785 , r568 , r331 , r44 , r49 , r78 , r378 , r707 , r966 , r121 , r120 , r590 , r51 , r71 , r903 , r271 , r429 , r940 , r692 , r804 , r326 , r543 , r791 , r875 , r651 , r678 , r338 , r443 , r482 , r593 , r928 , r53 , r848 , r157 , r230 , r502 , r683 , r530 , r741 , r291 , r350 , r335 , r988 , r421 , r445 , r232 , r905 , r77 , r381 , r93 , r624 , r897 , r320 , r527 , r495 , r739 , r94 , r223 , r199 , r650 , r958 , r745 , r402 , r40 , r31 , r575 , r696 , r360 , r87 , r299 , r367 , r412 , r434 , r614 , r665 , r348 , r525 , r222 , r664 , r784 , r963 , r255 , r436 , r957 , r622 , r866 , r610 , r869 , r783 , r519 , r906 , r242 , r393 , r435 , r822 , r140 , r831 , r103 , r450 , r629 , r946 , r83 , r86 , r112 , r3 , r580 , r145 , r606 , r902 , r761 , r890 , r594 , r991 , r430 , r1000 , r175 , r542 , r30 , r578 , r16 , r178 , r688 , r758 , r260 , r490 , r680 , r561 , r968 , r721 , r332 , r186 , r386 , r870 , r423 , r207 , r939 , r924 , r457 , r671 , r959 , r247 , r240 , r854 , r788 , r466 , r63 , r195 , r824 , r212 , r577 , r416 , r617 , r107 , r974 , r838 , r909 , r765 , r268 , r771 , r948 , r451 , r479 , r554 , r559 , r855 , r102 , r300 , r508 , r27 , r753 , r216 , r316 , r324 , r407 , r325 , r174 , r110 , r229 , r814 , r951 , r154 , r463 , r656 , r494 , r797 , r913 , r264 , r148 , r318 , r476 , r731 , r647 , r567 , r598 , r211 , r475 , r839 , r210 , r302 , r473 , r844 , r726 , r732 , r564 , r795 , r334 , r353 , r92 , r117 , r346 , r322 , r515 , r703 , r832 , r98 , r387 , r710 , r757 , r39 , r32 , r4 , r14 , r521 , r635 , r943 , r180 , r269 , r830 , r128 , r266 , r426 , r572 , r945 , r339 , r486 , r89 , r6 , r340 , r235 , r512 , r213 , r666 , r740 , r881 , r136 , r397 , r57 , r8 , r675 , r246 , r862 , r884 , r297 , r886 , r768 , r20 , r161 , r812 , r420 , r896 , r35 , r370 , r373 , r126 , r566 , r135 , r468 , r915 , r231 , r119 , r449 , r301 , r422 , r388 , r330 , r492 , r934 , r967 , r118 , r522 , r95 , r15 , r888 , r507 , r72 , r343 , r643 , r579 , r375 , r828 , r224 , r194 , r158 , r413 , r655 , r826 , r152 , r751 , r91 , r938 , r849 , r997 , r964 , r930 , r993 , r431 , r772 , r176 , r845 , r56 , r485 , r500 , r2 , r555 , r562 , r440 , r281 , r867 , r927 , r807 , r880 , r25 , r249 , r763 , r248 , r182 , r351 , r67 , r509 , r592 , r652 , r990 , r209 , r842 , r410 , r28 , r918 , r362 , r418 , r74 , r548 , r524 , r75 , r816 , r188 , r305 , r374 , r560 , r368 , r565 , r172 , r73 , r916 , r472 , r962 , r237 , r96 , r196 , r470 , r914 , r929 , r66 , r576 , r874 , r45 , r586 , r405 , r197 , r748 , r766 , r631 , r723 , r779 , r819 , r798 , r409 , r90 , r907 , r317 , r206 , r452 , r774 , r764 , r781 , r191 , r491 , r775 , r569 , r901 , r641 , r355 , r162 , r200 , r630 , r43 , r382 , r737 , r827 , r626 , r921 , r668 , r989 , r361 , r417 , r517 , r620 , r283 , r802 , r19 , r177 , r97 , r484 , r454 , r793 , r165 , r124 , r33 , r150 , r648 , r994 , r556 , r953 , r122 , r396 , r433 , r537 , r296 , r706 , r193 , r311 , r471 , r480 , r777 , r314 , r589 , r363 , r747 , r131 , r399 , r917 , r144 , r879 , r811 , r645 , r780 , r755 , r659 , r813 , r937 , r690 , r941 , r756 , r523 , r535 , r541 , r545 , r883 , r36 , r709 , r773 , r837 , r852 , r356 , r312 , r984 , r760 , r439 , r358 , r364 , r799 , r836 , r221 , r700 , r70 , r245 , r369 , r236 , r309 , r321 , r686 , r825 , r307 , r744 , r171 , r908 , r534 , r448 , r499 , r794 , r871 , r876 , r925 , r419 , r481 , r976 , r786 , r116 , r800 , r29 , r996 , r64 , r50 , r65 , r280 , r462 , r663 , r717 , r238 , r444 , r337 , r649 , r670 , r743 , r853 , r190 , r724 , r23 , r952 , r833 , r404 , r461 , r792 , r394 , r910 , r955 , r55 , r10 , r60 , r778 , r108 , r551 , r52 , r133 , r226 , r539 , r894 , r170 , r290 , r183 , r101 , r716 , r383 , r514 , r552 , r582 , r12 , r754 , r241 , r274 , r806 , r167 , r660 , r722 , r850 , r298 , r341 , r273 , r584 , r607 , r61 , r714 , r999 , r698 , r184 , r978 , r377 , r395 , r156 , r904 , r933 , r625 , r401 , r105 , r166 , r528 , r796 , r872 , r459 , r735 , r711 , r960 , r669 , r155 , r371 , r708 , r969 , r611 , r923 , r954 , r673 , r729 , r549 , r733 , r497 , r877 , r532 , r695 , r587 , r684 , r787 , r48 , r720 , r981 , r336 , r834 , r285 , r347 , r769 , r627 , r975 , r251 , r411 , r474 , r26 , r189 , r860 , r187 , r936 , r159 , r42 , r138 , r691 , r632 , r730 , r265 , r308 , r228 , r455 , r498 , r973 , r262 , r573 , r76 , r137 , r727 , r257 , r841 , r846 , r546 , r277 , r488 , r642 , r865 , r442 , r889 , r104 , r17 , r303 , r861 , r82 , r289 , r511 , r749 , r640 , r851 , r345 , r563 , r282 , r153 , r204 , r694 , r810 , r344 , r256 , r911 , r983 , r699 , r600 , r385 , r803 , r685 , r400 , r403 , r13 , r453 , r163 , r149 , r898 , r5 , r11 , r634 , r333 , r646 , r719 , r597 , r759 , r801 , r415 , r601 , r570 , r437 , r526 , r840 , r738 , r885 , r829 , r899 , r602 , r965 , r84 , r306 , r261 , r987 , r34 , r667 , r496 , r725 , r284 , r658 , r391 , r742 , r900 , r327 , r571 , r608 , r961 , r62 , r538 , r263 , r164 , r887 , r22 , r892 , r895 , r657 , r201 , r702 , r160 , r926 , r129 , r58 , r113 , r558 , r489 , r718 , r225 , r9 , r88 , r352 , r531 , r687 , r693 , r59 , r275 , r141 , r789 , r292 , r392 , r623 , r998 , r817 , r746 , r985 , r762 , r278 , r406 , r456 , r677 , r736 , r639 , r181 , r287 , r581 , r734 , r891 , r638 , r956 , r219 , r192 , r258 , r142 , r357 , r931 , r203 , r868 , r342 , r218 , r446 , r682 , r935 , r464 , r518 , r712 , r856 , r380 , r205 , r438 , r81 , r672 , r689 , r588 , r583 , r920 , r99 , r125 , r54 , r18 , r41 , r609 , r493 , r244 , r882 , r173 , r288 , r208 , r7 , r414 , r818 , r591 , r992 , r185 , r310 , r115 , r398 , r427 , r922 , r447 , r123 , r21 , r38 , r428 , r279 , r47 , r354 , r599 , r234 , r654 , r980 , r272 , r169 , r808 , r134 , r469 , r270 , r46 , r595 , r809 , r942 , r544 , r506 , r616 , r202 , r295 , r574 , r619 , r106 , r359 , r465 , r460 , r713 , r750 , r557 , r505 , r304 , r790 , r621 , r820 , r319 , r389 , r503 , r69 , r424 , r728 , r618 , r863 , r971 , r995 , r259 , r227 , r776 , r315 , r701 , r513 , r143 , r408 , r376 , r252 , r982 , r215 , r127 , r132 , r596 , r676 , r770 , r893 , r432 , r233 , r68 , r947 , r276 , r653 , r847 , r390 , r478 , r782 , r705 , r111 , r379 , r704 , r79 , r504 , r168 , r681 , r857 , r533 , r179 , r604 , r293 , r220 , r487 , r109 , r979 , r151 , r835 , r323 , r384 , r912 , r146 , r613 , r239 , r843 , r217 , r329 , r516 , r114 , r85 , r697 , r130 , r661 , r636 , r147 , r501 , r467 , r458 , r815 , r1 , r585 , r932 , r767 , r823 , r944 , r214 , r605 , r365 , r547 , r878 , r253 , r294 , r662 , r858 , r198  ;
@End

@PartitionB
h1 (100), h8 (100), h2 (100), h4 (100), h5 (100), h3 (100), h7 (100), h10 (100), h9 (100), h6 (100) ;
@End

@PreferenceListsA
r986 : h10, h7, h5, h3, h4 ;
r752 : h6, h5, h9, h8, h1 ;
r864 : h6, h4, h2, h5, h9 ;
r859 : h8, h5, h7, h2, h1 ;
r100 : h1, h3, h9, h4, h2 ;
r349 : h3, h8, h2, h7, h4 ;
r529 : h8, h10, h7, h6, h2 ;
r637 : h10, h3, h8, h1, h5 ;
r805 : h4, h7, h9, h10, h8 ;
r977 : h10, h5, h6, h4, h1 ;
r674 : h7, h5, h10, h2, h1 ;
r612 : h7, h5, h9, h4, h3 ;
r715 : h1, h6, h4, h10, h9 ;
r536 : h6, h5, h3, h9, h1 ;
r286 : h9, h8, h4, h5, h1 ;
r821 : h3, h5, h7, h6, h10 ;
r372 : h6, h8, h9, h3, h7 ;
r483 : h10, h2, h4, h7, h8 ;
r679 : h9, h4, h10, h3, h1 ;
r243 : h9, h1, h2, h10, h7 ;
r873 : h3, h10, h9, h4, h5 ;
r949 : h5, h10, h6, h1, h4 ;
r950 : h7, h3, h8, h1, h9 ;
r550 : h1, h2, h4, h6, h7 ;
r24 : h10, h9, h5, h4, h7 ;
r970 : h5, h4, h8, h10, h6 ;
r80 : h6, h1, h3, h9, h2 ;
r540 : h2, h1, h5, h8, h9 ;
r603 : h6, h3, h9, h5, h8 ;
r628 : h3, h2, h4, h7, h6 ;
r366 : h2, h10, h9, h3, h4 ;
r441 : h7, h6, h10, h4, h9 ;
r520 : h2, h7, h8, h5, h4 ;
r313 : h10, h4, h5, h1, h3 ;
r919 : h10, h8, h6, h2, h3 ;
r972 : h2, h9, h7, h8, h5 ;
r250 : h9, h7, h1, h2, h6 ;
r553 : h7, h9, h3, h5, h1 ;
r139 : h5, h3, h7, h9, h6 ;
r425 : h8, h1, h7, h4, h5 ;
r37 : h2, h8, h3, h10, h7 ;
r254 : h10, h1, h5, h3, h9 ;
r477 : h3, h5, h7, h4, h6 ;
r644 : h8, h1, h7, h2, h4 ;
r328 : h1, h9, h7, h5, h6 ;
r510 : h6, h3, h4, h7, h10 ;
r267 : h9, h7, h1, h5, h6 ;
r615 : h9, h1, h8, h7, h3 ;
r633 : h1, h7, h9, h3, h6 ;
r785 : h6, h10, h4, h7, h9 ;
r568 : h9, h10, h5, h4, h8 ;
r331 : h7, h3, h1, h2, h8 ;
r44 : h1, h4, h2, h10, h8 ;
r49 : h2, h1, h7, h5, h4 ;
r78 : h2, h5, h9, h3, h4 ;
r378 : h8, h5, h2, h7, h1 ;
r707 : h3, h8, h7, h5, h1 ;
r966 : h7, h6, h2, h4, h8 ;
r121 : h7, h1, h5, h8, h4 ;
r120 : h5, h2, h6, h3, h8 ;
r590 : h8, h9, h3, h10, h4 ;
r51 : h5, h9, h4, h1, h10 ;
r71 : h1, h8, h2, h3, h6 ;
r903 : h9, h1, h10, h3, h7 ;
r271 : h9, h1, h5, h10, h4 ;
r429 : h5, h10, h4, h1, h8 ;
r940 : h10, h4, h8, h5, h9 ;
r692 : h7, h4, h5, h1, h10 ;
r804 : h6, h10, h5, h4, h3 ;
r326 : h8, h3, h10, h6, h9 ;
r543 : h10, h2, h1, h9, h8 ;
r791 : h1, h5, h6, h7, h8 ;
r875 : h2, h6, h9, h8, h3 ;
r651 : h10, h3, h2, h1, h6 ;
r678 : h4, h5, h1, h9, h3 ;
r338 : h2, h1, h4, h10, h5 ;
r443 : h4, h3, h1, h2, h6 ;
r482 : h3, h7, h5, h8, h6 ;
r593 : h9, h7, h4, h2, h10 ;
r928 : h9, h8, h4, h2, h1 ;
r53 : h5, h1, h2, h9, h4 ;
r848 : h7, h8, h2, h4, h5 ;
r157 : h4, h8, h2, h3, h7 ;
r230 : h8, h1, h9, h10, h5 ;
r502 : h5, h4, h8, h1, h6 ;
r683 : h5, h4, h1, h6, h7 ;
r530 : h7, h4, h1, h5, h10 ;
r741 : h2, h10, h5, h6, h9 ;
r291 : h1, h3, h9, h7, h10 ;
r350 : h3, h5, h2, h10, h8 ;
r335 : h6, h9, h5, h3, h8 ;
r988 : h1, h9, h8, h4, h3 ;
r421 : h6, h7, h9, h4, h1 ;
r445 : h9, h4, h2, h7, h1 ;
r232 : h5, h10, h2, h7, h4 ;
r905 : h3, h4, h7, h9, h2 ;
r77 : h2, h5, h1, h8, h9 ;
r381 : h1, h5, h9, h8, h6 ;
r93 : h6, h2, h5, h4, h7 ;
r624 : h6, h8, h2, h10, h1 ;
r897 : h10, h7, h6, h3, h8 ;
r320 : h5, h8, h4, h7, h10 ;
r527 : h7, h4, h5, h6, h9 ;
r495 : h10, h7, h2, h6, h8 ;
r739 : h3, h10, h2, h1, h9 ;
r94 : h10, h7, h1, h5, h8 ;
r223 : h8, h3, h9, h6, h10 ;
r199 : h1, h2, h5, h8, h9 ;
r650 : h1, h10, h2, h5, h6 ;
r958 : h8, h5, h3, h4, h1 ;
r745 : h10, h1, h3, h8, h9 ;
r402 : h2, h3, h8, h7, h6 ;
r40 : h1, h8, h5, h9, h3 ;
r31 : h8, h1, h9, h10, h5 ;
r575 : h9, h5, h3, h6, h4 ;
r696 : h3, h7, h8, h1, h5 ;
r360 : h6, h2, h9, h4, h10 ;
r87 : h2, h4, h10, h6, h8 ;
r299 : h2, h1, h10, h4, h6 ;
r367 : h1, h8, h6, h2, h4 ;
r412 : h5, h10, h7, h8, h3 ;
r434 : h10, h3, h7, h6, h2 ;
r614 : h5, h10, h8, h2, h6 ;
r665 : h1, h2, h6, h8, h7 ;
r348 : h1, h7, h10, h2, h9 ;
r525 : h10, h7, h5, h1, h6 ;
r222 : h3, h9, h1, h2, h4 ;
r664 : h5, h7, h3, h10, h8 ;
r784 : h7, h2, h9, h10, h3 ;
r963 : h2, h4, h1, h9, h5 ;
r255 : h10, h5, h1, h4, h3 ;
r436 : h10, h3, h8, h6, h2 ;
r957 : h9, h10, h4, h3, h5 ;
r622 : h4, h7, h5, h6, h1 ;
r866 : h6, h4, h1, h8, h10 ;
r610 : h10, h3, h2, h5, h1 ;
r869 : h6, h7, h1, h5, h4 ;
r783 : h10, h6, h2, h4, h3 ;
r519 : h1, h9, h4, h5, h3 ;
r906 : h2, h7, h4, h9, h3 ;
r242 : h8, h4, h10, h5, h7 ;
r393 : h5, h3, h10, h8, h6 ;
r435 : h1, h9, h2, h10, h3 ;
r822 : h4, h6, h8, h3, h7 ;
r140 : h9, h8, h3, h2, h5 ;
r831 : h9, h7, h2, h3, h8 ;
r103 : h4, h5, h10, h3, h9 ;
r450 : h1, h3, h10, h4, h8 ;
r629 : h9, h2, h7, h10, h1 ;
r946 : h8, h7, h3, h9, h4 ;
r83 : h5, h2, h4, h10, h3 ;
r86 : h10, h5, h2, h3, h4 ;
r112 : h10, h7, h4, h1, h5 ;
r3 : h7, h8, h2, h1, h6 ;
r580 : h6, h4, h5, h10, h3 ;
r145 : h10, h3, h7, h9, h6 ;
r606 : h6, h7, h5, h10, h1 ;
r902 : h3, h1, h5, h8, h4 ;
r761 : h1, h3, h10, h2, h4 ;
r890 : h9, h10, h7, h5, h3 ;
r594 : h1, h6, h10, h7, h2 ;
r991 : h4, h5, h6, h10, h9 ;
r430 : h6, h2, h9, h5, h3 ;
r1000 : h6, h9, h5, h3, h10 ;
r175 : h9, h7, h1, h3, h10 ;
r542 : h1, h4, h6, h2, h3 ;
r30 : h3, h2, h9, h7, h4 ;
r578 : h9, h7, h3, h1, h5 ;
r16 : h5, h3, h7, h8, h9 ;
r178 : h10, h7, h6, h5, h3 ;
r688 : h7, h1, h3, h8, h4 ;
r758 : h2, h4, h6, h8, h5 ;
r260 : h9, h3, h8, h1, h7 ;
r490 : h8, h9, h4, h5, h10 ;
r680 : h6, h1, h7, h8, h10 ;
r561 : h8, h6, h10, h3, h2 ;
r968 : h5, h3, h2, h9, h7 ;
r721 : h10, h1, h4, h8, h5 ;
r332 : h9, h3, h8, h7, h5 ;
r186 : h9, h1, h7, h6, h2 ;
r386 : h4, h10, h9, h8, h2 ;
r870 : h10, h6, h9, h2, h4 ;
r423 : h9, h4, h5, h3, h1 ;
r207 : h9, h6, h5, h2, h8 ;
r939 : h7, h9, h10, h5, h3 ;
r924 : h6, h2, h1, h10, h9 ;
r457 : h6, h5, h3, h9, h1 ;
r671 : h4, h2, h5, h7, h3 ;
r959 : h7, h8, h3, h4, h5 ;
r247 : h1, h10, h6, h3, h2 ;
r240 : h6, h2, h4, h10, h3 ;
r854 : h6, h7, h9, h5, h2 ;
r788 : h5, h4, h6, h2, h8 ;
r466 : h9, h1, h6, h2, h10 ;
r63 : h8, h3, h6, h10, h9 ;
r195 : h1, h7, h2, h8, h6 ;
r824 : h9, h3, h8, h2, h5 ;
r212 : h6, h5, h2, h4, h3 ;
r577 : h2, h4, h3, h8, h6 ;
r416 : h2, h7, h6, h1, h5 ;
r617 : h7, h9, h3, h5, h2 ;
r107 : h2, h1, h8, h6, h3 ;
r974 : h3, h4, h8, h2, h6 ;
r838 : h7, h10, h9, h3, h5 ;
r909 : h2, h7, h10, h8, h6 ;
r765 : h7, h3, h9, h5, h6 ;
r268 : h5, h7, h1, h4, h2 ;
r771 : h7, h10, h3, h1, h8 ;
r948 : h2, h7, h4, h8, h5 ;
r451 : h4, h7, h8, h9, h1 ;
r479 : h8, h5, h7, h6, h3 ;
