@PartitionA
r666 , r6 , r895 , r604 , r563 , r682 , r572 , r577 , r620 , r668 , r294 , r945 , r380 , r748 , r401 , r590 , r866 , r902 , r499 , r165 , r727 , r235 , r504 , r634 , r343 , r940 , r290 , r133 , r263 , r906 , r176 , r683 , r917 , r990 , r254 , r827 , r98 , r173 , r304 , r286 , r326 , r980 , r713 , r293 , r305 , r157 , r269 , r389 , r559 , r820 , r3 , r816 , r145 , r779 , r486 , r550 , r463 , r420 , r922 , r870 , r441 , r544 , r771 , r491 , r211 , r712 , r149 , r773 , r738 , r266 , r439 , r187 , r123 , r397 , r413 , r818 , r331 , r842 , r483 , r55 , r455 , r640 , r976 , r16 , r428 , r247 , r256 , r2 , r468 , r574 , r321 , r819 , r272 , r638 , r823 , r10 , r648 , r200 , r277 , r769 , r402 , r808 , r558 , r337 , r654 , r881 , r957 , r893 , r607 , r229 , r500 , r503 , r259 , r903 , r177 , r850 , r357 , r362 , r249 , r807 , r388 , r592 , r849 , r224 , r991 , r575 , r997 , r206 , r701 , r742 , r800 , r179 , r86 , r84 , r830 , r535 , r260 , r650 , r56 , r443 , r657 , r711 , r886 , r894 , r655 , r127 , r496 , r451 , r505 , r287 , r839 , r972 , r231 , r24 , r632 , r192 , r931 , r611 , r674 , r667 , r421 , r442 , r283 , r99 , r244 , r797 , r394 , r429 , r737 , r113 , r901 , r549 , r528 , r543 , r582 , r847 , r480 , r201 , r749 , r783 , r562 , r75 , r772 , r112 , r11 , r5 , r151 , r203 , r369 , r763 , r770 , r802 , r859 , r385 , r460 , r581 , r601 , r399 , r882 , r250 , r546 , r379 , r679 , r81 , r236 , r315 , r836 , r202 , r194 , r301 , r953 , r142 , r143 , r197 , r799 , r278 , r178 , r529 , r146 , r322 , r609 , r935 , r135 , r614 , r36 , r628 , r129 , r367 , r85 , r547 , r721 , r925 , r284 , r585 , r978 , r46 , r219 , r238 , r627 , r217 , r484 , r221 , r481 , r342 , r381 , r487 , r533 , r554 , r573 , r685 , r656 , r232 , r726 , r335 , r302 , r137 , r26 , r28 , r103 , r597 , r532 , r580 , r432 , r913 , r111 , r193 , r214 , r973 , r676 , r62 , r355 , r186 , r885 , r61 , r261 , r275 , r803 , r889 , r417 , r405 , r166 , r190 , r696 , r391 , r400 , r257 , r936 , r911 , r855 , r57 , r489 , r276 , r616 , r237 , r42 , r877 , r662 , r834 , r328 , r659 , r767 , r960 , r908 , r267 , r950 , r874 , r436 , r618 , r295 , r54 , r464 , r857 , r876 , r124 , r527 , r831 , r962 , r791 , r184 , r126 , r873 , r348 , r462 , r34 , r7 , r387 , r494 , r38 , r77 , r788 , r452 , r669 , r845 , r815 , r694 , r909 , r934 , r675 , r942 , r512 , r160 , r333 , r445 , r809 , r664 , r995 , r23 , r243 , r792 , r171 , r736 , r892 , r813 , r52 , r433 , r407 , r515 , r880 , r189 , r728 , r395 , r605 , r94 , r497 , r566 , r865 , r60 , r309 , r83 , r844 , r319 , r672 , r949 , r258 , r130 , r858 , r583 , r25 , r49 , r598 , r999 , r175 , r465 , r300 , r571 , r253 , r663 , r861 , r115 , r516 , r687 , r228 , r422 , r418 , r835 , r688 , r702 , r794 , r121 , r317 , r105 , r199 , r966 , r630 , r210 , r246 , r447 , r472 , r985 , r915 , r364 , r904 , r344 , r519 , r612 , r943 , r58 , r9 , r431 , r168 , r234 , r248 , r298 , r474 , r883 , r21 , r910 , r227 , r946 , r591 , r307 , r531 , r989 , r12 , r624 , r828 , r437 , r722 , r930 , r644 , r764 , r289 , r393 , r875 , r884 , r78 , r332 , r625 , r637 , r926 , r927 , r686 , r983 , r50 , r864 , r100 , r709 , r106 , r41 , r425 , r584 , r852 , r937 , r824 , r427 , r673 , r810 , r493 , r376 , r982 , r144 , r95 , r64 , r579 , r444 , r19 , r350 , r817 , r963 , r754 , r782 , r233 , r148 , r188 , r725 , r526 , r641 , r501 , r539 , r538 , r514 , r536 , r336 , r759 , r723 , r330 , r998 , r370 , r338 , r17 , r905 , r556 , r974 , r132 , r805 , r459 , r47 , r595 , r621 , r140 , r626 , r456 , r273 , r359 , r765 , r890 , r996 , r230 , r91 , r734 , r255 , r18 , r509 , r671 , r955 , r804 , r59 , r695 , r746 , r952 , r154 , r329 , r365 , r375 , r967 , r170 , r899 , r136 , r492 , r964 , r653 , r525 , r975 , r647 , r785 , r981 , r282 , r710 , r548 , r956 , r93 , r340 , r172 , r993 , r822 , r109 , r215 , r383 , r651 , r768 , r198 , r629 , r879 , r116 , r308 , r313 , r366 , r540 , r356 , r522 , r8 , r414 , r969 , r207 , r404 , r102 , r264 , r281 , r787 , r841 , r118 , r777 , r508 , r440 , r104 , r615 , r703 , r325 , r20 , r216 , r363 , r570 , r921 , r933 , r602 , r606 , r361 , r466 , r33 , r863 , r458 , r677 , r396 , r14 , r801 , r74 , r13 , r661 , r73 , r161 , r482 , r510 , r349 , r947 , r853 , r415 , r520 , r323 , r555 , r185 , r786 , r310 , r1 , r225 , r814 , r181 , r251 , r757 , r871 , r681 , r979 , r977 , r341 , r392 , r780 , r470 , r806 , r488 , r502 , r358 , r589 , r613 , r635 , r704 , r477 , r718 , r446 , r941 , r714 , r762 , r204 , r220 , r32 , r29 , r371 , r887 , r89 , r128 , r352 , r479 , r699 , r467 , r183 , r296 , r347 , r288 , r384 , r517 , r916 , r334 , r793 , r346 , r97 , r155 , r270 , r48 , r353 , r700 , r846 , r174 , r213 , r811 , r182 , r829 , r435 , r377 , r645 , r131 , r226 , r670 , r22 , r242 , r314 , r623 , r660 , r971 , r27 , r854 , r523 , r110 , r92 , r138 , r119 , r268 , r511 , r599 , r490 , r755 , r856 , r218 , r636 , r552 , r30 , r706 , r368 , r826 , r43 , r735 , r66 , r386 , r299 , r720 , r693 , r639 , r76 , r619 , r948 , r564 , r169 , r929 , r80 , r67 , r708 , r959 , r840 , r469 , r473 , r692 , r774 , r318 , r588 , r513 , r360 , r303 , r530 , r752 , r423 , r740 , r163 , r665 , r970 , r594 , r208 , r411 , r984 , r63 , r642 , r928 , r733 , r790 , r600 , r448 , r561 , r795 , r586 , r292 , r495 , r79 , r898 , r312 , r252 , r707 , r51 , r744 , r920 , r449 , r914 , r125 , r878 , r896 , r398 , r825 , r408 , r739 , r196 , r534 , r776 , r918 , r798 , r867 , r406 , r939 , r923 , r912 , r944 , r750 , r96 , r71 , r610 , r622 , r239 , r986 , r424 , r717 , r114 , r372 , r851 , r833 , r205 , r195 , r454 , r643 , r741 , r784 , r837 , r107 , r789 , r241 , r90 , r576 , r507 , r766 , r812 , r65 , r994 , r39 , r430 , r541 , r567 , r745 , r951 , r378 , r351 , r932 , r120 , r968 , r461 , r689 , r907 , r475 , r869 , r280 , r731 , r279 , r134 , r191 , r212 , r285 , r593 , r603 , r35 , r485 , r180 , r471 , r139 , r150 , r821 , r240 , r719 , r730 , r53 , r608 , r223 , r524 , r747 , r760 , r965 , r162 , r646 , r919 , r900 , r751 , r862 , r412 , r476 , r153 , r390 , r758 , r156 , r159 , r518 , r729 , r382 , r44 , r578 , r506 , r152 , r403 , r987 , r209 , r31 , r374 , r37 , r345 , r245 , r954 , r122 , r838 , r108 , r438 , r569 , r167 , r271 , r732 , r678 , r87 , r897 , r832 , r158 , r354 , r88 , r453 , r450 , r274 , r316 , r265 , r680 , r617 , r373 , r778 , r45 , r781 , r938 , r311 , r631 , r69 , r101 , r70 , r457 , r684 , r705 , r690 , r860 , r988 , r658 , r691 , r521 , r426 , r753 , r565 , r306 , r796 , r1000 , r542 , r164 , r872 , r888 , r40 , r697 , r327 , r891 , r117 , r434 , r698 , r82 , r761 , r924 , r716 , r222 , r715 , r756 , r868 , r961 , r324 , r992 , r775 , r652 , r958 , r553 , r557 , r848 , r262 , r743 , r72 , r409 , r416 , r551 , r15 , r141 , r419 , r498 , r587 , r339 , r478 , r633 , r320 , r568 , r843 , r545 , r410 , r297 , r724 , r68 , r560 , r649 , r537 , r596 , r147 , r4 , r291  ;
@End

@PartitionB
h19 (50), h3 (50), h6 (50), h15 (50), h8 (50), h2 (50), h5 (50), h20 (50), h17 (50), h1 (50), h11 (50), h13 (50), h14 (50), h16 (50), h18 (50), h4 (50), h10 (50), h9 (50), h7 (50), h12 (50) ;
@End

@PreferenceListsA
r666 : h3, h17, h19, h7, h9 ;
r6 : h1, h15, h6, h7, h13 ;
r895 : h4, h12, h10, h13, h17 ;
r604 : h6, h12, h18, h5, h3 ;
r563 : h1, h5, h14, h3, h8 ;
r682 : h12, h6, h13, h17, h3 ;
r572 : h12, h2, h6, h17, h11 ;
r577 : h6, h5, h2, h15, h3 ;
r620 : h3, h2, h16, h18, h13 ;
r668 : h19, h6, h4, h17, h12 ;
r294 : h1, h16, h19, h12, h9 ;
r945 : h9, h19, h3, h20, h12 ;
r380 : h8, h14, h7, h3, h10 ;
r748 : h6, h17, h8, h14, h1 ;
r401 : h10, h14, h3, h5, h8 ;
r590 : h13, h11, h6, h1, h2 ;
r866 : h3, h1, h17, h5, h12 ;
r902 : h12, h2, h19, h20, h5 ;
r499 : h4, h17, h13, h8, h9 ;
r165 : h6, h12, h8, h14, h13 ;
r727 : h16, h1, h4, h3, h10 ;
r235 : h7, h5, h8, h13, h6 ;
r504 : h20, h3, h4, h15, h5 ;
r634 : h4, h10, h9, h12, h20 ;
r343 : h7, h13, h12, h1, h3 ;
r940 : h10, h15, h12, h1, h5 ;
r290 : h18, h9, h15, h12, h14 ;
r133 : h8, h15, h20, h5, h16 ;
r263 : h15, h8, h5, h6, h11 ;
r906 : h5, h6, h19, h2, h4 ;
r176 : h5, h20, h16, h4, h9 ;
r683 : h5, h19, h7, h18, h10 ;
r917 : h6, h20, h16, h13, h2 ;
r990 : h11, h1, h5, h9, h4 ;
r254 : h4, h5, h11, h20, h12 ;
r827 : h19, h15, h5, h8, h13 ;
r98 : h9, h19, h4, h2, h12 ;
r173 : h12, h20, h11, h8, h7 ;
r304 : h13, h16, h3, h8, h12 ;
r286 : h20, h14, h5, h13, h8 ;
r326 : h8, h15, h1, h10, h14 ;
r980 : h11, h17, h4, h10, h15 ;
r713 : h3, h5, h16, h2, h9 ;
r293 : h13, h14, h12, h10, h4 ;
r305 : h12, h16, h19, h1, h3 ;
r157 : h14, h18, h20, h1, h15 ;
r269 : h14, h10, h12, h2, h8 ;
r389 : h9, h3, h14, h8, h2 ;
r559 : h17, h11, h7, h12, h18 ;
r820 : h17, h18, h10, h14, h20 ;
r3 : h17, h8, h6, h16, h12 ;
r816 : h6, h11, h20, h9, h7 ;
r145 : h4, h9, h19, h12, h13 ;
r779 : h10, h9, h1, h13, h18 ;
r486 : h3, h17, h8, h5, h20 ;
r550 : h17, h5, h12, h9, h7 ;
r463 : h3, h6, h11, h13, h1 ;
r420 : h5, h2, h11, h13, h9 ;
r922 : h19, h10, h8, h20, h2 ;
r870 : h3, h18, h1, h10, h19 ;
r441 : h12, h7, h19, h6, h13 ;
r544 : h11, h7, h5, h14, h12 ;
r771 : h16, h19, h17, h7, h10 ;
r491 : h12, h18, h3, h5, h2 ;
r211 : h11, h9, h12, h19, h2 ;
r712 : h20, h5, h10, h14, h12 ;
r149 : h1, h8, h9, h11, h10 ;
r773 : h9, h5, h8, h14, h7 ;
r738 : h16, h10, h8, h13, h15 ;
r266 : h2, h7, h17, h13, h9 ;
r439 : h13, h10, h19, h5, h3 ;
r187 : h8, h10, h16, h18, h13 ;
r123 : h11, h13, h8, h20, h6 ;
r397 : h20, h19, h5, h7, h8 ;
r413 : h12, h4, h19, h11, h17 ;
r818 : h7, h12, h2, h3, h17 ;
r331 : h6, h17, h20, h19, h12 ;
r842 : h10, h11, h2, h19, h12 ;
r483 : h14, h16, h18, h6, h2 ;
r55 : h9, h19, h8, h2, h4 ;
r455 : h13, h11, h6, h15, h20 ;
r640 : h12, h2, h10, h18, h9 ;
r976 : h17, h9, h8, h18, h20 ;
r16 : h1, h2, h9, h16, h7 ;
r428 : h10, h8, h6, h17, h7 ;
r247 : h4, h7, h5, h17, h14 ;
r256 : h12, h13, h18, h20, h10 ;
r2 : h5, h19, h14, h10, h9 ;
r468 : h2, h7, h13, h14, h4 ;
r574 : h9, h4, h17, h20, h7 ;
r321 : h2, h15, h7, h17, h20 ;
r819 : h17, h9, h5, h10, h3 ;
r272 : h2, h10, h17, h9, h20 ;
r638 : h6, h8, h2, h19, h9 ;
r823 : h17, h19, h7, h9, h13 ;
r10 : h10, h12, h15, h16, h4 ;
r648 : h15, h17, h19, h6, h5 ;
r200 : h12, h8, h3, h9, h16 ;
r277 : h15, h7, h10, h1, h16 ;
r769 : h16, h7, h17, h15, h10 ;
r402 : h6, h17, h7, h13, h12 ;
r808 : h4, h20, h13, h16, h12 ;
r558 : h18, h14, h6, h4, h5 ;
r337 : h12, h13, h19, h11, h7 ;
r654 : h15, h14, h1, h3, h16 ;
r881 : h12, h20, h5, h15, h17 ;
r957 : h12, h2, h5, h10, h16 ;
r893 : h8, h11, h19, h2, h18 ;
r607 : h6, h3, h15, h20, h9 ;
r229 : h10, h3, h11, h4, h20 ;
r500 : h10, h7, h2, h8, h12 ;
r503 : h12, h9, h5, h3, h11 ;
r259 : h13, h16, h14, h4, h1 ;
r903 : h19, h6, h2, h5, h3 ;
r177 : h8, h11, h18, h1, h2 ;
r850 : h20, h12, h16, h8, h3 ;
r357 : h11, h1, h2, h9, h17 ;
r362 : h12, h14, h10, h16, h4 ;
r249 : h5, h11, h3, h13, h6 ;
r807 : h12, h4, h8, h20, h2 ;
r388 : h4, h12, h3, h2, h6 ;
r592 : h3, h12, h15, h14, h1 ;
r849 : h15, h4, h19, h12, h3 ;
r224 : h9, h18, h3, h17, h14 ;
r991 : h19, h14, h4, h8, h3 ;
r575 : h11, h14, h8, h3, h9 ;
r997 : h7, h3, h5, h9, h17 ;
r206 : h5, h10, h20, h14, h2 ;
r701 : h13, h10, h7, h17, h16 ;
r742 : h3, h16, h18, h17, h7 ;
r800 : h14, h18, h9, h19, h12 ;
r179 : h3, h1, h13, h11, h8 ;
r86 : h16, h4, h17, h13, h8 ;
r84 : h17, h20, h15, h4, h14 ;
r830 : h5, h19, h10, h1, h3 ;
r535 : h14, h9, h18, h6, h15 ;
r260 : h12, h7, h3, h14, h1 ;
r650 : h12, h15, h3, h8, h4 ;
r56 : h15, h9, h6, h20, h12 ;
r443 : h17, h3, h1, h15, h13 ;
r657 : h8, h14, h7, h17, h12 ;
r711 : h4, h11, h15, h6, h10 ;
r886 : h18, h19, h11, h3, h2 ;
r894 : h15, h11, h1, h3, h12 ;
r655 : h8, h13, h14, h20, h11 ;
r127 : h18, h13, h7, h5, h9 ;
r496 : h15, h18, h4, h14, h6 ;
r451 : h8, h1, h6, h11, h20 ;
r505 : h6, h10, h14, h16, h20 ;
r287 : h18, h14, h20, h10, h17 ;
r839 : h10, h7, h18, h6, h13 ;
r972 : h17, h8, h11, h18, h4 ;
r231 : h1, h17, h6, h4, h7 ;
r24 : h9, h19, h1, h18, h13 ;
r632 : h5, h8, h12, h6, h18 ;
r192 : h6, h15, h18, h14, h2 ;
r931 : h8, h7, h9, h12, h11 ;
r611 : h12, h11, h17, h16, h9 ;
r674 : h3, h16, h11, h2, h12 ;
r667 : h17, h4, h6, h5, h8 ;
r421 : h5, h12, h11, h15, h16 ;
r442 : h3, h17, h1, h16, h2 ;
r283 : h6, h17, h14, h16, h11 ;
r99 : h20, h5, h4, h9, h10 ;
r244 : h20, h15, h17, h1, h4 ;
r797 : h16, h14, h17, h6, h7 ;
r394 : h18, h16, h2, h5, h14 ;
r429 : h18, h8, h12, h11, h15 ;
r737 : h16, h20, h7, h11, h2 ;
r113 : h1, h2, h3, h5, h8 ;
r901 : h8, h20, h1, h7, h17 ;
r549 : h19, h16, h5, h20, h2 ;
r528 : h5, h19, h15, h1, h3 ;
r543 : h6, h3, h10, h11, h19 ;
r582 : h1, h16, h13, h10, h18 ;
r847 : h9, h3, h5, h16, h18 ;
r480 : h18, h11, h5, h19, h1 ;
r201 : h3, h7, h13, h6, h2 ;
r749 : h4, h10, h15, h3, h16 ;
r783 : h13, h11, h18, h4, h12 ;
r562 : h5, h8, h3, h7, h15 ;
r75 : h5, h10, h11, h20, h4 ;
r772 : h6, h7, h14, h11, h10 ;
r112 : h4, h13, h14, h16, h15 ;
r11 : h7, h19, h1, h11, h3 ;
r5 : h13, h19, h14, h18, h12 ;
r151 : h3, h6, h16, h1, h19 ;
r203 : h11, h18, h17, h13, h20 ;
r369 : h4, h15, h7, h20, h2 ;
r763 : h5, h20, h1, h4, h11 ;
