@PartitionA
r1 , r2 , r3 , r4 , r5 , r6 , r7 , r8 , r9 , r10 , r11 , r12 , r13 , r14 , r15 , r16 , r17 , r18 , r19 , r20 , r21 , r22 , r23 , r24 , r25 , r26 , r27 , r28 , r29 , r30 , r31 , r32 , r33 , r34 , r35 , r36 , r37 , r38 , r39 , r40 , r41 , r42 , r43 , r44 , r45 , r46 , r47 , r48 , r49 , r50 , r51 , r52 , r53 , r54 , r55 , r56 , r57 , r58 , r59 , r60 , r61 , r62 , r63 , r64 , r65 , r66 , r67 , r68 , r69 , r70 , r71 , r72 , r73 , r74 , r75 , r76 , r77 , r78 , r79 , r80 , r81 , r82 , r83 , r84 , r85 , r86 , r87 , r88 , r89 , r90 , r91 , r92 , r93 , r94 , r95 , r96 , r97 , r98 , r99 , r100 , r101 , r102 , r103 , r104 , r105 , r106 , r107 , r108 , r109 , r110 , r111 , r112 , r113 , r114 , r115 , r116 , r117 , r118 , r119 , r120 , r121 , r122 , r123 , r124 , r125 , r126 , r127 , r128 , r129 , r130 , r131 , r132 , r133 , r134 , r135 , r136 , r137 , r138 , r139 , r140 , r141 , r142 , r143 , r144 , r145 , r146 , r147 , r148 , r149 , r150 , r151 , r152 , r153 , r154 , r155 , r156 , r157 , r158 , r159 , r160 , r161 , r162 , r163 , r164 , r165 , r166 , r167 , r168 , r169 , r170 , r171 , r172 , r173 , r174 , r175 , r176 , r177 , r178 , r179 , r180 , r181 , r182 , r183 , r184 , r185 , r186 , r187 , r188 , r189 , r190 , r191 , r192 , r193 , r194 , r195 , r196 , r197 , r198 , r199 , r200 , r201 , r202 , r203 , r204 , r205 , r206 , r207 , r208 , r209 , r210 , r211 , r212 , r213 , r214 , r215 , r216 , r217 , r218 , r219 , r220 , r221 , r222 , r223 , r224 , r225 , r226 , r227 , r228 , r229 , r230 , r231 , r232 , r233 , r234 , r235 , r236 , r237 , r238 , r239 , r240 , r241 , r242 , r243 , r244 , r245 , r246 , r247 , r248 , r249 , r250 , r251 , r252 , r253 , r254 , r255 , r256 , r257 , r258 , r259 , r260 , r261 , r262 , r263 , r264 , r265 , r266 , r267 , r268 , r269 , r270 , r271 , r272 , r273 , r274 , r275 , r276 , r277 , r278 , r279 , r280 , r281 , r282 , r283 , r284 , r285 , r286 , r287 , r288 , r289 , r290 , r291 , r292 , r293 , r294 , r295 , r296 , r297 , r298 , r299 , r300 , r301 , r302 , r303 , r304 , r305 , r306 , r307 , r308 , r309 , r310 , r311 , r312 , r313 , r314 , r315 , r316 , r317 , r318 , r319 , r320 , r321 , r322 , r323 , r324 , r325 , r326 , r327 , r328 , r329 , r330 , r331 , r332 , r333 , r334 , r335 , r336 , r337 , r338 , r339 , r340 , r341 , r342 , r343 , r344 , r345 , r346 , r347 , r348 , r349 , r350 , r351 , r352 , r353 , r354 , r355 , r356 , r357 , r358 , r359 , r360 , r361 , r362 , r363 , r364 , r365 , r366 , r367 , r368 , r369 , r370 , r371 , r372 , r373 , r374 , r375 , r376 , r377 , r378 , r379 , r380 , r381 , r382 , r383 , r384 , r385 , r386 , r387 , r388 , r389 , r390 , r391 , r392 , r393 , r394 , r395 , r396 , r397 , r398 , r399 , r400 , r401 , r402 , r403 , r404 , r405 , r406 , r407 , r408 , r409 , r410 , r411 , r412 , r413 , r414 , r415 , r416 , r417 , r418 , r419 , r420 , r421 , r422 , r423 , r424 , r425 , r426 , r427 , r428 , r429 , r430 , r431 , r432 , r433 , r434 , r435 , r436 , r437 , r438 , r439 , r440 , r441 , r442 , r443 , r444 , r445 , r446 , r447 , r448 , r449 , r450 , r451 , r452 , r453 , r454 , r455 , r456 , r457 , r458 , r459 , r460 , r461 , r462 , r463 , r464 , r465 , r466 , r467 , r468 , r469 , r470 , r471 , r472 , r473 , r474 , r475 , r476 , r477 , r478 , r479 , r480 , r481 , r482 , r483 , r484 , r485 , r486 , r487 , r488 , r489 , r490 , r491 , r492 , r493 , r494 , r495 , r496 , r497 , r498 , r499 , r500 , r501 , r502 , r503 , r504 , r505 , r506 , r507 , r508 , r509 , r510 , r511 , r512 , r513 , r514 , r515 , r516 , r517 , r518 , r519 , r520 , r521 , r522 , r523 , r524 , r525 , r526 , r527 , r528 , r529 , r530 , r531 , r532 , r533 , r534 , r535 , r536 , r537 , r538 , r539 , r540 , r541 , r542 , r543 , r544 , r545 , r546 , r547 , r548 , r549 , r550 , r551 , r552 , r553 , r554 , r555 , r556 , r557 , r558 , r559 , r560 , r561 , r562 , r563 , r564 , r565 , r566 , r567 , r568 , r569 , r570 , r571 , r572 , r573 , r574 , r575 , r576 , r577 , r578 , r579 , r580 , r581 , r582 , r583 , r584 , r585 , r586 , r587 , r588 , r589 , r590 , r591 , r592 , r593 , r594 , r595 , r596 , r597 , r598 , r599 , r600 , r601 , r602 , r603 , r604 , r605 , r606 , r607 , r608 , r609 , r610 , r611 , r612 , r613 , r614 , r615 , r616 , r617 , r618 , r619 , r620 , r621 , r622 , r623 , r624 , r625 , r626 , r627 , r628 , r629 , r630 , r631 , r632 , r633 , r634 , r635 , r636 , r637 , r638 , r639 , r640 , r641 , r642 , r643 , r644 , r645 , r646 , r647 , r648 , r649 , r650 , r651 , r652 , r653 , r654 , r655 , r656 , r657 , r658 , r659 , r660 , r661 , r662 , r663 , r664 , r665 , r666 , r667 , r668 , r669 , r670 , r671 , r672 , r673 , r674 , r675 , r676 , r677 , r678 , r679 , r680 , r681 , r682 , r683 , r684 , r685 , r686 , r687 , r688 , r689 , r690 , r691 , r692 , r693 , r694 , r695 , r696 , r697 , r698 , r699 , r700 , r701 , r702 , r703 , r704 , r705 , r706 , r707 , r708 , r709 , r710 , r711 , r712 , r713 , r714 , r715 , r716 , r717 , r718 , r719 , r720 , r721 , r722 , r723 , r724 , r725 , r726 , r727 , r728 , r729 , r730 , r731 , r732 , r733 , r734 , r735 , r736 , r737 , r738 , r739 , r740 , r741 , r742 , r743 , r744 , r745 , r746 , r747 , r748 , r749 , r750 , r751 , r752 , r753 , r754 , r755 , r756 , r757 , r758 , r759 , r760 , r761 , r762 , r763 , r764 , r765 , r766 , r767 , r768 , r769 , r770 , r771 , r772 , r773 , r774 , r775 , r776 , r777 , r778 , r779 , r780 , r781 , r782 , r783 , r784 , r785 , r786 , r787 , r788 , r789 , r790 , r791 , r792 , r793 , r794 , r795 , r796 , r797 , r798 , r799 , r800 , r801 , r802 , r803 , r804 , r805 , r806 , r807 , r808 , r809 , r810 , r811 , r812 , r813 , r814 , r815 , r816 , r817 , r818 , r819 , r820 , r821 , r822 , r823 , r824 , r825 , r826 , r827 , r828 , r829 , r830 , r831 , r832 , r833 , r834 , r835 , r836 , r837 , r838 , r839 , r840 , r841 , r842 , r843 , r844 , r845 , r846 , r847 , r848 , r849 , r850 , r851 , r852 , r853 , r854 , r855 , r856 , r857 , r858 , r859 , r860 , r861 , r862 , r863 , r864 , r865 , r866 , r867 , r868 , r869 , r870 , r871 , r872 , r873 , r874 , r875 , r876 , r877 , r878 , r879 , r880 , r881 , r882 , r883 , r884 , r885 , r886 , r887 , r888 , r889 , r890 , r891 , r892 , r893 , r894 , r895 , r896 , r897 , r898 , r899 , r900 , r901 , r902 , r903 , r904 , r905 , r906 , r907 , r908 , r909 , r910 , r911 , r912 , r913 , r914 , r915 , r916 , r917 , r918 , r919 , r920 , r921 , r922 , r923 , r924 , r925 , r926 , r927 , r928 , r929 , r930 , r931 , r932 , r933 , r934 , r935 , r936 , r937 , r938 , r939 , r940 , r941 , r942 , r943 , r944 , r945 , r946 , r947 , r948 , r949 , r950 , r951 , r952 , r953 , r954 , r955 , r956 , r957 , r958 , r959 , r960 , r961 , r962 , r963 , r964 , r965 , r966 , r967 , r968 , r969 , r970 , r971 , r972 , r973 , r974 , r975 , r976 , r977 , r978 , r979 , r980 , r981 , r982 , r983 , r984 , r985 , r986 , r987 , r988 , r989 , r990 , r991 , r992 , r993 , r994 , r995 , r996 , r997 , r998 , r999 , r1000  ;
@End

@PartitionB
h38 (10), h19 (10), h18 (10), h79 (10), h60 (10), h64 (10), h33 (10), h81 (10), h68 (10), h10 (10), h9 (10), h92 (10), h6 (10), h30 (10), h52 (10), h59 (10), h4 (10), h26 (10), h34 (10), h50 (10), h23 (10), h17 (10), h2 (10), h61 (10), h80 (10), h7 (10), h58 (10), h54 (10), h8 (10), h71 (10), h57 (10), h22 (10), h47 (10), h99 (10), h56 (10), h63 (10), h37 (10), h40 (10), h14 (10), h45 (10), h91 (10), h20 (10), h36 (10), h44 (10), h96 (10), h97 (10), h15 (10), h24 (10), h98 (10), h51 (10), h77 (10), h1 (10), h41 (10), h72 (10), h82 (10), h21 (10), h70 (10), h12 (10), h43 (10), h53 (10), h29 (10), h39 (10), h76 (10), h31 (10), h11 (10), h25 (10), h93 (10), h27 (10), h66 (10), h67 (10), h49 (10), h86 (10), h94 (10), h89 (10), h74 (10), h13 (10), h3 (10), h28 (10), h95 (10), h42 (10), h69 (10), h84 (10), h62 (10), h83 (10), h46 (10), h65 (10), h90 (10), h16 (10), h55 (10), h78 (10), h73 (10), h35 (10), h87 (10), h100 (10), h32 (10), h88 (10), h48 (10), h5 (10), h75 (10), h85 (10) ;
@End

@PreferenceListsA
r1 : h96, h94, h35, h62, h18 ;
r2 : h49, h52, h2, h15, h46 ;
r3 : h42, h91, h52, h27, h24 ;
r4 : h2, h49, h24, h44, h35 ;
r5 : h18, h77, h50, h23, h29 ;
r6 : h95, h83, h79, h85, h24 ;
r7 : h67, h63, h24, h20, h54 ;
r8 : h16, h94, h24, h8, h51 ;
r9 : h67, h100, h49, h7, h53 ;
r10 : h66, h49, h52, h79, h47 ;
r11 : h35, h18, h3, h19, h54 ;
r12 : h87, h44, h93, h16, h67 ;
r13 : h50, h69, h95, h91, h51 ;
r14 : h24, h88, h21, h61, h69 ;
r15 : h61, h6, h87, h2, h15 ;
r16 : h98, h79, h89, h2, h61 ;
r17 : h73, h49, h35, h43, h47 ;
r18 : h93, h97, h95, h2, h89 ;
r19 : h26, h59, h3, h93, h43 ;
r20 : h42, h88, h64, h18, h5 ;
r21 : h49, h36, h17, h97, h69 ;
r22 : h84, h24, h10, h3, h16 ;
r23 : h24, h95, h11, h2, h77 ;
r24 : h66, h49, h67, h47, h17 ;
r25 : h93, h35, h18, h88, h44 ;
r26 : h1, h2, h69, h70, h18 ;
r27 : h73, h18, h47, h95, h2 ;
r28 : h48, h35, h24, h69, h61 ;
r29 : h68, h13, h23, h18, h28 ;
r30 : h1, h2, h49, h87, h69 ;
r31 : h29, h62, h49, h18, h52 ;
r32 : h10, h69, h18, h63, h97 ;
r33 : h52, h42, h51, h26, h43 ;
r34 : h18, h95, h43, h63, h67 ;
r35 : h7, h70, h2, h10, h43 ;
r36 : h52, h42, h37, h2, h29 ;
r37 : h6, h95, h52, h2, h69 ;
r38 : h1, h97, h90, h36, h64 ;
r39 : h95, h81, h68, h63, h19 ;
r40 : h18, h29, h47, h3, h68 ;
r41 : h52, h83, h81, h26, h2 ;
r42 : h87, h35, h47, h19, h54 ;
r43 : h24, h64, h69, h53, h91 ;
r44 : h3, h13, h77, h89, h83 ;
r45 : h2, h17, h51, h26, h24 ;
r46 : h24, h76, h18, h62, h64 ;
r47 : h19, h53, h48, h3, h24 ;
r48 : h93, h92, h11, h36, h43 ;
r49 : h69, h28, h83, h53, h75 ;
r50 : h29, h63, h81, h47, h56 ;
r51 : h18, h24, h90, h5, h91 ;
r52 : h16, h49, h19, h26, h2 ;
r53 : h2, h37, h9, h69, h16 ;
r54 : h81, h24, h51, h19, h66 ;
r55 : h42, h2, h98, h29, h24 ;
r56 : h24, h44, h70, h37, h15 ;
r57 : h19, h53, h79, h61, h10 ;
r58 : h84, h18, h83, h20, h50 ;
r59 : h52, h57, h29, h82, h2 ;
r60 : h19, h76, h24, h33, h53 ;
r61 : h69, h3, h52, h51, h29 ;
r62 : h52, h32, h77, h97, h7 ;
r63 : h87, h57, h32, h24, h95 ;
r64 : h67, h62, h1, h10, h77 ;
r65 : h60, h51, h24, h52, h2 ;
r66 : h11, h52, h51, h81, h79 ;
r67 : h44, h13, h2, h4, h94 ;
r68 : h7, h18, h10, h69, h26 ;
r69 : h77, h54, h69, h11, h3 ;
r70 : h83, h9, h36, h74, h82 ;
r71 : h15, h83, h24, h33, h48 ;
r72 : h45, h16, h55, h93, h79 ;
r73 : h24, h23, h87, h42, h54 ;
r74 : h50, h81, h19, h43, h2 ;
r75 : h52, h38, h64, h2, h83 ;
r76 : h52, h49, h21, h22, h39 ;
r77 : h83, h24, h93, h70, h2 ;
r78 : h36, h79, h37, h77, h81 ;
r79 : h3, h37, h24, h70, h69 ;
r80 : h35, h7, h3, h89, h81 ;
r81 : h93, h24, h36, h95, h51 ;
r82 : h81, h49, h48, h89, h35 ;
r83 : h79, h66, h49, h93, h24 ;
r84 : h47, h44, h61, h97, h79 ;
r85 : h16, h26, h36, h77, h2 ;
r86 : h67, h81, h69, h51, h49 ;
r87 : h66, h33, h2, h67, h69 ;
r88 : h36, h66, h28, h26, h65 ;
r89 : h69, h2, h33, h24, h89 ;
r90 : h52, h62, h67, h2, h64 ;
r91 : h81, h79, h18, h61, h97 ;
r92 : h49, h59, h43, h44, h51 ;
r93 : h83, h15, h64, h90, h7 ;
r94 : h81, h79, h49, h35, h93 ;
r95 : h35, h95, h74, h81, h47 ;
r96 : h84, h16, h11, h95, h69 ;
r97 : h19, h18, h24, h84, h43 ;
r98 : h24, h54, h91, h21, h69 ;
r99 : h46, h70, h89, h76, h36 ;
r100 : h65, h19, h36, h93, h45 ;
r101 : h43, h2, h24, h95, h79 ;
r102 : h43, h29, h88, h49, h2 ;
r103 : h97, h36, h93, h62, h63 ;
r104 : h67, h15, h95, h77, h24 ;
r105 : h70, h74, h1, h46, h43 ;
r106 : h63, h16, h54, h49, h53 ;
r107 : h18, h57, h89, h73, h79 ;
r108 : h82, h99, h16, h91, h7 ;
r109 : h63, h24, h21, h54, h59 ;
r110 : h43, h18, h1, h8, h79 ;
r111 : h36, h44, h24, h70, h11 ;
r112 : h93, h67, h28, h64, h10 ;
r113 : h95, h43, h16, h49, h68 ;
r114 : h67, h2, h90, h91, h13 ;
r115 : h97, h93, h43, h7, h64 ;
r116 : h52, h2, h74, h83, h24 ;
r117 : h79, h48, h63, h49, h16 ;
r118 : h97, h3, h17, h29, h49 ;
r119 : h24, h72, h52, h36, h93 ;
r120 : h47, h60, h44, h24, h73 ;
r121 : h10, h52, h43, h18, h9 ;
r122 : h62, h88, h69, h83, h3 ;
r123 : h18, h54, h10, h64, h20 ;
r124 : h83, h91, h67, h24, h62 ;
r125 : h53, h64, h69, h67, h49 ;
r126 : h44, h15, h52, h5, h11 ;
r127 : h3, h81, h89, h27, h43 ;
r128 : h61, h39, h19, h49, h43 ;
r129 : h8, h67, h73, h95, h64 ;
r130 : h29, h3, h83, h43, h32 ;
r131 : h47, h19, h3, h88, h91 ;
r132 : h1, h20, h43, h96, h15 ;
r133 : h57, h33, h69, h47, h15 ;
r134 : h24, h54, h19, h95, h79 ;
r135 : h61, h43, h37, h24, h64 ;
r136 : h45, h49, h47, h15, h36 ;
r137 : h67, h95, h30, h24, h77 ;
r138 : h19, h7, h83, h24, h37 ;
r139 : h77, h64, h69, h58, h61 ;
r140 : h62, h11, h51, h79, h5 ;
r141 : h24, h44, h19, h42, h94 ;
r142 : h52, h69, h62, h37, h88 ;
r143 : h57, h70, h82, h68, h42 ;
r144 : h93, h37, h65, h24, h19 ;
r145 : h45, h35, h81, h13, h97 ;
r146 : h18, h16, h32, h67, h64 ;
r147 : h83, h70, h61, h29, h15 ;
r148 : h77, h37, h82, h54, h52 ;
r149 : h24, h52, h82, h19, h6 ;
r150 : h64, h47, h70, h34, h35 ;
r151 : h49, h15, h19, h47, h44 ;
r152 : h10, h95, h7, h37, h44 ;
r153 : h81, h60, h32, h44, h2 ;
r154 : h67, h24, h52, h63, h35 ;
r155 : h82, h78, h71, h90, h42 ;
r156 : h63, h67, h88, h17, h43 ;
r157 : h2, h81, h87, h38, h15 ;
r158 : h3, h2, h42, h62, h36 ;
r159 : h2, h90, h97, h16, h17 ;
r160 : h85, h3, h71, h70, h69 ;
r161 : h69, h19, h77, h24, h2 ;
r162 : h54, h5, h64, h69, h43 ;
r163 : h5, h49, h64, h23, h45 ;
r164 : h77, h16, h9, h93, h7 ;
r165 : h58, h2, h49, h16, h43 ;
r166 : h24, h95, h63, h81, h11 ;
r167 : h79, h49, h52, h43, h26 ;
r168 : h43, h95, h77, h49, h68 ;
r169 : h11, h92, h43, h35, h83 ;
r170 : h1, h24, h64, h61, h81 ;
r171 : h47, h79, h19, h46, h1 ;
r172 : h10, h23, h19, h95, h82 ;
r173 : h70, h95, h33, h49, h77 ;
r174 : h44, h20, h97, h5, h49 ;
r175 : h5, h84, h37, h16, h62 ;
r176 : h35, h54, h37, h16, h20 ;
r177 : h21, h1, h89, h43, h66 ;
r178 : h44, h95, h43, h93, h24 ;
r179 : h93, h19, h24, h46, h2 ;
r180 : h18, h93, h24, h3, h88 ;
r181 : h61, h36, h44, h13, h93 ;
r182 : h67, h2, h49, h64, h7 ;
r183 : h61, h36, h69, h79, h18 ;
r184 : h24, h43, h66, h90, h83 ;
r185 : h77, h16, h24, h47, h35 ;
r186 : h52, h10, h24, h67, h88 ;
r187 : h49, h24, h63, h77, h53 ;
r188 : h35, h65, h63, h52, h53 ;
r189 : h52, h43, h97, h19, h76 ;
r190 : h49, h97, h89, h95, h61 ;
r191 : h35, h47, h79, h43, h87 ;
r192 : h83, h82, h64, h18, h88 ;
r193 : h43, h2, h16, h62, h93 ;
r194 : h7, h57, h85, h49, h19 ;
r195 : h97, h54, h79, h92, h95 ;
r196 : h7, h40, h66, h49, h19 ;
r197 : h54, h33, h59, h49, h36 ;
r198 : h36, h7, h69, h3, h35 ;
r199 : h49, h24, h91, h42, h2 ;
r200 : h15, h67, h52, h24, h69 ;
r201 : h70, h30, h91, h97, h16 ;
r202 : h49, h16, h83, h3, h43 ;
r203 : h54, h50, h36, h48, h2 ;
r204 : h24, h58, h94, h95, h2 ;
r205 : h79, h3, h24, h27, h35 ;
r206 : h77, h64, h70, h33, h69 ;
r207 : h37, h67, h88, h33, h70 ;
r208 : h79, h61, h12, h24, h15 ;
r209 : h70, h79, h81, h43, h24 ;
r210 : h19, h81, h73, h79, h33 ;
r211 : h3, h93, h17, h2, h49 ;
r212 : h64, h88, h3, h2, h24 ;
