@PartitionA
r1, r2, r3, r4, r5, r6, r7, r8, r9, r10, r11, r12, r13, r14, r15, r16, r17, r18, r19, r20, r21, r22, r23, r24, r25, r26, r27, r28, r29, r30, r31, r32, r33, r34, r35, r36, r37, r38, r39, r40, r41, r42, r43, r44, r45, r46, r47, r48, r49, r50, r51, r52, r53, r54, r55, r56, r57, r58, r59, r60, r61, r62, r63, r64, r65, r66, r67, r68, r69, r70, r71, r72, r73, r74, r75, r76, r77, r78, r79, r80, r81, r82, r83, r84, r85, r86, r87, r88, r89, r90, r91, r92, r93, r94, r95, r96, r97, r98, r99, r100, r101, r102, r103, r104, r105, r106, r107, r108, r109, r110, r111, r112, r113, r114, r115, r116, r117, r118, r119, r120, r121, r122, r123, r124, r125, r126, r127, r128, r129, r130, r131, r132, r133, r134, r135, r136, r137, r138, r139, r140, r141, r142, r143, r144, r145, r146, r147, r148, r149, r150, r151, r152, r153, r154, r155, r156, r157, r158, r159, r160, r161, r162, r163, r164, r165, r166, r167, r168, r169, r170, r171, r172, r173, r174, r175, r176, r177, r178, r179, r180, r181, r182, r183, r184, r185, r186, r187, r188, r189, r190, r191, r192, r193, r194, r195, r196, r197, r198, r199, r200, r201, r202, r203, r204, r205, r206, r207, r208, r209, r210, r211, r212, r213, r214, r215, r216, r217, r218, r219, r220, r221, r222, r223, r224, r225, r226, r227, r228, r229, r230, r231, r232, r233, r234, r235, r236, r237, r238, r239, r240, r241, r242, r243, r244, r245, r246, r247, r248, r249, r250, r251, r252, r253, r254, r255, r256, r257, r258, r259, r260, r261, r262, r263, r264, r265, r266, r267, r268, r269, r270, r271, r272, r273, r274, r275, r276, r277, r278, r279, r280, r281, r282, r283, r284, r285, r286, r287, r288, r289, r290, r291, r292, r293, r294, r295, r296, r297, r298, r299, r300, r301, r302, r303, r304, r305, r306, r307, r308, r309, r310, r311, r312, r313, r314, r315, r316, r317, r318, r319, r320, r321, r322, r323, r324, r325, r326, r327, r328, r329, r330, r331, r332, r333, r334, r335, r336, r337, r338, r339, r340, r341, r342, r343, r344, r345, r346, r347, r348, r349, r350, r351, r352, r353, r354, r355, r356, r357, r358, r359, r360, r361, r362, r363, r364, r365, r366, r367, r368, r369, r370, r371, r372, r373, r374, r375, r376, r377, r378, r379, r380, r381, r382, r383, r384, r385, r386, r387, r388, r389, r390, r391, r392, r393, r394, r395, r396, r397, r398, r399, r400, r401, r402, r403, r404, r405, r406, r407, r408, r409, r410, r411, r412, r413, r414, r415, r416, r417, r418, r419, r420, r421, r422, r423, r424, r425, r426, r427, r428, r429, r430, r431, r432, r433, r434, r435, r436, r437, r438, r439, r440, r441, r442, r443, r444, r445, r446, r447, r448, r449, r450, r451, r452, r453, r454, r455, r456, r457, r458, r459, r460, r461, r462, r463, r464, r465, r466, r467, r468, r469, r470, r471, r472, r473, r474, r475, r476, r477, r478, r479, r480, r481, r482, r483, r484, r485, r486, r487, r488, r489, r490, r491, r492, r493, r494, r495, r496, r497, r498, r499, r500, r501, r502, r503, r504, r505, r506, r507, r508, r509, r510, r511, r512, r513, r514, r515, r516, r517, r518, r519, r520, r521, r522, r523, r524, r525, r526, r527, r528, r529, r530, r531, r532, r533, r534, r535, r536, r537, r538, r539, r540, r541, r542, r543, r544, r545, r546, r547, r548, r549, r550, r551, r552, r553, r554, r555, r556, r557, r558, r559, r560, r561, r562, r563, r564, r565, r566, r567, r568, r569, r570, r571, r572, r573, r574, r575, r576, r577, r578, r579, r580, r581, r582, r583, r584, r585, r586, r587, r588, r589, r590, r591, r592, r593, r594, r595, r596, r597, r598, r599, r600, r601, r602, r603, r604, r605, r606, r607, r608, r609, r610, r611, r612, r613, r614, r615, r616, r617, r618, r619, r620, r621, r622, r623, r624, r625, r626, r627, r628, r629, r630, r631, r632, r633, r634, r635, r636, r637, r638, r639, r640, r641, r642, r643, r644, r645, r646, r647, r648, r649, r650, r651, r652, r653, r654, r655, r656, r657, r658, r659, r660, r661, r662, r663, r664, r665, r666, r667, r668, r669, r670, r671, r672, r673, r674, r675, r676, r677, r678, r679, r680, r681, r682, r683, r684, r685, r686, r687, r688, r689, r690, r691, r692, r693, r694, r695, r696, r697, r698, r699, r700, r701, r702, r703, r704, r705, r706, r707, r708, r709, r710, r711, r712, r713, r714, r715, r716, r717, r718, r719, r720, r721, r722, r723, r724, r725, r726, r727, r728, r729, r730, r731, r732, r733, r734, r735, r736, r737, r738, r739, r740, r741, r742, r743, r744, r745, r746, r747, r748, r749, r750, r751, r752, r753, r754, r755, r756, r757, r758, r759, r760, r761, r762, r763, r764, r765, r766, r767, r768, r769, r770, r771, r772, r773, r774, r775, r776, r777, r778, r779, r780, r781, r782, r783, r784, r785, r786, r787, r788, r789, r790, r791, r792, r793, r794, r795, r796, r797, r798, r799, r800, r801, r802, r803, r804, r805, r806, r807, r808, r809, r810, r811, r812, r813, r814, r815, r816, r817, r818, r819, r820, r821, r822, r823, r824, r825, r826, r827, r828, r829, r830, r831, r832, r833, r834, r835, r836, r837, r838, r839, r840, r841, r842, r843, r844, r845, r846, r847, r848, r849, r850, r851, r852, r853, r854, r855, r856, r857, r858, r859, r860, r861, r862, r863, r864, r865, r866, r867, r868, r869, r870, r871, r872, r873, r874, r875, r876, r877, r878, r879, r880, r881, r882, r883, r884, r885, r886, r887, r888, r889, r890, r891, r892, r893, r894, r895, r896, r897, r898, r899, r900, r901, r902, r903, r904, r905, r906, r907, r908, r909, r910, r911, r912, r913, r914, r915, r916, r917, r918, r919, r920, r921, r922, r923, r924, r925, r926, r927, r928, r929, r930, r931, r932, r933, r934, r935, r936, r937, r938, r939, r940, r941, r942, r943, r944, r945, r946, r947, r948, r949, r950, r951, r952, r953, r954, r955, r956, r957, r958, r959, r960, r961, r962, r963, r964, r965, r966, r967, r968, r969, r970, r971, r972, r973, r974, r975, r976, r977, r978, r979, r980, r981, r982, r983, r984, r985, r986, r987, r988, r989, r990, r991, r992, r993, r994, r995, r996, r997, r998, r999, r1000 ;
@End

@PartitionB
h36 (1, 10), h13 (5, 10), h86 (2, 10), h73 (8, 10), h38 (2, 10), h27 (4, 10), h24 (2, 10), h55 (0, 10), h33 (8, 10), h67 (7, 10), h12 (0, 10), h57 (10, 10), h41 (2, 10), h64 (8, 10), h28 (7, 10), h21 (4, 10), h5 (8, 10), h88 (4, 10), h56 (4, 10), h2 (8, 10), h4 (10, 10), h53 (7, 10), h99 (3, 10), h74 (3, 10), h17 (3, 10), h25 (10, 10), h65 (9, 10), h44 (0, 10), h66 (1, 10), h51 (0, 10), h49 (1, 10), h83 (2, 10), h14 (6, 10), h20 (0, 10), h29 (8, 10), h18 (0, 10), h48 (9, 10), h46 (9, 10), h31 (1, 10), h91 (2, 10), h50 (3, 10), h90 (0, 10), h6 (10, 10), h7 (9, 10), h15 (0, 10), h82 (2, 10), h37 (1, 10), h45 (10, 10), h85 (6, 10), h59 (2, 10), h63 (1, 10), h32 (6, 10), h11 (6, 10), h62 (9, 10), h87 (3, 10), h8 (0, 10), h40 (2, 10), h93 (5, 10), h58 (10, 10), h61 (3, 10), h75 (2, 10), h19 (9, 10), h95 (9, 10), h47 (8, 10), h96 (4, 10), h100 (6, 10), h89 (5, 10), h34 (10, 10), h70 (9, 10), h23 (7, 10), h69 (10, 10), h80 (9, 10), h35 (9, 10), h52 (10, 10), h16 (8, 10), h72 (4, 10), h1 (0, 10), h10 (2, 10), h30 (0, 10), h76 (7, 10), h43 (6, 10), h92 (8, 10), h84 (5, 10), h42 (4, 10), h78 (6, 10), h3 (8, 10), h22 (2, 10), h54 (9, 10), h77 (4, 10), h97 (2, 10), h98 (9, 10), h9 (8, 10), h68 (9, 10), h81 (3, 10), h39 (8, 10), h71 (0, 10), h60 (3, 10), h94 (6, 10), h26 (0, 10), h79 (2, 10) ;
@End

@PreferenceListsA
r1 : h2, h56, h44, h64, h54, h19, h52, h85, h34, h91, h3, h74, h35, h13, h23 ;
r2 : h34, h44, h87, h32, h61, h41, h4, h86, h14, h12, h67, h2, h10, h52, h99 ;
r3 : h54, h7, h99, h44, h2, h34, h42, h84, h25, h1, h93, h23, h52, h10, h64 ;
r4 : h64, h8, h71, h12, h39, h2, h29, h84, h10, h30, h42, h51, h52, h13, h41 ;
r5 : h93, h22, h87, h44, h49, h10, h35, h27, h8, h99, h72, h23, h14, h1, h2 ;
r6 : h54, h43, h11, h32, h35, h27, h52, h97, h64, h98, h58, h61, h13, h2, h49 ;
r7 : h87, h52, h44, h92, h30, h6, h26, h68, h89, h74, h7, h14, h85, h43, h12 ;
r8 : h13, h87, h6, h96, h44, h26, h74, h91, h61, h33, h38, h42, h19, h84, h14 ;
r9 : h49, h10, h12, h40, h85, h42, h44, h57, h39, h84, h34, h1, h24, h54, h36 ;
r10 : h64, h42, h13, h26, h87, h98, h68, h15, h61, h3, h54, h30, h84, h97, h50 ;
r11 : h5, h11, h36, h74, h44, h84, h87, h23, h52, h20, h34, h22, h98, h85, h64 ;
r12 : h58, h1, h36, h13, h3, h98, h95, h34, h50, h49, h39, h52, h2, h42, h84 ;
r13 : h64, h17, h91, h96, h15, h4, h49, h33, h72, h2, h34, h57, h93, h36, h12 ;
r14 : h73, h6, h75, h56, h49, h12, h99, h10, h52, h2, h22, h1, h85, h89, h11 ;
r15 : h50, h23, h6, h19, h53, h68, h99, h100, h34, h64, h8, h51, h66, h13, h1 ;
r16 : h7, h83, h40, h8, h35, h100, h26, h62, h23, h97, h81, h1, h68, h61, h30 ;
r17 : h51, h34, h49, h95, h2, h25, h30, h100, h10, h52, h73, h23, h26, h33, h19 ;
r18 : h2, h12, h63, h95, h19, h13, h68, h61, h15, h6, h32, h44, h87, h52, h99 ;
r19 : h10, h19, h44, h65, h9, h36, h55, h13, h68, h34, h52, h24, h93, h64, h12 ;
r20 : h92, h51, h93, h64, h61, h44, h99, h2, h54, h8, h53, h73, h10, h14, h34 ;
r21 : h30, h35, h15, h93, h96, h85, h24, h19, h7, h73, h66, h57, h99, h56, h44 ;
r22 : h30, h10, h61, h49, h13, h52, h22, h85, h44, h96, h24, h15, h64, h83, h4 ;
r23 : h49, h22, h30, h52, h66, h36, h1, h100, h87, h35, h91, h8, h96, h18, h12 ;
r24 : h47, h32, h23, h44, h57, h87, h4, h50, h83, h10, h13, h14, h7, h70, h1 ;
r25 : h52, h51, h58, h49, h27, h87, h81, h66, h25, h68, h19, h89, h48, h26, h70 ;
r26 : h23, h34, h29, h98, h44, h100, h36, h87, h30, h15, h31, h41, h90, h66, h25 ;
r27 : h98, h44, h41, h66, h1, h59, h25, h22, h33, h38, h24, h97, h53, h52, h36 ;
r28 : h61, h27, h31, h60, h36, h97, h51, h44, h73, h84, h87, h39, h52, h5, h7 ;
r29 : h87, h1, h39, h17, h98, h44, h51, h97, h80, h100, h96, h93, h30, h26, h86 ;
r30 : h96, h67, h52, h10, h36, h49, h2, h61, h92, h51, h87, h65, h95, h1, h44 ;
r31 : h30, h86, h33, h70, h35, h13, h1, h14, h77, h19, h26, h66, h55, h52, h36 ;
r32 : h44, h6, h78, h99, h65, h16, h50, h52, h8, h7, h69, h49, h15, h33, h34 ;
r33 : h7, h1, h93, h50, h49, h36, h84, h67, h44, h65, h15, h64, h97, h61, h29 ;
r34 : h65, h5, h99, h85, h40, h98, h34, h49, h92, h25, h77, h57, h12, h1, h89 ;
r35 : h23, h47, h73, h35, h95, h36, h31, h19, h44, h13, h22, h51, h62, h27, h52 ;
r36 : h22, h85, h50, h97, h23, h52, h80, h31, h96, h34, h55, h13, h49, h10, h12 ;
r37 : h22, h61, h47, h25, h52, h73, h91, h1, h49, h34, h87, h2, h27, h44, h7 ;
r38 : h7, h12, h87, h56, h35, h31, h14, h99, h36, h57, h30, h64, h66, h13, h44 ;
r39 : h87, h52, h99, h12, h85, h84, h32, h15, h47, h73, h86, h18, h10, h23, h26 ;
r40 : h23, h98, h61, h97, h92, h12, h48, h34, h85, h99, h64, h36, h24, h68, h87 ;
r41 : h42, h98, h68, h66, h36, h26, h91, h56, h14, h1, h50, h39, h67, h32, h49 ;
r42 : h26, h27, h66, h98, h55, h10, h100, h44, h68, h13, h87, h99, h25, h5, h57 ;
r43 : h19, h85, h12, h10, h68, h44, h93, h49, h50, h2, h35, h1, h87, h34, h99 ;
r44 : h57, h52, h22, h99, h93, h97, h68, h50, h70, h44, h87, h1, h36, h64, h7 ;
r45 : h64, h43, h54, h8, h44, h55, h49, h10, h19, h98, h15, h50, h52, h12, h65 ;
r46 : h83, h66, h49, h30, h1, h44, h26, h56, h32, h75, h23, h61, h2, h68, h99 ;
r47 : h2, h10, h44, h35, h12, h23, h87, h92, h96, h25, h1, h89, h31, h70, h16 ;
r48 : h61, h44, h64, h49, h36, h65, h29, h1, h83, h98, h5, h78, h84, h23, h25 ;
r49 : h95, h100, h72, h12, h35, h30, h14, h64, h66, h5, h25, h98, h86, h77, h89 ;
r50 : h44, h26, h93, h64, h52, h10, h100, h85, h2, h92, h3, h98, h77, h12, h7 ;
r51 : h14, h35, h7, h83, h15, h23, h44, h11, h21, h29, h13, h66, h52, h69, h67 ;
r52 : h89, h66, h54, h74, h97, h36, h85, h50, h73, h7, h62, h52, h87, h29, h32 ;
r53 : h1, h85, h87, h84, h66, h35, h95, h31, h41, h30, h7, h2, h11, h64, h45 ;
r54 : h68, h49, h34, h98, h30, h10, h25, h93, h23, h44, h87, h15, h8, h90, h50 ;
r55 : h93, h44, h87, h54, h32, h73, h89, h95, h99, h43, h15, h7, h4, h46, h57 ;
r56 : h96, h32, h67, h31, h51, h95, h1, h27, h87, h98, h36, h50, h47, h42, h40 ;
r57 : h66, h89, h49, h53, h67, h65, h1, h11, h64, h2, h87, h25, h30, h4, h42 ;
r58 : h8, h27, h98, h87, h49, h52, h10, h74, h32, h50, h7, h65, h28, h61, h36 ;
r59 : h96, h85, h14, h44, h35, h27, h87, h49, h33, h12, h61, h64, h6, h1, h2 ;
r60 : h52, h93, h45, h44, h34, h2, h10, h97, h7, h4, h8, h89, h25, h53, h87 ;
r61 : h61, h42, h66, h25, h4, h43, h45, h44, h29, h98, h93, h37, h34, h87, h64 ;
r62 : h51, h3, h44, h39, h99, h55, h24, h84, h1, h61, h47, h85, h35, h43, h52 ;
r63 : h30, h98, h11, h34, h44, h77, h15, h32, h64, h27, h82, h4, h1, h61, h25 ;
r64 : h65, h6, h13, h99, h49, h52, h27, h19, h1, h100, h34, h42, h5, h59, h44 ;
r65 : h66, h44, h4, h85, h62, h28, h6, h58, h97, h56, h93, h68, h19, h41, h12 ;
r66 : h35, h13, h93, h2, h29, h83, h5, h12, h44, h47, h27, h67, h30, h32, h54 ;
r67 : h26, h15, h44, h1, h89, h67, h98, h34, h51, h12, h52, h99, h64, h22, h49 ;
r68 : h36, h44, h22, h68, h29, h97, h85, h74, h4, h42, h11, h84, h52, h40, h2 ;
r69 : h98, h23, h2, h99, h10, h22, h83, h45, h34, h61, h100, h52, h1, h14, h66 ;
r70 : h40, h42, h64, h98, h7, h52, h31, h23, h44, h26, h1, h66, h86, h30, h29 ;
r71 : h17, h44, h50, h47, h25, h100, h14, h85, h32, h67, h98, h51, h84, h42, h87 ;
r72 : h94, h45, h53, h68, h15, h73, h3, h7, h44, h100, h95, h19, h26, h87, h86 ;
r73 : h30, h13, h14, h68, h64, h35, h44, h34, h51, h93, h57, h66, h61, h15, h27 ;
r74 : h10, h7, h84, h26, h36, h100, h66, h30, h1, h11, h74, h49, h99, h39, h73 ;
r75 : h44, h25, h12, h57, h52, h83, h86, h22, h87, h85, h99, h84, h13, h5, h29 ;
r76 : h85, h41, h87, h65, h61, h64, h11, h30, h84, h2, h67, h49, h13, h89, h26 ;
r77 : h25, h35, h27, h52, h53, h68, h44, h4, h10, h12, h56, h98, h70, h14, h50 ;
