@PartitionA
r1, r2, r3, r4, r5, r6, r7, r8, r9, r10, r11, r12, r13, r14, r15, r16, r17, r18, r19, r20, r21, r22, r23, r24, r25, r26, r27, r28, r29, r30, r31, r32, r33, r34, r35, r36, r37, r38, r39, r40, r41, r42, r43, r44, r45, r46, r47, r48, r49, r50, r51, r52, r53, r54, r55, r56, r57, r58, r59, r60, r61, r62, r63, r64, r65, r66, r67, r68, r69, r70, r71, r72, r73, r74, r75, r76, r77, r78, r79, r80, r81, r82, r83, r84, r85, r86, r87, r88, r89, r90, r91, r92, r93, r94, r95, r96, r97, r98, r99, r100, r101, r102, r103, r104, r105, r106, r107, r108, r109, r110, r111, r112, r113, r114, r115, r116, r117, r118, r119, r120, r121, r122, r123, r124, r125, r126, r127, r128, r129, r130, r131, r132, r133, r134, r135, r136, r137, r138, r139, r140, r141, r142, r143, r144, r145, r146, r147, r148, r149, r150, r151, r152, r153, r154, r155, r156, r157, r158, r159, r160, r161, r162, r163, r164, r165, r166, r167, r168, r169, r170, r171, r172, r173, r174, r175, r176, r177, r178, r179, r180, r181, r182, r183, r184, r185, r186, r187, r188, r189, r190, r191, r192, r193, r194, r195, r196, r197, r198, r199, r200, r201, r202, r203, r204, r205, r206, r207, r208, r209, r210, r211, r212, r213, r214, r215, r216, r217, r218, r219, r220, r221, r222, r223, r224, r225, r226, r227, r228, r229, r230, r231, r232, r233, r234, r235, r236, r237, r238, r239, r240, r241, r242, r243, r244, r245, r246, r247, r248, r249, r250, r251, r252, r253, r254, r255, r256, r257, r258, r259, r260, r261, r262, r263, r264, r265, r266, r267, r268, r269, r270, r271, r272, r273, r274, r275, r276, r277, r278, r279, r280, r281, r282, r283, r284, r285, r286, r287, r288, r289, r290, r291, r292, r293, r294, r295, r296, r297, r298, r299, r300, r301, r302, r303, r304, r305, r306, r307, r308, r309, r310, r311, r312, r313, r314, r315, r316, r317, r318, r319, r320, r321, r322, r323, r324, r325, r326, r327, r328, r329, r330, r331, r332, r333, r334, r335, r336, r337, r338, r339, r340, r341, r342, r343, r344, r345, r346, r347, r348, r349, r350, r351, r352, r353, r354, r355, r356, r357, r358, r359, r360, r361, r362, r363, r364, r365, r366, r367, r368, r369, r370, r371, r372, r373, r374, r375, r376, r377, r378, r379, r380, r381, r382, r383, r384, r385, r386, r387, r388, r389, r390, r391, r392, r393, r394, r395, r396, r397, r398, r399, r400, r401, r402, r403, r404, r405, r406, r407, r408, r409, r410, r411, r412, r413, r414, r415, r416, r417, r418, r419, r420, r421, r422, r423, r424, r425, r426, r427, r428, r429, r430, r431, r432, r433, r434, r435, r436, r437, r438, r439, r440, r441, r442, r443, r444, r445, r446, r447, r448, r449, r450, r451, r452, r453, r454, r455, r456, r457, r458, r459, r460, r461, r462, r463, r464, r465, r466, r467, r468, r469, r470, r471, r472, r473, r474, r475, r476, r477, r478, r479, r480, r481, r482, r483, r484, r485, r486, r487, r488, r489, r490, r491, r492, r493, r494, r495, r496, r497, r498, r499, r500, r501, r502, r503, r504, r505, r506, r507, r508, r509, r510, r511, r512, r513, r514, r515, r516, r517, r518, r519, r520, r521, r522, r523, r524, r525, r526, r527, r528, r529, r530, r531, r532, r533, r534, r535, r536, r537, r538, r539, r540, r541, r542, r543, r544, r545, r546, r547, r548, r549, r550, r551, r552, r553, r554, r555, r556, r557, r558, r559, r560, r561, r562, r563, r564, r565, r566, r567, r568, r569, r570, r571, r572, r573, r574, r575, r576, r577, r578, r579, r580, r581, r582, r583, r584, r585, r586, r587, r588, r589, r590, r591, r592, r593, r594, r595, r596, r597, r598, r599, r600, r601, r602, r603, r604, r605, r606, r607, r608, r609, r610, r611, r612, r613, r614, r615, r616, r617, r618, r619, r620, r621, r622, r623, r624, r625, r626, r627, r628, r629, r630, r631, r632, r633, r634, r635, r636, r637, r638, r639, r640, r641, r642, r643, r644, r645, r646, r647, r648, r649, r650, r651, r652, r653, r654, r655, r656, r657, r658, r659, r660, r661, r662, r663, r664, r665, r666, r667, r668, r669, r670, r671, r672, r673, r674, r675, r676, r677, r678, r679, r680, r681, r682, r683, r684, r685, r686, r687, r688, r689, r690, r691, r692, r693, r694, r695, r696, r697, r698, r699, r700, r701, r702, r703, r704, r705, r706, r707, r708, r709, r710, r711, r712, r713, r714, r715, r716, r717, r718, r719, r720, r721, r722, r723, r724, r725, r726, r727, r728, r729, r730, r731, r732, r733, r734, r735, r736, r737, r738, r739, r740, r741, r742, r743, r744, r745, r746, r747, r748, r749, r750, r751, r752, r753, r754, r755, r756, r757, r758, r759, r760, r761, r762, r763, r764, r765, r766, r767, r768, r769, r770, r771, r772, r773, r774, r775, r776, r777, r778, r779, r780, r781, r782, r783, r784, r785, r786, r787, r788, r789, r790, r791, r792, r793, r794, r795, r796, r797, r798, r799, r800, r801, r802, r803, r804, r805, r806, r807, r808, r809, r810, r811, r812, r813, r814, r815, r816, r817, r818, r819, r820, r821, r822, r823, r824, r825, r826, r827, r828, r829, r830, r831, r832, r833, r834, r835, r836, r837, r838, r839, r840, r841, r842, r843, r844, r845, r846, r847, r848, r849, r850, r851, r852, r853, r854, r855, r856, r857, r858, r859, r860, r861, r862, r863, r864, r865, r866, r867, r868, r869, r870, r871, r872, r873, r874, r875, r876, r877, r878, r879, r880, r881, r882, r883, r884, r885, r886, r887, r888, r889, r890, r891, r892, r893, r894, r895, r896, r897, r898, r899, r900, r901, r902, r903, r904, r905, r906, r907, r908, r909, r910, r911, r912, r913, r914, r915, r916, r917, r918, r919, r920, r921, r922, r923, r924, r925, r926, r927, r928, r929, r930, r931, r932, r933, r934, r935, r936, r937, r938, r939, r940, r941, r942, r943, r944, r945, r946, r947, r948, r949, r950, r951, r952, r953, r954, r955, r956, r957, r958, r959, r960, r961, r962, r963, r964, r965, r966, r967, r968, r969, r970, r971, r972, r973, r974, r975, r976, r977, r978, r979, r980, r981, r982, r983, r984, r985, r986, r987, r988, r989, r990, r991, r992, r993, r994, r995, r996, r997, r998, r999, r1000 ;
@End

@PartitionB
h63 (10, 10), h28 (6, 10), h16 (4, 10), h32 (10, 10), h62 (7, 10), h33 (9, 10), h3 (1, 10), h15 (2, 10), h21 (4, 10), h45 (8, 10), h41 (4, 10), h52 (10, 10), h65 (5, 10), h36 (6, 10), h77 (5, 10), h7 (0, 10), h76 (5, 10), h9 (4, 10), h95 (3, 10), h53 (2, 10), h5 (1, 10), h29 (10, 10), h85 (0, 10), h88 (2, 10), h8 (8, 10), h96 (10, 10), h58 (7, 10), h59 (1, 10), h11 (5, 10), h44 (3, 10), h80 (2, 10), h89 (9, 10), h34 (3, 10), h39 (6, 10), h70 (9, 10), h22 (1, 10), h35 (10, 10), h46 (10, 10), h86 (6, 10), h40 (2, 10), h92 (10, 10), h12 (5, 10), h75 (4, 10), h100 (2, 10), h4 (10, 10), h66 (2, 10), h13 (4, 10), h18 (5, 10), h20 (10, 10), h93 (1, 10), h91 (3, 10), h17 (5, 10), h19 (9, 10), h42 (8, 10), h54 (3, 10), h99 (8, 10), h24 (0, 10), h72 (1, 10), h31 (1, 10), h48 (8, 10), h27 (10, 10), h82 (2, 10), h49 (1, 10), h10 (7, 10), h73 (6, 10), h68 (3, 10), h90 (9, 10), h47 (5, 10), h74 (1, 10), h60 (3, 10), h55 (3, 10), h6 (2, 10), h2 (10, 10), h87 (6, 10), h67 (3, 10), h97 (7, 10), h78 (1, 10), h98 (6, 10), h50 (7, 10), h64 (9, 10), h37 (3, 10), h23 (2, 10), h14 (2, 10), h61 (7, 10), h30 (4, 10), h71 (7, 10), h43 (6, 10), h84 (9, 10), h57 (9, 10), h56 (9, 10), h25 (1, 10), h79 (2, 10), h94 (8, 10), h81 (9, 10), h1 (6, 10), h51 (7, 10), h69 (1, 10), h83 (8, 10), h38 (4, 10), h26 (8, 10) ;
@End

@PreferenceListsA
r1 : h83, h76, h23, h49, h52, h81, h53, h80, h24, h79, h99, h94, h71, h93, h39, h2, h84, h92, h32, h60, h1, h64, h55, h74, h75 ;
r2 : h54, h99, h73, h80, h67, h83, h88, h4, h22, h52, h69, h39, h70, h14, h19, h17, h16, h53, h71, h79, h11, h40, h95, h1, h62 ;
r3 : h14, h83, h94, h43, h31, h32, h7, h97, h17, h82, h49, h3, h65, h52, h80, h88, h67, h54, h99, h73, h23, h84, h58, h93, h69 ;
r4 : h87, h7, h80, h79, h27, h1, h99, h36, h73, h75, h81, h64, h56, h65, h52, h70, h97, h88, h68, h94, h71, h62, h21, h17, h83 ;
r5 : h31, h10, h65, h92, h100, h62, h81, h41, h89, h55, h73, h58, h64, h54, h51, h42, h80, h49, h32, h69, h52, h21, h14, h97, h75 ;
r6 : h75, h20, h79, h46, h73, h37, h89, h80, h4, h31, h10, h65, h1, h82, h91, h52, h58, h7, h69, h29, h54, h32, h40, h3, h64 ;
r7 : h80, h53, h17, h100, h55, h5, h16, h70, h20, h54, h83, h19, h26, h82, h44, h73, h37, h59, h49, h85, h7, h67, h65, h94, h91 ;
r8 : h22, h37, h10, h69, h52, h65, h89, h3, h32, h97, h79, h31, h93, h4, h98, h92, h99, h62, h14, h48, h61, h21, h26, h80, h100 ;
r9 : h57, h83, h69, h74, h47, h87, h27, h77, h70, h44, h5, h54, h20, h14, h16, h73, h52, h55, h17, h37, h85, h58, h50, h93, h43 ;
r10 : h70, h3, h86, h14, h22, h97, h100, h1, h81, h74, h90, h36, h88, h46, h80, h58, h37, h12, h57, h82, h54, h50, h20, h7, h93 ;
r11 : h80, h14, h99, h70, h32, h53, h11, h17, h77, h2, h3, h51, h64, h92, h62, h94, h31, h10, h7, h49, h1, h73, h23, h52, h95 ;
r12 : h64, h39, h52, h28, h70, h88, h25, h31, h54, h49, h77, h46, h75, h80, h41, h14, h76, h10, h48, h1, h27, h84, h74, h73, h96 ;
r13 : h36, h37, h52, h56, h10, h57, h62, h40, h49, h64, h80, h100, h35, h7, h60, h59, h34, h89, h43, h27, h58, h65, h26, h17, h92 ;
r14 : h14, h80, h100, h7, h74, h92, h6, h53, h93, h32, h17, h23, h49, h62, h52, h99, h95, h76, h94, h58, h70, h71, h88, h54, h64 ;
r15 : h49, h17, h97, h52, h53, h7, h40, h14, h57, h70, h100, h32, h90, h36, h37, h2, h4, h42, h73, h3, h95, h10, h77, h64, h94 ;
r16 : h62, h27, h49, h99, h2, h88, h64, h73, h50, h53, h5, h67, h52, h89, h31, h57, h23, h93, h80, h74, h65, h94, h54, h60, h81 ;
r17 : h40, h57, h2, h77, h80, h14, h1, h27, h55, h24, h7, h89, h97, h60, h52, h32, h69, h71, h3, h17, h58, h61, h84, h70, h51 ;
r18 : h75, h70, h7, h58, h15, h64, h5, h74, h4, h10, h40, h60, h51, h54, h50, h77, h83, h93, h3, h28, h1, h62, h32, h97, h14 ;
r19 : h53, h80, h39, h52, h62, h40, h48, h82, h17, h1, h50, h3, h13, h47, h99, h75, h76, h32, h88, h56, h64, h89, h77, h31, h49 ;
r20 : h64, h7, h22, h17, h86, h54, h69, h33, h67, h60, h62, h27, h2, h49, h83, h14, h58, h73, h3, h70, h80, h40, h91, h94, h19 ;
r21 : h31, h94, h80, h7, h76, h3, h57, h79, h88, h81, h71, h77, h52, h85, h64, h93, h32, h82, h99, h67, h49, h33, h53, h70, h8 ;
r22 : h31, h35, h73, h54, h32, h1, h68, h88, h58, h67, h62, h99, h64, h3, h80, h94, h14, h23, h2, h56, h52, h60, h16, h17, h100 ;
r23 : h49, h40, h80, h65, h100, h69, h17, h93, h83, h97, h16, h52, h2, h37, h81, h35, h36, h99, h70, h67, h60, h79, h84, h23, h90 ;
r24 : h69, h33, h90, h28, h53, h65, h80, h52, h32, h71, h23, h10, h44, h2, h81, h64, h40, h19, h3, h83, h94, h77, h97, h93, h75 ;
r25 : h95, h14, h48, h58, h1, h65, h22, h64, h92, h80, h3, h12, h77, h97, h31, h94, h39, h54, h79, h71, h32, h83, h52, h44, h2 ;
r26 : h34, h69, h21, h62, h52, h17, h70, h32, h80, h99, h8, h64, h9, h75, h88, h84, h55, h94, h96, h67, h28, h53, h22, h1, h40 ;
r27 : h80, h32, h58, h82, h14, h16, h92, h48, h95, h8, h81, h69, h94, h64, h97, h83, h65, h40, h49, h10, h4, h62, h52, h67, h93 ;
r28 : h100, h10, h52, h65, h58, h3, h80, h62, h69, h83, h75, h38, h31, h14, h67, h49, h6, h82, h40, h37, h17, h88, h54, h4, h81 ;
r29 : h52, h70, h3, h65, h77, h93, h100, h64, h14, h86, h89, h58, h71, h27, h88, h79, h31, h80, h22, h17, h95, h7, h28, h75, h1 ;
r30 : h65, h7, h82, h49, h58, h90, h53, h74, h80, h40, h52, h93, h42, h64, h69, h60, h28, h94, h46, h4, h10, h17, h25, h37, h32 ;
r31 : h7, h52, h40, h69, h3, h11, h31, h32, h53, h17, h85, h44, h29, h80, h94, h73, h12, h1, h70, h71, h62, h97, h49, h60, h65 ;
r32 : h75, h77, h81, h30, h32, h11, h62, h58, h23, h17, h80, h60, h56, h52, h85, h4, h70, h14, h83, h79, h69, h90, h2, h24, h37 ;
r33 : h32, h85, h88, h80, h17, h94, h79, h75, h62, h7, h52, h10, h24, h2, h54, h93, h49, h82, h89, h65, h76, h3, h26, h73, h58 ;
r34 : h15, h97, h37, h75, h1, h74, h7, h19, h46, h92, h99, h2, h3, h45, h70, h14, h33, h32, h69, h76, h61, h58, h89, h8, h27 ;
r35 : h45, h7, h12, h64, h59, h62, h14, h37, h50, h39, h100, h69, h80, h95, h65, h4, h68, h82, h83, h70, h17, h61, h42, h3, h6 ;
r36 : h52, h32, h83, h2, h37, h53, h82, h89, h73, h88, h14, h70, h46, h80, h74, h8, h71, h17, h44, h94, h7, h10, h65, h69, h84 ;
r37 : h65, h49, h58, h62, h10, h54, h17, h97, h100, h1, h80, h14, h28, h69, h32, h61, h84, h37, h52, h8, h90, h94, h33, h3, h83 ;
r38 : h62, h87, h37, h97, h10, h50, h52, h39, h35, h70, h80, h58, h31, h71, h21, h2, h3, h57, h1, h4, h99, h48, h14, h85, h88 ;
r39 : h14, h37, h82, h80, h100, h83, h75, h58, h97, h69, h32, h1, h16, h60, h65, h41, h90, h89, h64, h84, h17, h71, h27, h54, h26 ;
r40 : h81, h10, h37, h4, h49, h100, h52, h92, h77, h29, h55, h14, h73, h31, h75, h58, h1, h64, h82, h54, h62, h65, h94, h95, h45 ;
r41 : h73, h64, h29, h80, h75, h10, h37, h52, h77, h97, h70, h4, h14, h79, h57, h16, h2, h48, h32, h86, h55, h96, h49, h40, h84 ;
r42 : h37, h94, h64, h56, h65, h17, h49, h1, h22, h52, h73, h83, h54, h61, h32, h2, h27, h57, h81, h47, h23, h28, h31, h19, h10 ;
r43 : h55, h85, h27, h80, h7, h75, h37, h23, h89, h81, h60, h32, h14, h99, h69, h41, h64, h26, h1, h78, h39, h88, h54, h58, h10 ;
r44 : h22, h93, h35, h80, h60, h16, h37, h26, h83, h64, h94, h90, h2, h29, h76, h1, h50, h84, h52, h10, h51, h54, h85, h91, h71 ;
r45 : h92, h2, h84, h83, h62, h80, h37, h4, h7, h60, h64, h97, h58, h14, h44, h32, h3, h85, h50, h88, h52, h54, h77, h93, h94 ;
r46 : h62, h80, h81, h75, h69, h32, h41, h19, h100, h92, h84, h93, h79, h4, h55, h39, h60, h52, h99, h64, h12, h83, h36, h1, h77 ;
r47 : h52, h75, h2, h89, h64, h58, h61, h79, h81, h88, h31, h14, h17, h70, h92, h53, h27, h26, h16, h35, h12, h32, h77, h80, h93 ;
r48 : h27, h52, h61, h30, h88, h80, h64, h49, h37, h32, h93, h94, h17, h35, h60, h36, h95, h70, h16, h62, h3, h65, h1, h83, h14 ;
r49 : h56, h99, h58, h73, h22, h53, h84, h10, h3, h48, h71, h88, h79, h62, h49, h25, h51, h8, h70, h19, h44, h7, h76, h17, h39 ;
r50 : h70, h14, h100, h52, h12, h32, h3, h69, h92, h94, h67, h57, h60, h17, h37, h10, h53, h4, h26, h64, h90, h97, h77, h82, h7 ;
