@PartitionA
r1, r2, r3, r4, r5, r6, r7, r8, r9, r10, r11, r12, r13, r14, r15, r16, r17, r18, r19, r20, r21, r22, r23, r24, r25, r26, r27, r28, r29, r30, r31, r32, r33, r34, r35, r36, r37, r38, r39, r40, r41, r42, r43, r44, r45, r46, r47, r48, r49, r50, r51, r52, r53, r54, r55, r56, r57, r58, r59, r60, r61, r62, r63, r64, r65, r66, r67, r68, r69, r70, r71, r72, r73, r74, r75, r76, r77, r78, r79, r80, r81, r82, r83, r84, r85, r86, r87, r88, r89, r90, r91, r92, r93, r94, r95, r96, r97, r98, r99, r100, r101, r102, r103, r104, r105, r106, r107, r108, r109, r110, r111, r112, r113, r114, r115, r116, r117, r118, r119, r120, r121, r122, r123, r124, r125, r126, r127, r128, r129, r130, r131, r132, r133, r134, r135, r136, r137, r138, r139, r140, r141, r142, r143, r144, r145, r146, r147, r148, r149, r150, r151, r152, r153, r154, r155, r156, r157, r158, r159, r160, r161, r162, r163, r164, r165, r166, r167, r168, r169, r170, r171, r172, r173, r174, r175, r176, r177, r178, r179, r180, r181, r182, r183, r184, r185, r186, r187, r188, r189, r190, r191, r192, r193, r194, r195, r196, r197, r198, r199, r200, r201, r202, r203, r204, r205, r206, r207, r208, r209, r210, r211, r212, r213, r214, r215, r216, r217, r218, r219, r220, r221, r222, r223, r224, r225, r226, r227, r228, r229, r230, r231, r232, r233, r234, r235, r236, r237, r238, r239, r240, r241, r242, r243, r244, r245, r246, r247, r248, r249, r250, r251, r252, r253, r254, r255, r256, r257, r258, r259, r260, r261, r262, r263, r264, r265, r266, r267, r268, r269, r270, r271, r272, r273, r274, r275, r276, r277, r278, r279, r280, r281, r282, r283, r284, r285, r286, r287, r288, r289, r290, r291, r292, r293, r294, r295, r296, r297, r298, r299, r300, r301, r302, r303, r304, r305, r306, r307, r308, r309, r310, r311, r312, r313, r314, r315, r316, r317, r318, r319, r320, r321, r322, r323, r324, r325, r326, r327, r328, r329, r330, r331, r332, r333, r334, r335, r336, r337, r338, r339, r340, r341, r342, r343, r344, r345, r346, r347, r348, r349, r350, r351, r352, r353, r354, r355, r356, r357, r358, r359, r360, r361, r362, r363, r364, r365, r366, r367, r368, r369, r370, r371, r372, r373, r374, r375, r376, r377, r378, r379, r380, r381, r382, r383, r384, r385, r386, r387, r388, r389, r390, r391, r392, r393, r394, r395, r396, r397, r398, r399, r400, r401, r402, r403, r404, r405, r406, r407, r408, r409, r410, r411, r412, r413, r414, r415, r416, r417, r418, r419, r420, r421, r422, r423, r424, r425, r426, r427, r428, r429, r430, r431, r432, r433, r434, r435, r436, r437, r438, r439, r440, r441, r442, r443, r444, r445, r446, r447, r448, r449, r450, r451, r452, r453, r454, r455, r456, r457, r458, r459, r460, r461, r462, r463, r464, r465, r466, r467, r468, r469, r470, r471, r472, r473, r474, r475, r476, r477, r478, r479, r480, r481, r482, r483, r484, r485, r486, r487, r488, r489, r490, r491, r492, r493, r494, r495, r496, r497, r498, r499, r500, r501, r502, r503, r504, r505, r506, r507, r508, r509, r510, r511, r512, r513, r514, r515, r516, r517, r518, r519, r520, r521, r522, r523, r524, r525, r526, r527, r528, r529, r530, r531, r532, r533, r534, r535, r536, r537, r538, r539, r540, r541, r542, r543, r544, r545, r546, r547, r548, r549, r550, r551, r552, r553, r554, r555, r556, r557, r558, r559, r560, r561, r562, r563, r564, r565, r566, r567, r568, r569, r570, r571, r572, r573, r574, r575, r576, r577, r578, r579, r580, r581, r582, r583, r584, r585, r586, r587, r588, r589, r590, r591, r592, r593, r594, r595, r596, r597, r598, r599, r600, r601, r602, r603, r604, r605, r606, r607, r608, r609, r610, r611, r612, r613, r614, r615, r616, r617, r618, r619, r620, r621, r622, r623, r624, r625, r626, r627, r628, r629, r630, r631, r632, r633, r634, r635, r636, r637, r638, r639, r640, r641, r642, r643, r644, r645, r646, r647, r648, r649, r650, r651, r652, r653, r654, r655, r656, r657, r658, r659, r660, r661, r662, r663, r664, r665, r666, r667, r668, r669, r670, r671, r672, r673, r674, r675, r676, r677, r678, r679, r680, r681, r682, r683, r684, r685, r686, r687, r688, r689, r690, r691, r692, r693, r694, r695, r696, r697, r698, r699, r700, r701, r702, r703, r704, r705, r706, r707, r708, r709, r710, r711, r712, r713, r714, r715, r716, r717, r718, r719, r720, r721, r722, r723, r724, r725, r726, r727, r728, r729, r730, r731, r732, r733, r734, r735, r736, r737, r738, r739, r740, r741, r742, r743, r744, r745, r746, r747, r748, r749, r750, r751, r752, r753, r754, r755, r756, r757, r758, r759, r760, r761, r762, r763, r764, r765, r766, r767, r768, r769, r770, r771, r772, r773, r774, r775, r776, r777, r778, r779, r780, r781, r782, r783, r784, r785, r786, r787, r788, r789, r790, r791, r792, r793, r794, r795, r796, r797, r798, r799, r800, r801, r802, r803, r804, r805, r806, r807, r808, r809, r810, r811, r812, r813, r814, r815, r816, r817, r818, r819, r820, r821, r822, r823, r824, r825, r826, r827, r828, r829, r830, r831, r832, r833, r834, r835, r836, r837, r838, r839, r840, r841, r842, r843, r844, r845, r846, r847, r848, r849, r850, r851, r852, r853, r854, r855, r856, r857, r858, r859, r860, r861, r862, r863, r864, r865, r866, r867, r868, r869, r870, r871, r872, r873, r874, r875, r876, r877, r878, r879, r880, r881, r882, r883, r884, r885, r886, r887, r888, r889, r890, r891, r892, r893, r894, r895, r896, r897, r898, r899, r900, r901, r902, r903, r904, r905, r906, r907, r908, r909, r910, r911, r912, r913, r914, r915, r916, r917, r918, r919, r920, r921, r922, r923, r924, r925, r926, r927, r928, r929, r930, r931, r932, r933, r934, r935, r936, r937, r938, r939, r940, r941, r942, r943, r944, r945, r946, r947, r948, r949, r950, r951, r952, r953, r954, r955, r956, r957, r958, r959, r960, r961, r962, r963, r964, r965, r966, r967, r968, r969, r970, r971, r972, r973, r974, r975, r976, r977, r978, r979, r980, r981, r982, r983, r984, r985, r986, r987, r988, r989, r990, r991, r992, r993, r994, r995, r996, r997, r998, r999, r1000 ;
@End

@PartitionB
h37 (6, 10), h13 (0, 10), h29 (8, 10), h89 (7, 10), h95 (6, 10), h12 (2, 10), h82 (6, 10), h27 (8, 10), h53 (10, 10), h7 (2, 10), h30 (7, 10), h6 (6, 10), h38 (8, 10), h23 (2, 10), h22 (2, 10), h2 (9, 10), h57 (1, 10), h80 (7, 10), h32 (7, 10), h10 (0, 10), h39 (6, 10), h19 (0, 10), h55 (6, 10), h65 (3, 10), h83 (5, 10), h17 (10, 10), h63 (4, 10), h62 (5, 10), h71 (0, 10), h20 (9, 10), h75 (4, 10), h36 (1, 10), h3 (5, 10), h42 (6, 10), h69 (1, 10), h5 (2, 10), h77 (5, 10), h84 (1, 10), h41 (2, 10), h25 (6, 10), h94 (8, 10), h4 (6, 10), h73 (0, 10), h90 (9, 10), h76 (9, 10), h67 (6, 10), h26 (2, 10), h92 (4, 10), h100 (9, 10), h79 (4, 10), h70 (10, 10), h45 (0, 10), h47 (4, 10), h46 (5, 10), h74 (7, 10), h14 (1, 10), h96 (5, 10), h91 (7, 10), h35 (8, 10), h97 (1, 10), h21 (0, 10), h33 (6, 10), h72 (3, 10), h88 (8, 10), h1 (8, 10), h58 (1, 10), h18 (1, 10), h98 (7, 10), h9 (7, 10), h68 (2, 10), h61 (3, 10), h99 (3, 10), h31 (5, 10), h60 (8, 10), h44 (3, 10), h50 (1, 10), h48 (3, 10), h59 (1, 10), h54 (1, 10), h8 (7, 10), h85 (6, 10), h11 (4, 10), h51 (7, 10), h34 (6, 10), h64 (5, 10), h86 (0, 10), h49 (8, 10), h93 (8, 10), h24 (4, 10), h40 (9, 10), h43 (9, 10), h66 (10, 10), h16 (0, 10), h81 (10, 10), h78 (3, 10), h52 (2, 10), h28 (7, 10), h15 (10, 10), h56 (9, 10), h87 (0, 10) ;
@End

@PreferenceListsA
r1 : h59, h44, h80, h58, h93 ;
r2 : h3, h98, h36, h91, h88 ;
r3 : h52, h58, h70, h2, h31 ;
r4 : h70, h38, h52, h78, h90 ;
r5 : h72, h57, h11, h46, h50 ;
r6 : h59, h100, h42, h22, h98 ;
r7 : h17, h1, h43, h95, h40 ;
r8 : h70, h81, h91, h53, h10 ;
r9 : h88, h99, h23, h12, h64 ;
r10 : h53, h61, h10, h9, h96 ;
r11 : h86, h28, h61, h64, h45 ;
r12 : h84, h49, h40, h10, h64 ;
r13 : h88, h84, h64, h28, h100 ;
r14 : h89, h61, h81, h39, h100 ;
r15 : h64, h22, h10, h33, h65 ;
r16 : h78, h52, h49, h62, h89 ;
r17 : h83, h40, h86, h63, h14 ;
r18 : h44, h78, h6, h17, h36 ;
r19 : h67, h49, h91, h98, h11 ;
r20 : h89, h22, h63, h39, h9 ;
r21 : h81, h75, h85, h6, h78 ;
r22 : h93, h22, h14, h60, h24 ;
r23 : h40, h93, h89, h86, h31 ;
r24 : h64, h98, h22, h94, h61 ;
r25 : h31, h36, h78, h58, h56 ;
r26 : h98, h89, h79, h62, h5 ;
r27 : h8, h11, h72, h14, h28 ;
r28 : h37, h62, h8, h100, h14 ;
r29 : h59, h78, h99, h89, h64 ;
r30 : h88, h86, h22, h85, h31 ;
r31 : h78, h57, h1, h33, h62 ;
r32 : h15, h26, h24, h33, h61 ;
r33 : h19, h48, h7, h85, h52 ;
r34 : h98, h40, h90, h53, h64 ;
r35 : h64, h32, h49, h50, h35 ;
r36 : h43, h99, h89, h76, h56 ;
r37 : h29, h25, h70, h82, h86 ;
r38 : h94, h91, h33, h8, h62 ;
r39 : h88, h10, h52, h44, h63 ;
r40 : h58, h7, h82, h88, h33 ;
r41 : h62, h98, h69, h2, h49 ;
r42 : h21, h94, h8, h4, h28 ;
r43 : h80, h59, h13, h9, h63 ;
r44 : h64, h61, h78, h67, h8 ;
r45 : h12, h86, h10, h54, h58 ;
r46 : h59, h50, h69, h89, h44 ;
r47 : h70, h98, h59, h62, h14 ;
r48 : h15, h58, h5, h89, h52 ;
r49 : h93, h33, h67, h78, h58 ;
r50 : h63, h48, h14, h86, h43 ;
r51 : h36, h27, h64, h12, h100 ;
r52 : h88, h9, h89, h33, h67 ;
r53 : h46, h72, h29, h61, h94 ;
r54 : h90, h86, h52, h82, h64 ;
r55 : h29, h15, h75, h44, h73 ;
r56 : h100, h58, h40, h90, h78 ;
r57 : h14, h98, h83, h90, h52 ;
r58 : h22, h98, h99, h31, h49 ;
r59 : h64, h33, h40, h60, h58 ;
r60 : h61, h62, h81, h58, h67 ;
r61 : h89, h58, h24, h86, h63 ;
r62 : h52, h50, h64, h51, h23 ;
r63 : h38, h52, h59, h64, h89 ;
r64 : h64, h54, h33, h72, h91 ;
r65 : h86, h82, h64, h85, h94 ;
r66 : h86, h29, h89, h88, h72 ;
r67 : h5, h44, h62, h86, h9 ;
r68 : h69, h88, h4, h31, h46 ;
r69 : h12, h86, h88, h62, h50 ;
r70 : h25, h94, h57, h63, h64 ;
r71 : h61, h42, h76, h10, h85 ;
r72 : h83, h40, h65, h89, h36 ;
r73 : h86, h47, h44, h41, h10 ;
r74 : h37, h19, h98, h40, h64 ;
r75 : h98, h86, h37, h95, h6 ;
r76 : h78, h64, h86, h33, h88 ;
r77 : h98, h60, h37, h43, h91 ;
r78 : h40, h33, h1, h98, h23 ;
r79 : h40, h25, h13, h78, h19 ;
r80 : h85, h42, h94, h29, h3 ;
r81 : h86, h36, h53, h90, h58 ;
r82 : h62, h53, h70, h64, h39 ;
r83 : h64, h86, h98, h27, h40 ;
r84 : h10, h86, h96, h17, h43 ;
r85 : h82, h72, h9, h10, h8 ;
r86 : h81, h40, h19, h9, h94 ;
r87 : h25, h3, h88, h11, h52 ;
r88 : h78, h64, h86, h45, h88 ;
r89 : h62, h47, h19, h43, h44 ;
r90 : h10, h35, h7, h47, h54 ;
r91 : h89, h36, h32, h46, h75 ;
r92 : h41, h84, h13, h56, h52 ;
r93 : h66, h14, h2, h83, h39 ;
r94 : h15, h98, h46, h20, h22 ;
r95 : h28, h98, h44, h82, h40 ;
r96 : h9, h89, h61, h40, h11 ;
r97 : h22, h45, h78, h91, h23 ;
r98 : h17, h64, h50, h8, h22 ;
r99 : h82, h11, h50, h81, h78 ;
r100 : h15, h1, h89, h44, h32 ;
r101 : h61, h69, h58, h78, h7 ;
r102 : h22, h90, h70, h47, h64 ;
r103 : h74, h34, h44, h86, h52 ;
r104 : h72, h78, h64, h54, h7 ;
r105 : h79, h9, h10, h21, h38 ;
r106 : h78, h82, h40, h3, h17 ;
r107 : h64, h54, h39, h90, h50 ;
r108 : h41, h52, h86, h83, h65 ;
r109 : h64, h19, h37, h8, h9 ;
r110 : h23, h64, h98, h29, h46 ;
r111 : h72, h45, h81, h99, h69 ;
r112 : h38, h86, h19, h72, h90 ;
r113 : h61, h72, h2, h29, h91 ;
r114 : h23, h82, h49, h61, h44 ;
r115 : h22, h52, h58, h64, h14 ;
r116 : h58, h9, h88, h50, h79 ;
r117 : h7, h46, h10, h99, h64 ;
r118 : h98, h64, h72, h78, h94 ;
r119 : h81, h83, h19, h9, h5 ;
r120 : h94, h63, h31, h85, h66 ;
r121 : h1, h5, h83, h14, h4 ;
r122 : h41, h15, h64, h1, h63 ;
r123 : h41, h9, h64, h43, h5 ;
r124 : h91, h11, h41, h58, h53 ;
r125 : h64, h91, h32, h10, h61 ;
r126 : h70, h33, h14, h93, h64 ;
r127 : h99, h82, h70, h39, h29 ;
r128 : h63, h46, h58, h33, h81 ;
r129 : h86, h11, h64, h29, h85 ;
r130 : h100, h64, h14, h4, h70 ;
r131 : h47, h46, h83, h81, h44 ;
r132 : h84, h85, h89, h38, h64 ;
r133 : h7, h59, h43, h50, h82 ;
r134 : h44, h54, h89, h78, h9 ;
r135 : h33, h61, h36, h8, h90 ;
r136 : h64, h72, h10, h61, h49 ;
r137 : h6, h31, h64, h98, h7 ;
r138 : h79, h98, h100, h22, h61 ;
r139 : h86, h32, h84, h19, h89 ;
r140 : h65, h78, h29, h8, h28 ;
r141 : h37, h40, h10, h43, h72 ;
r142 : h70, h64, h61, h2, h23 ;
r143 : h2, h74, h14, h91, h17 ;
r144 : h81, h89, h58, h29, h72 ;
r145 : h58, h89, h53, h98, h32 ;
r146 : h91, h62, h12, h88, h53 ;
r147 : h58, h79, h62, h64, h44 ;
r148 : h89, h22, h40, h98, h90 ;
r149 : h32, h89, h7, h85, h70 ;
r150 : h81, h91, h33, h9, h47 ;
r151 : h89, h88, h33, h63, h52 ;
r152 : h21, h86, h64, h14, h98 ;
r153 : h47, h46, h78, h61, h22 ;
r154 : h33, h86, h70, h20, h47 ;
r155 : h86, h25, h64, h78, h58 ;
r156 : h70, h46, h22, h83, h78 ;
r157 : h2, h49, h90, h61, h58 ;
r158 : h2, h69, h51, h6, h10 ;
r159 : h11, h100, h64, h99, h40 ;
r160 : h15, h59, h49, h50, h80 ;
r161 : h100, h22, h89, h25, h47 ;
r162 : h30, h19, h62, h64, h14 ;
r163 : h40, h3, h61, h14, h66 ;
r164 : h28, h100, h64, h81, h33 ;
r165 : h82, h39, h44, h93, h22 ;
r166 : h53, h62, h36, h19, h99 ;
r167 : h100, h47, h89, h13, h21 ;
r168 : h14, h19, h61, h72, h59 ;
r169 : h40, h64, h86, h61, h24 ;
r170 : h52, h98, h88, h25, h40 ;
r171 : h6, h64, h42, h99, h58 ;
r172 : h50, h98, h8, h53, h80 ;
r173 : h31, h35, h88, h37, h83 ;
r174 : h50, h15, h48, h2, h58 ;
r175 : h3, h64, h19, h72, h22 ;
r176 : h40, h6, h50, h30, h43 ;
r177 : h42, h8, h41, h89, h40 ;
r178 : h88, h22, h99, h58, h54 ;
r179 : h64, h89, h56, h22, h15 ;
r180 : h19, h80, h9, h44, h98 ;
