@PartitionA
r1, r2, r3, r4, r5, r6, r7, r8, r9, r10, r11, r12, r13, r14, r15, r16, r17, r18, r19, r20, r21, r22, r23, r24, r25, r26, r27, r28, r29, r30, r31, r32, r33, r34, r35, r36, r37, r38, r39, r40, r41, r42, r43, r44, r45, r46, r47, r48, r49, r50, r51, r52, r53, r54, r55, r56, r57, r58, r59, r60, r61, r62, r63, r64, r65, r66, r67, r68, r69, r70, r71, r72, r73, r74, r75, r76, r77, r78, r79, r80, r81, r82, r83, r84, r85, r86, r87, r88, r89, r90, r91, r92, r93, r94, r95, r96, r97, r98, r99, r100, r101, r102, r103, r104, r105, r106, r107, r108, r109, r110, r111, r112, r113, r114, r115, r116, r117, r118, r119, r120, r121, r122, r123, r124, r125, r126, r127, r128, r129, r130, r131, r132, r133, r134, r135, r136, r137, r138, r139, r140, r141, r142, r143, r144, r145, r146, r147, r148, r149, r150, r151, r152, r153, r154, r155, r156, r157, r158, r159, r160, r161, r162, r163, r164, r165, r166, r167, r168, r169, r170, r171, r172, r173, r174, r175, r176, r177, r178, r179, r180, r181, r182, r183, r184, r185, r186, r187, r188, r189, r190, r191, r192, r193, r194, r195, r196, r197, r198, r199, r200, r201, r202, r203, r204, r205, r206, r207, r208, r209, r210, r211, r212, r213, r214, r215, r216, r217, r218, r219, r220, r221, r222, r223, r224, r225, r226, r227, r228, r229, r230, r231, r232, r233, r234, r235, r236, r237, r238, r239, r240, r241, r242, r243, r244, r245, r246, r247, r248, r249, r250, r251, r252, r253, r254, r255, r256, r257, r258, r259, r260, r261, r262, r263, r264, r265, r266, r267, r268, r269, r270, r271, r272, r273, r274, r275, r276, r277, r278, r279, r280, r281, r282, r283, r284, r285, r286, r287, r288, r289, r290, r291, r292, r293, r294, r295, r296, r297, r298, r299, r300, r301, r302, r303, r304, r305, r306, r307, r308, r309, r310, r311, r312, r313, r314, r315, r316, r317, r318, r319, r320, r321, r322, r323, r324, r325, r326, r327, r328, r329, r330, r331, r332, r333, r334, r335, r336, r337, r338, r339, r340, r341, r342, r343, r344, r345, r346, r347, r348, r349, r350, r351, r352, r353, r354, r355, r356, r357, r358, r359, r360, r361, r362, r363, r364, r365, r366, r367, r368, r369, r370, r371, r372, r373, r374, r375, r376, r377, r378, r379, r380, r381, r382, r383, r384, r385, r386, r387, r388, r389, r390, r391, r392, r393, r394, r395, r396, r397, r398, r399, r400, r401, r402, r403, r404, r405, r406, r407, r408, r409, r410, r411, r412, r413, r414, r415, r416, r417, r418, r419, r420, r421, r422, r423, r424, r425, r426, r427, r428, r429, r430, r431, r432, r433, r434, r435, r436, r437, r438, r439, r440, r441, r442, r443, r444, r445, r446, r447, r448, r449, r450, r451, r452, r453, r454, r455, r456, r457, r458, r459, r460, r461, r462, r463, r464, r465, r466, r467, r468, r469, r470, r471, r472, r473, r474, r475, r476, r477, r478, r479, r480, r481, r482, r483, r484, r485, r486, r487, r488, r489, r490, r491, r492, r493, r494, r495, r496, r497, r498, r499, r500, r501, r502, r503, r504, r505, r506, r507, r508, r509, r510, r511, r512, r513, r514, r515, r516, r517, r518, r519, r520, r521, r522, r523, r524, r525, r526, r527, r528, r529, r530, r531, r532, r533, r534, r535, r536, r537, r538, r539, r540, r541, r542, r543, r544, r545, r546, r547, r548, r549, r550, r551, r552, r553, r554, r555, r556, r557, r558, r559, r560, r561, r562, r563, r564, r565, r566, r567, r568, r569, r570, r571, r572, r573, r574, r575, r576, r577, r578, r579, r580, r581, r582, r583, r584, r585, r586, r587, r588, r589, r590, r591, r592, r593, r594, r595, r596, r597, r598, r599, r600, r601, r602, r603, r604, r605, r606, r607, r608, r609, r610, r611, r612, r613, r614, r615, r616, r617, r618, r619, r620, r621, r622, r623, r624, r625, r626, r627, r628, r629, r630, r631, r632, r633, r634, r635, r636, r637, r638, r639, r640, r641, r642, r643, r644, r645, r646, r647, r648, r649, r650, r651, r652, r653, r654, r655, r656, r657, r658, r659, r660, r661, r662, r663, r664, r665, r666, r667, r668, r669, r670, r671, r672, r673, r674, r675, r676, r677, r678, r679, r680, r681, r682, r683, r684, r685, r686, r687, r688, r689, r690, r691, r692, r693, r694, r695, r696, r697, r698, r699, r700, r701, r702, r703, r704, r705, r706, r707, r708, r709, r710, r711, r712, r713, r714, r715, r716, r717, r718, r719, r720, r721, r722, r723, r724, r725, r726, r727, r728, r729, r730, r731, r732, r733, r734, r735, r736, r737, r738, r739, r740, r741, r742, r743, r744, r745, r746, r747, r748, r749, r750, r751, r752, r753, r754, r755, r756, r757, r758, r759, r760, r761, r762, r763, r764, r765, r766, r767, r768, r769, r770, r771, r772, r773, r774, r775, r776, r777, r778, r779, r780, r781, r782, r783, r784, r785, r786, r787, r788, r789, r790, r791, r792, r793, r794, r795, r796, r797, r798, r799, r800, r801, r802, r803, r804, r805, r806, r807, r808, r809, r810, r811, r812, r813, r814, r815, r816, r817, r818, r819, r820, r821, r822, r823, r824, r825, r826, r827, r828, r829, r830, r831, r832, r833, r834, r835, r836, r837, r838, r839, r840, r841, r842, r843, r844, r845, r846, r847, r848, r849, r850, r851, r852, r853, r854, r855, r856, r857, r858, r859, r860, r861, r862, r863, r864, r865, r866, r867, r868, r869, r870, r871, r872, r873, r874, r875, r876, r877, r878, r879, r880, r881, r882, r883, r884, r885, r886, r887, r888, r889, r890, r891, r892, r893, r894, r895, r896, r897, r898, r899, r900, r901, r902, r903, r904, r905, r906, r907, r908, r909, r910, r911, r912, r913, r914, r915, r916, r917, r918, r919, r920, r921, r922, r923, r924, r925, r926, r927, r928, r929, r930, r931, r932, r933, r934, r935, r936, r937, r938, r939, r940, r941, r942, r943, r944, r945, r946, r947, r948, r949, r950, r951, r952, r953, r954, r955, r956, r957, r958, r959, r960, r961, r962, r963, r964, r965, r966, r967, r968, r969, r970, r971, r972, r973, r974, r975, r976, r977, r978, r979, r980, r981, r982, r983, r984, r985, r986, r987, r988, r989, r990, r991, r992, r993, r994, r995, r996, r997, r998, r999, r1000 ;
@End

@PartitionB
h18 (0, 10), h50 (9, 10), h4 (6, 10), h24 (6, 10), h9 (2, 10), h12 (3, 10), h25 (8, 10), h93 (7, 10), h49 (6, 10), h85 (3, 10), h83 (6, 10), h33 (4, 10), h47 (1, 10), h10 (1, 10), h29 (3, 10), h3 (3, 10), h42 (4, 10), h76 (2, 10), h98 (7, 10), h52 (5, 10), h26 (9, 10), h82 (8, 10), h38 (9, 10), h21 (9, 10), h13 (4, 10), h30 (2, 10), h92 (6, 10), h7 (3, 10), h67 (10, 10), h88 (4, 10), h2 (1, 10), h37 (7, 10), h46 (1, 10), h72 (1, 10), h6 (5, 10), h63 (3, 10), h36 (10, 10), h86 (3, 10), h95 (5, 10), h90 (9, 10), h75 (10, 10), h77 (7, 10), h1 (3, 10), h40 (9, 10), h94 (2, 10), h56 (1, 10), h15 (0, 10), h81 (8, 10), h68 (7, 10), h89 (5, 10), h73 (5, 10), h62 (5, 10), h65 (0, 10), h57 (5, 10), h97 (7, 10), h99 (4, 10), h20 (1, 10), h70 (2, 10), h39 (10, 10), h35 (3, 10), h32 (4, 10), h51 (0, 10), h14 (7, 10), h78 (7, 10), h53 (4, 10), h23 (0, 10), h64 (10, 10), h55 (2, 10), h28 (4, 10), h71 (3, 10), h48 (0, 10), h74 (0, 10), h60 (4, 10), h59 (0, 10), h58 (6, 10), h44 (7, 10), h5 (0, 10), h8 (5, 10), h22 (6, 10), h54 (4, 10), h61 (0, 10), h16 (0, 10), h84 (10, 10), h66 (7, 10), h34 (7, 10), h79 (4, 10), h41 (3, 10), h96 (2, 10), h31 (3, 10), h80 (9, 10), h19 (4, 10), h69 (6, 10), h43 (0, 10), h87 (7, 10), h100 (10, 10), h91 (10, 10), h45 (1, 10), h17 (8, 10), h11 (10, 10), h27 (2, 10) ;
@End

@PreferenceListsA
r1 : h30, h4, h95, h54, h33, h45, h77, h86, h48, h19, h85, h58, h29, h40, h80, h3, h66, h32, h11, h6, h83, h75, h43, h68, h97, h51, h15, h71, h90, h38, h56, h67, h49, h22, h20, h26, h88, h35, h91, h50, h69, h99, h25, h34, h13, h62, h84, h87, h18, h65 ;
r2 : h10, h87, h83, h54, h99, h6, h26, h34, h78, h91, h63, h32, h76, h58, h45, h71, h84, h95, h60, h69, h68, h39, h3, h98, h4, h35, h70, h94, h77, h65, h14, h49, h30, h40, h16, h82, h56, h11, h66, h29, h13, h42, h61, h50, h86, h18, h96, h74, h24, h80 ;
r3 : h52, h20, h34, h50, h80, h8, h65, h58, h22, h74, h89, h5, h84, h77, h11, h24, h40, h56, h51, h69, h30, h61, h66, h54, h49, h4, h19, h85, h87, h18, h100, h79, h27, h32, h45, h29, h31, h95, h68, h67, h57, h60, h83, h46, h26, h70, h71, h14, h23, h48 ;
r4 : h87, h29, h80, h84, h4, h95, h49, h27, h54, h58, h51, h56, h66, h20, h24, h61, h45, h67, h26, h63, h35, h60, h68, h94, h34, h86, h9, h50, h33, h85, h69, h89, h40, h88, h30, h46, h3, h73, h90, h79, h25, h15, h77, h65, h70, h22, h38, h23, h78, h11 ;
r5 : h17, h3, h83, h80, h58, h51, h13, h52, h8, h84, h42, h29, h95, h18, h61, h34, h25, h88, h32, h43, h90, h85, h66, h56, h68, h40, h54, h2, h89, h87, h39, h4, h62, h24, h12, h35, h81, h11, h21, h26, h27, h46, h47, h77, h45, h31, h10, h22, h20, h96 ;
r6 : h31, h50, h92, h83, h51, h6, h58, h61, h48, h90, h46, h22, h26, h54, h86, h29, h30, h52, h34, h15, h80, h4, h69, h96, h91, h67, h75, h3, h66, h85, h87, h10, h23, h9, h99, h32, h49, h27, h95, h11, h39, h35, h38, h20, h45, h16, h77, h100, h56, h13 ;
r7 : h67, h52, h58, h22, h56, h57, h81, h84, h51, h91, h69, h95, h99, h90, h26, h82, h88, h83, h73, h93, h45, h68, h19, h54, h31, h24, h49, h55, h71, h7, h61, h15, h13, h94, h77, h80, h11, h2, h4, h29, h12, h62, h48, h97, h35, h30, h92, h40, h10, h34 ;
r8 : h56, h94, h99, h27, h70, h16, h65, h35, h42, h26, h22, h51, h54, h13, h53, h58, h87, h59, h4, h85, h50, h2, h83, h32, h29, h3, h66, h68, h33, h49, h63, h14, h23, h21, h46, h77, h45, h40, h47, h15, h10, h7, h34, h80, h74, h91, h39, h95, h8, h30 ;
r9 : h20, h11, h67, h54, h95, h84, h17, h52, h77, h2, h45, h70, h86, h40, h58, h49, h27, h13, h3, h71, h4, h80, h16, h22, h65, h85, h50, h18, h35, h34, h56, h51, h63, h33, h88, h87, h90, h6, h25, h10, h74, h24, h8, h30, h29, h66, h23, h68, h15, h32 ;
r10 : h38, h13, h50, h81, h2, h58, h3, h26, h40, h88, h87, h54, h22, h29, h56, h24, h85, h49, h89, h70, h99, h93, h80, h30, h95, h35, h31, h4, h34, h46, h69, h100, h44, h55, h10, h68, h86, h39, h83, h42, h97, h57, h37, h65, h71, h62, h23, h66, h51, h7 ;
r11 : h27, h4, h66, h58, h16, h87, h83, h10, h35, h95, h17, h25, h39, h85, h50, h29, h88, h84, h33, h65, h63, h28, h49, h67, h40, h30, h100, h32, h26, h77, h3, h45, h6, h42, h54, h59, h80, h9, h12, h13, h46, h22, h15, h24, h57, h19, h34, h8, h99, h56 ;
r12 : h85, h78, h53, h58, h9, h4, h33, h26, h51, h10, h6, h40, h13, h54, h22, h95, h14, h30, h90, h69, h50, h15, h94, h67, h29, h82, h35, h34, h63, h71, h3, h18, h12, h65, h27, h56, h87, h77, h19, h49, h45, h23, h60, h70, h80, h73, h11, h52, h84, h17 ;
r13 : h90, h44, h91, h2, h9, h49, h56, h16, h4, h85, h30, h27, h51, h3, h70, h87, h40, h88, h6, h95, h58, h50, h67, h34, h20, h84, h71, h38, h77, h45, h61, h83, h69, h10, h13, h35, h100, h80, h11, h65, h14, h18, h68, h8, h47, h22, h15, h21, h89, h7 ;
r14 : h24, h70, h3, h95, h40, h89, h29, h37, h85, h49, h45, h58, h69, h23, h22, h74, h50, h93, h4, h35, h10, h60, h21, h31, h18, h19, h16, h30, h20, h84, h56, h34, h90, h65, h39, h91, h43, h54, h52, h17, h99, h63, h38, h9, h15, h77, h80, h11, h66, h25 ;
r15 : h58, h61, h8, h50, h95, h69, h84, h39, h42, h67, h10, h96, h49, h54, h3, h34, h68, h81, h22, h99, h80, h40, h18, h88, h13, h20, h4, h32, h51, h63, h29, h27, h66, h9, h56, h30, h47, h100, h57, h91, h11, h89, h77, h26, h46, h87, h64, h35, h83, h52 ;
r16 : h58, h30, h83, h61, h68, h95, h60, h51, h54, h12, h85, h84, h18, h56, h45, h4, h29, h43, h11, h32, h94, h23, h90, h2, h36, h67, h10, h13, h52, h66, h77, h34, h49, h89, h26, h14, h69, h8, h91, h9, h86, h33, h47, h20, h73, h100, h22, h99, h40, h80 ;
r17 : h4, h33, h31, h56, h86, h78, h51, h58, h80, h54, h85, h91, h84, h66, h70, h30, h26, h77, h97, h69, h39, h49, h18, h94, h61, h24, h71, h10, h40, h99, h22, h13, h8, h6, h67, h83, h50, h3, h59, h57, h87, h19, h62, h23, h76, h60, h35, h43, h15, h46 ;
r18 : h35, h16, h85, h51, h89, h60, h77, h8, h59, h45, h34, h69, h95, h87, h52, h66, h50, h24, h6, h40, h58, h99, h49, h80, h26, h3, h10, h54, h4, h63, h17, h56, h38, h90, h67, h29, h83, h32, h5, h22, h62, h11, h21, h33, h20, h96, h18, h61, h86, h74 ;
r19 : h80, h100, h35, h58, h85, h33, h22, h34, h57, h87, h8, h51, h95, h18, h94, h13, h56, h84, h83, h27, h89, h91, h99, h45, h65, h25, h30, h59, h10, h53, h69, h15, h50, h54, h21, h90, h61, h40, h24, h77, h67, h71, h47, h73, h86, h60, h3, h9, h82, h4 ;
r20 : h13, h97, h26, h11, h82, h70, h29, h56, h83, h4, h80, h90, h22, h77, h18, h54, h32, h58, h63, h20, h10, h19, h69, h50, h68, h84, h33, h49, h95, h66, h51, h42, h87, h71, h7, h40, h53, h25, h86, h2, h74, h8, h76, h81, h30, h45, h3, h41, h85, h67 ;
r21 : h13, h70, h95, h49, h5, h26, h65, h86, h10, h53, h39, h27, h50, h34, h17, h4, h91, h66, h96, h93, h56, h67, h83, h85, h58, h100, h54, h63, h99, h35, h71, h7, h23, h3, h30, h29, h68, h22, h82, h77, h87, h90, h69, h38, h8, h40, h33, h24, h15, h47 ;
r22 : h54, h66, h84, h35, h6, h56, h27, h82, h89, h16, h78, h19, h45, h7, h49, h3, h68, h61, h9, h91, h80, h51, h4, h33, h15, h30, h11, h29, h58, h2, h85, h90, h62, h18, h46, h87, h70, h95, h13, h88, h10, h43, h8, h32, h48, h98, h67, h17, h22, h99 ;
r23 : h95, h40, h35, h84, h80, h24, h66, h87, h33, h49, h10, h26, h69, h58, h18, h28, h30, h11, h13, h56, h99, h89, h31, h47, h29, h21, h4, h67, h23, h90, h45, h88, h17, h85, h22, h60, h63, h25, h46, h61, h5, h100, h14, h68, h34, h32, h77, h75, h3, h86 ;
r24 : h54, h29, h22, h70, h35, h84, h86, h95, h5, h58, h32, h34, h77, h4, h18, h88, h45, h89, h46, h66, h24, h42, h28, h56, h63, h51, h99, h2, h39, h71, h60, h65, h9, h15, h67, h33, h68, h3, h49, h64, h10, h48, h40, h30, h13, h69, h96, h90, h20, h61 ;
r25 : h10, h32, h4, h95, h84, h22, h13, h61, h69, h11, h29, h96, h40, h58, h50, h51, h82, h46, h26, h52, h93, h18, h77, h49, h16, h57, h33, h87, h45, h25, h54, h98, h80, h27, h34, h59, h67, h66, h86, h17, h53, h23, h2, h37, h35, h56, h70, h14, h75, h71 ;
r26 : h54, h69, h84, h83, h95, h56, h24, h91, h55, h11, h41, h58, h65, h70, h38, h94, h40, h2, h18, h6, h75, h68, h7, h85, h77, h78, h49, h15, h90, h51, h22, h4, h34, h50, h3, h27, h23, h30, h67, h29, h81, h62, h45, h88, h12, h10, h13, h79, h21, h71 ;
r27 : h61, h56, h35, h14, h45, h16, h30, h75, h33, h95, h3, h22, h90, h29, h34, h84, h10, h40, h88, h28, h11, h58, h59, h4, h68, h27, h54, h67, h53, h18, h51, h46, h32, h49, h15, h98, h78, h66, h25, h71, h87, h13, h63, h70, h85, h24, h12, h2, h47, h36 ;
