@PartitionA
r1, r2, r3, r4, r5, r6, r7, r8, r9, r10, r11, r12, r13, r14, r15, r16, r17, r18, r19, r20, r21, r22, r23, r24, r25, r26, r27, r28, r29, r30, r31, r32, r33, r34, r35, r36, r37, r38, r39, r40, r41, r42, r43, r44, r45, r46, r47, r48, r49, r50, r51, r52, r53, r54, r55, r56, r57, r58, r59, r60, r61, r62, r63, r64, r65, r66, r67, r68, r69, r70, r71, r72, r73, r74, r75, r76, r77, r78, r79, r80, r81, r82, r83, r84, r85, r86, r87, r88, r89, r90, r91, r92, r93, r94, r95, r96, r97, r98, r99, r100, r101, r102, r103, r104, r105, r106, r107, r108, r109, r110, r111, r112, r113, r114, r115, r116, r117, r118, r119, r120, r121, r122, r123, r124, r125, r126, r127, r128, r129, r130, r131, r132, r133, r134, r135, r136, r137, r138, r139, r140, r141, r142, r143, r144, r145, r146, r147, r148, r149, r150, r151, r152, r153, r154, r155, r156, r157, r158, r159, r160, r161, r162, r163, r164, r165, r166, r167, r168, r169, r170, r171, r172, r173, r174, r175, r176, r177, r178, r179, r180, r181, r182, r183, r184, r185, r186, r187, r188, r189, r190, r191, r192, r193, r194, r195, r196, r197, r198, r199, r200, r201, r202, r203, r204, r205, r206, r207, r208, r209, r210, r211, r212, r213, r214, r215, r216, r217, r218, r219, r220, r221, r222, r223, r224, r225, r226, r227, r228, r229, r230, r231, r232, r233, r234, r235, r236, r237, r238, r239, r240, r241, r242, r243, r244, r245, r246, r247, r248, r249, r250, r251, r252, r253, r254, r255, r256, r257, r258, r259, r260, r261, r262, r263, r264, r265, r266, r267, r268, r269, r270, r271, r272, r273, r274, r275, r276, r277, r278, r279, r280, r281, r282, r283, r284, r285, r286, r287, r288, r289, r290, r291, r292, r293, r294, r295, r296, r297, r298, r299, r300, r301, r302, r303, r304, r305, r306, r307, r308, r309, r310, r311, r312, r313, r314, r315, r316, r317, r318, r319, r320, r321, r322, r323, r324, r325, r326, r327, r328, r329, r330, r331, r332, r333, r334, r335, r336, r337, r338, r339, r340, r341, r342, r343, r344, r345, r346, r347, r348, r349, r350, r351, r352, r353, r354, r355, r356, r357, r358, r359, r360, r361, r362, r363, r364, r365, r366, r367, r368, r369, r370, r371, r372, r373, r374, r375, r376, r377, r378, r379, r380, r381, r382, r383, r384, r385, r386, r387, r388, r389, r390, r391, r392, r393, r394, r395, r396, r397, r398, r399, r400, r401, r402, r403, r404, r405, r406, r407, r408, r409, r410, r411, r412, r413, r414, r415, r416, r417, r418, r419, r420, r421, r422, r423, r424, r425, r426, r427, r428, r429, r430, r431, r432, r433, r434, r435, r436, r437, r438, r439, r440, r441, r442, r443, r444, r445, r446, r447, r448, r449, r450, r451, r452, r453, r454, r455, r456, r457, r458, r459, r460, r461, r462, r463, r464, r465, r466, r467, r468, r469, r470, r471, r472, r473, r474, r475, r476, r477, r478, r479, r480, r481, r482, r483, r484, r485, r486, r487, r488, r489, r490, r491, r492, r493, r494, r495, r496, r497, r498, r499, r500, r501, r502, r503, r504, r505, r506, r507, r508, r509, r510, r511, r512, r513, r514, r515, r516, r517, r518, r519, r520, r521, r522, r523, r524, r525, r526, r527, r528, r529, r530, r531, r532, r533, r534, r535, r536, r537, r538, r539, r540, r541, r542, r543, r544, r545, r546, r547, r548, r549, r550, r551, r552, r553, r554, r555, r556, r557, r558, r559, r560, r561, r562, r563, r564, r565, r566, r567, r568, r569, r570, r571, r572, r573, r574, r575, r576, r577, r578, r579, r580, r581, r582, r583, r584, r585, r586, r587, r588, r589, r590, r591, r592, r593, r594, r595, r596, r597, r598, r599, r600, r601, r602, r603, r604, r605, r606, r607, r608, r609, r610, r611, r612, r613, r614, r615, r616, r617, r618, r619, r620, r621, r622, r623, r624, r625, r626, r627, r628, r629, r630, r631, r632, r633, r634, r635, r636, r637, r638, r639, r640, r641, r642, r643, r644, r645, r646, r647, r648, r649, r650, r651, r652, r653, r654, r655, r656, r657, r658, r659, r660, r661, r662, r663, r664, r665, r666, r667, r668, r669, r670, r671, r672, r673, r674, r675, r676, r677, r678, r679, r680, r681, r682, r683, r684, r685, r686, r687, r688, r689, r690, r691, r692, r693, r694, r695, r696, r697, r698, r699, r700, r701, r702, r703, r704, r705, r706, r707, r708, r709, r710, r711, r712, r713, r714, r715, r716, r717, r718, r719, r720, r721, r722, r723, r724, r725, r726, r727, r728, r729, r730, r731, r732, r733, r734, r735, r736, r737, r738, r739, r740, r741, r742, r743, r744, r745, r746, r747, r748, r749, r750, r751, r752, r753, r754, r755, r756, r757, r758, r759, r760, r761, r762, r763, r764, r765, r766, r767, r768, r769, r770, r771, r772, r773, r774, r775, r776, r777, r778, r779, r780, r781, r782, r783, r784, r785, r786, r787, r788, r789, r790, r791, r792, r793, r794, r795, r796, r797, r798, r799, r800, r801, r802, r803, r804, r805, r806, r807, r808, r809, r810, r811, r812, r813, r814, r815, r816, r817, r818, r819, r820, r821, r822, r823, r824, r825, r826, r827, r828, r829, r830, r831, r832, r833, r834, r835, r836, r837, r838, r839, r840, r841, r842, r843, r844, r845, r846, r847, r848, r849, r850, r851, r852, r853, r854, r855, r856, r857, r858, r859, r860, r861, r862, r863, r864, r865, r866, r867, r868, r869, r870, r871, r872, r873, r874, r875, r876, r877, r878, r879, r880, r881, r882, r883, r884, r885, r886, r887, r888, r889, r890, r891, r892, r893, r894, r895, r896, r897, r898, r899, r900, r901, r902, r903, r904, r905, r906, r907, r908, r909, r910, r911, r912, r913, r914, r915, r916, r917, r918, r919, r920, r921, r922, r923, r924, r925, r926, r927, r928, r929, r930, r931, r932, r933, r934, r935, r936, r937, r938, r939, r940, r941, r942, r943, r944, r945, r946, r947, r948, r949, r950, r951, r952, r953, r954, r955, r956, r957, r958, r959, r960, r961, r962, r963, r964, r965, r966, r967, r968, r969, r970, r971, r972, r973, r974, r975, r976, r977, r978, r979, r980, r981, r982, r983, r984, r985, r986, r987, r988, r989, r990, r991, r992, r993, r994, r995, r996, r997, r998, r999, r1000 ;
@End

@PartitionB
h100 (1, 10), h79 (10, 10), h14 (0, 10), h77 (1, 10), h61 (10, 10), h91 (3, 10), h8 (10, 10), h75 (1, 10), h88 (1, 10), h41 (5, 10), h25 (2, 10), h33 (10, 10), h40 (7, 10), h12 (5, 10), h38 (8, 10), h86 (9, 10), h26 (1, 10), h74 (8, 10), h73 (6, 10), h62 (4, 10), h87 (10, 10), h22 (1, 10), h17 (7, 10), h30 (0, 10), h80 (5, 10), h4 (10, 10), h93 (3, 10), h51 (3, 10), h70 (7, 10), h66 (7, 10), h49 (10, 10), h76 (2, 10), h84 (7, 10), h5 (4, 10), h35 (9, 10), h16 (6, 10), h53 (6, 10), h55 (0, 10), h52 (10, 10), h43 (1, 10), h85 (10, 10), h23 (5, 10), h9 (4, 10), h32 (10, 10), h34 (1, 10), h29 (5, 10), h59 (10, 10), h47 (1, 10), h45 (4, 10), h64 (1, 10), h78 (4, 10), h39 (9, 10), h28 (2, 10), h82 (9, 10), h90 (10, 10), h7 (3, 10), h96 (9, 10), h99 (0, 10), h44 (1, 10), h94 (9, 10), h18 (10, 10), h95 (10, 10), h68 (4, 10), h31 (7, 10), h69 (0, 10), h27 (8, 10), h89 (10, 10), h57 (10, 10), h6 (8, 10), h97 (4, 10), h15 (2, 10), h58 (4, 10), h48 (8, 10), h72 (8, 10), h71 (9, 10), h63 (4, 10), h19 (0, 10), h2 (8, 10), h67 (3, 10), h20 (6, 10), h42 (1, 10), h81 (10, 10), h83 (9, 10), h92 (10, 10), h13 (1, 10), h24 (0, 10), h56 (4, 10), h60 (6, 10), h21 (4, 10), h46 (4, 10), h98 (3, 10), h37 (3, 10), h36 (4, 10), h50 (8, 10), h3 (8, 10), h1 (1, 10), h11 (10, 10), h65 (7, 10), h10 (7, 10), h54 (4, 10) ;
@End

@PreferenceListsA
r1 : h36, h73, h19, h72, h87, h33, h66, h26, h59, h56, h25, h7, h57, h4, h75, h67, h32, h93, h60, h17, h86, h97, h65, h34, h71, h8, h43, h53, h35, h13, h39, h38, h44, h68, h2, h85, h96, h62, h22, h61, h54, h41, h11, h89, h40, h10, h82, h46, h50, h49, h80, h3, h90, h28, h95, h88, h9, h21, h70, h6, h37, h29, h92, h78, h48, h5, h14, h31, h12, h76, h83, h20, h27, h98, h24 ;
r2 : h64, h45, h56, h60, h72, h59, h49, h25, h47, h43, h37, h8, h67, h58, h68, h19, h4, h36, h79, h40, h90, h22, h27, h3, h73, h32, h93, h87, h75, h30, h7, h89, h85, h97, h74, h28, h86, h54, h96, h9, h76, h62, h35, h66, h53, h42, h15, h10, h57, h31, h83, h80, h23, h26, h46, h78, h71, h84, h21, h24, h2, h44, h51, h69, h61, h34, h38, h50, h100, h81, h6, h5, h33, h29, h13 ;
r3 : h38, h75, h87, h73, h27, h74, h60, h48, h26, h57, h36, h89, h67, h5, h46, h53, h25, h78, h51, h59, h88, h35, h56, h62, h7, h33, h15, h63, h83, h96, h77, h66, h72, h79, h44, h10, h2, h68, h9, h76, h49, h91, h85, h71, h50, h43, h32, h37, h12, h61, h95, h80, h28, h17, h8, h30, h40, h4, h34, h86, h22, h29, h98, h20, h18, h54, h97, h3, h100, h45, h64, h70, h14, h65, h21 ;
r4 : h26, h7, h61, h62, h36, h32, h9, h22, h72, h75, h53, h68, h56, h21, h3, h76, h86, h16, h78, h29, h18, h67, h66, h40, h74, h98, h96, h87, h83, h51, h92, h19, h57, h59, h13, h25, h39, h47, h50, h46, h27, h43, h35, h60, h73, h5, h70, h12, h6, h99, h38, h79, h93, h84, h49, h97, h2, h17, h45, h33, h8, h4, h64, h44, h28, h10, h48, h81, h11, h71, h34, h95, h89, h54, h55 ;
r5 : h72, h29, h76, h8, h86, h17, h100, h24, h2, h51, h87, h67, h68, h75, h66, h62, h37, h13, h35, h21, h4, h79, h83, h23, h26, h56, h32, h53, h96, h57, h36, h70, h44, h43, h9, h25, h59, h28, h14, h61, h88, h27, h74, h71, h46, h81, h40, h64, h38, h55, h97, h95, h19, h77, h18, h54, h30, h22, h78, h11, h69, h10, h93, h60, h41, h65, h98, h73, h50, h12, h63, h47, h48, h49, h45 ;
r6 : h62, h9, h36, h76, h69, h29, h73, h57, h90, h59, h50, h96, h46, h8, h38, h7, h37, h56, h10, h68, h64, h78, h47, h86, h75, h17, h71, h98, h60, h42, h18, h32, h72, h88, h22, h4, h67, h34, h51, h100, h28, h49, h2, h26, h87, h83, h70, h66, h93, h13, h85, h21, h19, h97, h23, h65, h53, h84, h35, h61, h12, h48, h5, h25, h45, h82, h44, h63, h33, h24, h20, h6, h3, h81, h15 ;
r7 : h35, h53, h36, h19, h79, h21, h64, h54, h75, h67, h89, h50, h66, h62, h4, h68, h87, h26, h22, h72, h97, h40, h13, h10, h60, h3, h56, h45, h100, h59, h8, h61, h76, h82, h14, h57, h31, h73, h96, h92, h30, h32, h38, h15, h2, h47, h78, h12, h71, h29, h42, h1, h25, h58, h83, h49, h17, h34, h93, h86, h20, h51, h9, h46, h81, h37, h90, h23, h43, h27, h7, h80, h28, h44, h69 ;
r8 : h56, h80, h17, h57, h54, h60, h22, h36, h72, h29, h75, h35, h46, h95, h8, h87, h94, h47, h43, h97, h93, h23, h67, h86, h96, h73, h55, h50, h16, h59, h79, h26, h89, h51, h41, h12, h83, h100, h48, h37, h21, h28, h32, h76, h66, h85, h13, h2, h69, h19, h25, h68, h40, h18, h78, h38, h84, h62, h91, h53, h10, h70, h27, h39, h9, h88, h58, h71, h44, h49, h33, h92, h4, h98, h64 ;
r9 : h27, h80, h26, h36, h2, h41, h7, h96, h5, h25, h79, h21, h67, h71, h68, h53, h32, h47, h59, h60, h10, h58, h43, h9, h72, h56, h73, h51, h76, h70, h66, h97, h49, h20, h57, h62, h35, h38, h4, h19, h86, h85, h87, h75, h22, h92, h100, h30, h50, h83, h6, h44, h13, h46, h8, h61, h90, h28, h64, h40, h45, h3, h78, h69, h91, h23, h29, h65, h48, h34, h89, h77, h31, h11, h24 ;
r10 : h87, h25, h79, h36, h19, h65, h18, h54, h67, h15, h62, h49, h29, h59, h72, h9, h34, h22, h60, h97, h56, h17, h8, h68, h78, h57, h7, h74, h35, h6, h90, h50, h4, h83, h21, h64, h88, h91, h44, h53, h27, h93, h32, h2, h75, h96, h46, h12, h84, h80, h73, h14, h81, h82, h89, h40, h100, h63, h77, h20, h43, h13, h5, h10, h76, h23, h61, h39, h71, h38, h3, h48, h37, h52, h31 ;
r11 : h57, h75, h47, h80, h98, h71, h72, h89, h78, h9, h68, h36, h67, h79, h2, h27, h56, h96, h87, h86, h83, h12, h93, h100, h34, h62, h88, h46, h44, h81, h22, h21, h19, h1, h61, h6, h20, h70, h76, h59, h35, h60, h66, h50, h91, h52, h10, h45, h17, h25, h38, h41, h97, h8, h84, h53, h37, h4, h26, h32, h85, h73, h48, h49, h58, h94, h15, h51, h29, h65, h7, h3, h5, h31, h54 ;
r12 : h8, h35, h90, h36, h27, h40, h80, h62, h78, h45, h64, h25, h5, h56, h26, h43, h10, h28, h98, h59, h68, h30, h81, h96, h84, h9, h72, h74, h75, h76, h60, h57, h46, h19, h2, h7, h47, h87, h97, h38, h85, h53, h4, h61, h44, h100, h95, h48, h51, h16, h83, h67, h21, h3, h20, h92, h32, h50, h6, h14, h41, h94, h52, h22, h12, h11, h70, h49, h33, h73, h39, h31, h34, h79, h37 ;
r13 : h56, h33, h67, h44, h35, h59, h17, h46, h36, h22, h70, h4, h80, h57, h76, h47, h62, h21, h5, h96, h75, h72, h24, h53, h78, h87, h25, h66, h23, h32, h51, h2, h54, h28, h83, h77, h89, h50, h73, h14, h26, h19, h37, h7, h30, h15, h61, h49, h13, h48, h6, h34, h88, h10, h82, h84, h11, h68, h9, h79, h43, h42, h69, h97, h41, h29, h8, h60, h71, h55, h93, h92, h86, h3, h98 ;
r14 : h65, h75, h84, h35, h57, h72, h20, h21, h64, h2, h99, h68, h62, h80, h59, h60, h32, h31, h26, h37, h38, h13, h50, h36, h44, h56, h6, h92, h83, h87, h67, h14, h46, h91, h43, h66, h89, h9, h41, h97, h54, h71, h19, h45, h5, h11, h33, h8, h40, h78, h61, h4, h28, h96, h76, h22, h74, h88, h47, h10, h23, h27, h94, h53, h34, h70, h73, h49, h3, h93, h25, h82, h48, h86, h17 ;
r15 : h19, h97, h54, h36, h34, h87, h60, h44, h8, h55, h96, h57, h23, h35, h25, h63, h4, h18, h72, h86, h3, h46, h76, h89, h68, h32, h67, h2, h43, h49, h59, h75, h100, h21, h12, h15, h53, h83, h31, h27, h40, h38, h62, h24, h33, h26, h47, h71, h73, h56, h70, h41, h78, h22, h90, h14, h28, h51, h61, h10, h9, h37, h11, h81, h85, h95, h13, h94, h64, h74, h66, h50, h58, h98, h6 ;
r16 : h71, h38, h87, h35, h98, h16, h19, h36, h5, h76, h46, h79, h69, h53, h26, h2, h57, h61, h72, h44, h17, h4, h97, h32, h70, h49, h86, h85, h96, h68, h56, h3, h8, h90, h21, h47, h39, h75, h78, h60, h67, h54, h100, h6, h27, h22, h62, h29, h82, h93, h10, h83, h48, h66, h13, h43, h12, h40, h64, h9, h84, h51, h28, h59, h65, h89, h34, h95, h77, h50, h25, h45, h94, h31, h74 ;
r17 : h19, h86, h56, h21, h72, h66, h80, h96, h85, h60, h35, h15, h97, h32, h46, h90, h44, h2, h57, h50, h36, h43, h9, h49, h67, h12, h59, h87, h38, h8, h95, h73, h7, h61, h68, h62, h27, h54, h51, h30, h75, h29, h24, h91, h40, h70, h89, h28, h25, h53, h100, h31, h37, h88, h76, h10, h58, h26, h78, h48, h41, h13, h34, h14, h81, h65, h17, h63, h4, h71, h83, h22, h5, h93, h79 ;
r18 : h62, h36, h75, h44, h47, h4, h25, h60, h27, h87, h46, h67, h53, h66, h49, h71, h72, h9, h84, h28, h65, h48, h56, h35, h13, h52, h76, h41, h55, h33, h8, h32, h68, h16, h29, h86, h88, h38, h21, h57, h2, h22, h96, h43, h97, h19, h26, h50, h61, h31, h59, h70, h83, h17, h85, h73, h93, h90, h80, h91, h15, h89, h78, h14, h54, h45, h92, h23, h40, h37, h1, h7, h10, h79, h74 ;
