@PartitionA
r1, r2, r3, r4, r5, r6, r7, r8, r9, r10, r11, r12, r13, r14, r15, r16, r17, r18, r19, r20, r21, r22, r23, r24, r25, r26, r27, r28, r29, r30, r31, r32, r33, r34, r35, r36, r37, r38, r39, r40, r41, r42, r43, r44, r45, r46, r47, r48, r49, r50, r51, r52, r53, r54, r55, r56, r57, r58, r59, r60, r61, r62, r63, r64, r65, r66, r67, r68, r69, r70, r71, r72, r73, r74, r75, r76, r77, r78, r79, r80, r81, r82, r83, r84, r85, r86, r87, r88, r89, r90, r91, r92, r93, r94, r95, r96, r97, r98, r99, r100, r101, r102, r103, r104, r105, r106, r107, r108, r109, r110, r111, r112, r113, r114, r115, r116, r117, r118, r119, r120, r121, r122, r123, r124, r125, r126, r127, r128, r129, r130, r131, r132, r133, r134, r135, r136, r137, r138, r139, r140, r141, r142, r143, r144, r145, r146, r147, r148, r149, r150, r151, r152, r153, r154, r155, r156, r157, r158, r159, r160, r161, r162, r163, r164, r165, r166, r167, r168, r169, r170, r171, r172, r173, r174, r175, r176, r177, r178, r179, r180, r181, r182, r183, r184, r185, r186, r187, r188, r189, r190, r191, r192, r193, r194, r195, r196, r197, r198, r199, r200, r201, r202, r203, r204, r205, r206, r207, r208, r209, r210, r211, r212, r213, r214, r215, r216, r217, r218, r219, r220, r221, r222, r223, r224, r225, r226, r227, r228, r229, r230, r231, r232, r233, r234, r235, r236, r237, r238, r239, r240, r241, r242, r243, r244, r245, r246, r247, r248, r249, r250, r251, r252, r253, r254, r255, r256, r257, r258, r259, r260, r261, r262, r263, r264, r265, r266, r267, r268, r269, r270, r271, r272, r273, r274, r275, r276, r277, r278, r279, r280, r281, r282, r283, r284, r285, r286, r287, r288, r289, r290, r291, r292, r293, r294, r295, r296, r297, r298, r299, r300, r301, r302, r303, r304, r305, r306, r307, r308, r309, r310, r311, r312, r313, r314, r315, r316, r317, r318, r319, r320, r321, r322, r323, r324, r325, r326, r327, r328, r329, r330, r331, r332, r333, r334, r335, r336, r337, r338, r339, r340, r341, r342, r343, r344, r345, r346, r347, r348, r349, r350, r351, r352, r353, r354, r355, r356, r357, r358, r359, r360, r361, r362, r363, r364, r365, r366, r367, r368, r369, r370, r371, r372, r373, r374, r375, r376, r377, r378, r379, r380, r381, r382, r383, r384, r385, r386, r387, r388, r389, r390, r391, r392, r393, r394, r395, r396, r397, r398, r399, r400, r401, r402, r403, r404, r405, r406, r407, r408, r409, r410, r411, r412, r413, r414, r415, r416, r417, r418, r419, r420, r421, r422, r423, r424, r425, r426, r427, r428, r429, r430, r431, r432, r433, r434, r435, r436, r437, r438, r439, r440, r441, r442, r443, r444, r445, r446, r447, r448, r449, r450, r451, r452, r453, r454, r455, r456, r457, r458, r459, r460, r461, r462, r463, r464, r465, r466, r467, r468, r469, r470, r471, r472, r473, r474, r475, r476, r477, r478, r479, r480, r481, r482, r483, r484, r485, r486, r487, r488, r489, r490, r491, r492, r493, r494, r495, r496, r497, r498, r499, r500, r501, r502, r503, r504, r505, r506, r507, r508, r509, r510, r511, r512, r513, r514, r515, r516, r517, r518, r519, r520, r521, r522, r523, r524, r525, r526, r527, r528, r529, r530, r531, r532, r533, r534, r535, r536, r537, r538, r539, r540, r541, r542, r543, r544, r545, r546, r547, r548, r549, r550, r551, r552, r553, r554, r555, r556, r557, r558, r559, r560, r561, r562, r563, r564, r565, r566, r567, r568, r569, r570, r571, r572, r573, r574, r575, r576, r577, r578, r579, r580, r581, r582, r583, r584, r585, r586, r587, r588, r589, r590, r591, r592, r593, r594, r595, r596, r597, r598, r599, r600, r601, r602, r603, r604, r605, r606, r607, r608, r609, r610, r611, r612, r613, r614, r615, r616, r617, r618, r619, r620, r621, r622, r623, r624, r625, r626, r627, r628, r629, r630, r631, r632, r633, r634, r635, r636, r637, r638, r639, r640, r641, r642, r643, r644, r645, r646, r647, r648, r649, r650, r651, r652, r653, r654, r655, r656, r657, r658, r659, r660, r661, r662, r663, r664, r665, r666, r667, r668, r669, r670, r671, r672, r673, r674, r675, r676, r677, r678, r679, r680, r681, r682, r683, r684, r685, r686, r687, r688, r689, r690, r691, r692, r693, r694, r695, r696, r697, r698, r699, r700, r701, r702, r703, r704, r705, r706, r707, r708, r709, r710, r711, r712, r713, r714, r715, r716, r717, r718, r719, r720, r721, r722, r723, r724, r725, r726, r727, r728, r729, r730, r731, r732, r733, r734, r735, r736, r737, r738, r739, r740, r741, r742, r743, r744, r745, r746, r747, r748, r749, r750, r751, r752, r753, r754, r755, r756, r757, r758, r759, r760, r761, r762, r763, r764, r765, r766, r767, r768, r769, r770, r771, r772, r773, r774, r775, r776, r777, r778, r779, r780, r781, r782, r783, r784, r785, r786, r787, r788, r789, r790, r791, r792, r793, r794, r795, r796, r797, r798, r799, r800, r801, r802, r803, r804, r805, r806, r807, r808, r809, r810, r811, r812, r813, r814, r815, r816, r817, r818, r819, r820, r821, r822, r823, r824, r825, r826, r827, r828, r829, r830, r831, r832, r833, r834, r835, r836, r837, r838, r839, r840, r841, r842, r843, r844, r845, r846, r847, r848, r849, r850, r851, r852, r853, r854, r855, r856, r857, r858, r859, r860, r861, r862, r863, r864, r865, r866, r867, r868, r869, r870, r871, r872, r873, r874, r875, r876, r877, r878, r879, r880, r881, r882, r883, r884, r885, r886, r887, r888, r889, r890, r891, r892, r893, r894, r895, r896, r897, r898, r899, r900, r901, r902, r903, r904, r905, r906, r907, r908, r909, r910, r911, r912, r913, r914, r915, r916, r917, r918, r919, r920, r921, r922, r923, r924, r925, r926, r927, r928, r929, r930, r931, r932, r933, r934, r935, r936, r937, r938, r939, r940, r941, r942, r943, r944, r945, r946, r947, r948, r949, r950, r951, r952, r953, r954, r955, r956, r957, r958, r959, r960, r961, r962, r963, r964, r965, r966, r967, r968, r969, r970, r971, r972, r973, r974, r975, r976, r977, r978, r979, r980, r981, r982, r983, r984, r985, r986, r987, r988, r989, r990, r991, r992, r993, r994, r995, r996, r997, r998, r999, r1000 ;
@End

@PartitionB
h38 (0, 10), h88 (10, 10), h98 (7, 10), h52 (1, 10), h100 (10, 10), h55 (8, 10), h54 (5, 10), h18 (9, 10), h45 (1, 10), h82 (8, 10), h36 (2, 10), h39 (1, 10), h60 (9, 10), h35 (0, 10), h37 (2, 10), h25 (1, 10), h44 (5, 10), h20 (0, 10), h57 (2, 10), h84 (5, 10), h11 (3, 10), h90 (1, 10), h30 (5, 10), h10 (9, 10), h2 (6, 10), h56 (10, 10), h91 (9, 10), h70 (1, 10), h40 (1, 10), h81 (10, 10), h67 (8, 10), h71 (7, 10), h77 (3, 10), h69 (4, 10), h48 (3, 10), h68 (2, 10), h4 (2, 10), h5 (0, 10), h23 (5, 10), h27 (5, 10), h33 (6, 10), h6 (5, 10), h50 (1, 10), h21 (10, 10), h80 (10, 10), h63 (6, 10), h49 (3, 10), h93 (5, 10), h94 (7, 10), h51 (6, 10), h76 (7, 10), h42 (10, 10), h72 (9, 10), h31 (6, 10), h13 (5, 10), h62 (9, 10), h83 (10, 10), h59 (9, 10), h75 (4, 10), h47 (10, 10), h8 (2, 10), h15 (10, 10), h17 (1, 10), h61 (0, 10), h1 (3, 10), h95 (2, 10), h32 (5, 10), h73 (5, 10), h9 (0, 10), h87 (9, 10), h14 (9, 10), h43 (9, 10), h97 (2, 10), h46 (0, 10), h89 (10, 10), h65 (6, 10), h3 (8, 10), h22 (5, 10), h64 (1, 10), h85 (10, 10), h28 (3, 10), h29 (1, 10), h34 (0, 10), h99 (2, 10), h92 (0, 10), h16 (4, 10), h58 (9, 10), h74 (10, 10), h41 (1, 10), h66 (9, 10), h78 (4, 10), h7 (0, 10), h79 (2, 10), h86 (0, 10), h12 (5, 10), h26 (5, 10), h96 (10, 10), h19 (2, 10), h53 (3, 10), h24 (5, 10) ;
@End

@PreferenceListsA
r1 : h24, h85, h79, h41, h7, h34, h80, h40, h23, h19, h15, h51, h72, h20, h93, h74, h62, h16, h69, h17, h82, h8, h52, h10, h44, h50, h49, h31, h84, h6, h59, h47, h4, h43, h1, h36, h46, h91, h53, h71, h37, h22, h2, h14, h48, h5, h60, h30, h56, h87, h29, h64, h92, h13, h96, h75, h76, h33, h63, h25, h21, h83, h35, h3, h81, h97, h77, h70, h26, h99, h27, h55, h57, h18, h11, h78, h38, h100, h88, h9 ;
r2 : h10, h84, h3, h22, h67, h16, h15, h20, h50, h71, h73, h40, h59, h18, h43, h46, h41, h81, h7, h1, h29, h48, h88, h25, h75, h62, h5, h91, h51, h70, h72, h66, h4, h23, h60, h32, h13, h37, h69, h77, h49, h79, h97, h11, h95, h94, h24, h17, h21, h6, h42, h93, h33, h74, h9, h34, h54, h30, h26, h82, h31, h44, h8, h76, h92, h19, h78, h57, h27, h85, h38, h87, h63, h89, h61, h56, h36, h64, h2, h80 ;
r3 : h29, h43, h71, h75, h78, h59, h27, h82, h10, h22, h8, h5, h51, h7, h64, h33, h46, h50, h100, h31, h3, h24, h4, h38, h53, h77, h87, h56, h49, h63, h81, h15, h32, h48, h40, h91, h74, h72, h42, h11, h23, h36, h62, h37, h1, h93, h19, h16, h41, h13, h85, h25, h6, h79, h58, h84, h14, h96, h30, h18, h57, h90, h21, h12, h54, h89, h17, h61, h2, h47, h69, h73, h20, h98, h97, h34, h26, h60, h88, h80 ;
r4 : h46, h35, h13, h10, h59, h25, h72, h53, h91, h21, h83, h78, h1, h82, h11, h56, h48, h62, h24, h86, h49, h93, h8, h87, h77, h79, h43, h31, h16, h40, h47, h5, h22, h37, h33, h45, h4, h75, h94, h15, h30, h6, h3, h29, h23, h71, h64, h85, h20, h97, h80, h61, h92, h18, h41, h51, h54, h63, h88, h73, h17, h84, h52, h12, h50, h32, h27, h60, h9, h95, h34, h67, h7, h74, h68, h69, h38, h36, h2, h76 ;
r5 : h17, h40, h33, h6, h3, h14, h53, h16, h21, h29, h77, h93, h64, h4, h97, h71, h10, h38, h61, h72, h8, h46, h84, h25, h94, h48, h23, h75, h31, h49, h60, h95, h43, h91, h5, h34, h56, h1, h30, h80, h69, h59, h15, h24, h22, h79, h74, h42, h41, h20, h50, h7, h62, h13, h19, h36, h82, h2, h12, h63, h78, h37, h98, h51, h100, h88, h9, h26, h11, h57, h18, h27, h47, h54, h85, h83, h58, h87, h90, h99 ;
r6 : h10, h27, h83, h100, h69, h7, h16, h62, h59, h48, h91, h40, h24, h8, h82, h79, h43, h22, h5, h97, h33, h3, h60, h36, h23, h46, h72, h70, h71, h21, h49, h81, h19, h93, h6, h88, h74, h84, h17, h51, h29, h94, h15, h85, h58, h96, h95, h61, h2, h34, h87, h37, h31, h64, h63, h11, h68, h92, h41, h75, h20, h54, h38, h78, h42, h47, h13, h77, h32, h53, h9, h56, h26, h4, h57, h80, h25, h98, h50, h14 ;
r7 : h46, h10, h62, h4, h77, h41, h82, h37, h97, h50, h16, h43, h19, h49, h81, h71, h84, h53, h79, h93, h24, h91, h36, h20, h6, h31, h33, h83, h12, h61, h66, h5, h51, h38, h48, h25, h72, h56, h18, h80, h22, h23, h63, h45, h29, h7, h9, h89, h92, h21, h8, h96, h11, h52, h88, h39, h17, h59, h100, h44, h2, h1, h85, h15, h54, h75, h3, h86, h27, h95, h60, h40, h74, h32, h42, h70, h90, h69, h87, h30 ;
r8 : h71, h17, h33, h40, h53, h37, h43, h21, h29, h30, h62, h24, h5, h1, h80, h59, h22, h51, h39, h41, h23, h63, h13, h78, h10, h75, h16, h97, h72, h60, h48, h8, h31, h77, h36, h91, h49, h93, h73, h20, h38, h84, h57, h79, h82, h7, h15, h50, h46, h11, h44, h87, h19, h3, h42, h27, h66, h14, h65, h26, h81, h100, h56, h6, h61, h98, h92, h68, h74, h47, h4, h25, h86, h69, h54, h76, h45, h2, h18, h28 ;
r9 : h42, h78, h91, h29, h23, h19, h31, h33, h7, h62, h5, h71, h82, h38, h59, h50, h21, h81, h79, h51, h4, h77, h53, h74, h49, h97, h43, h56, h75, h18, h72, h16, h60, h11, h27, h1, h10, h9, h45, h30, h24, h41, h40, h93, h17, h36, h64, h85, h48, h100, h52, h15, h80, h57, h61, h20, h94, h88, h22, h6, h69, h87, h46, h13, h14, h63, h73, h25, h96, h3, h37, h84, h83, h58, h99, h8, h70, h12, h98, h28 ;
r10 : h81, h11, h67, h6, h73, h62, h29, h31, h24, h48, h17, h38, h95, h87, h75, h1, h50, h90, h46, h82, h22, h68, h42, h72, h9, h57, h98, h77, h41, h36, h97, h21, h40, h60, h74, h8, h63, h10, h25, h16, h93, h23, h12, h100, h53, h85, h69, h91, h43, h49, h71, h5, h78, h37, h3, h33, h92, h20, h13, h88, h56, h26, h27, h47, h32, h4, h84, h61, h55, h65, h59, h44, h51, h52, h15, h34, h18, h83, h79, h64 ;
r11 : h71, h64, h54, h29, h5, h44, h77, h72, h94, h10, h84, h74, h43, h87, h36, h78, h41, h31, h82, h46, h16, h13, h11, h3, h75, h8, h47, h51, h37, h97, h40, h88, h21, h17, h57, h23, h93, h100, h62, h48, h6, h33, h7, h79, h65, h69, h24, h80, h61, h59, h50, h56, h53, h4, h63, h49, h19, h26, h20, h18, h81, h1, h60, h99, h86, h15, h22, h12, h85, h91, h58, h83, h68, h9, h25, h95, h14, h38, h30, h42 ;
r12 : h56, h88, h91, h72, h8, h87, h82, h85, h16, h40, h12, h18, h6, h51, h84, h60, h43, h33, h5, h64, h41, h11, h55, h74, h62, h63, h24, h4, h95, h15, h79, h7, h75, h17, h23, h36, h14, h100, h97, h48, h69, h37, h22, h71, h93, h20, h10, h59, h58, h21, h47, h46, h49, h44, h25, h61, h31, h29, h9, h96, h98, h83, h77, h3, h52, h65, h2, h13, h27, h50, h32, h28, h1, h57, h30, h92, h54, h73, h99, h67 ;
r13 : h63, h29, h50, h41, h23, h17, h84, h43, h93, h88, h85, h64, h26, h48, h100, h20, h71, h91, h40, h72, h5, h16, h27, h47, h25, h62, h49, h31, h46, h33, h75, h97, h77, h7, h22, h21, h53, h94, h37, h4, h54, h24, h11, h18, h42, h6, h1, h10, h82, h87, h51, h60, h78, h8, h56, h81, h79, h74, h80, h44, h59, h2, h13, h61, h12, h58, h96, h69, h89, h83, h15, h95, h9, h67, h66, h19, h45, h92, h34, h52 ;
r14 : h11, h100, h84, h72, h74, h75, h57, h43, h46, h5, h51, h48, h56, h10, h21, h42, h87, h23, h17, h68, h71, h16, h77, h29, h62, h22, h4, h67, h34, h8, h58, h61, h20, h79, h37, h65, h24, h85, h1, h91, h95, h69, h41, h7, h30, h19, h78, h93, h59, h40, h96, h83, h18, h80, h49, h38, h39, h53, h45, h52, h98, h2, h6, h27, h82, h33, h89, h31, h26, h92, h15, h55, h94, h60, h97, h63, h54, h25, h70, h50 ;
r15 : h20, h48, h21, h31, h56, h34, h16, h49, h82, h6, h54, h60, h37, h85, h46, h41, h10, h99, h18, h87, h80, h100, h17, h44, h24, h86, h43, h88, h93, h23, h29, h19, h4, h75, h8, h62, h67, h72, h59, h11, h77, h40, h13, h71, h33, h9, h64, h5, h69, h79, h3, h68, h74, h36, h95, h63, h7, h38, h2, h58, h83, h89, h53, h15, h97, h84, h78, h22, h30, h81, h1, h94, h73, h47, h61, h26, h42, h91, h14, h51 ;
r16 : h21, h1, h4, h32, h20, h11, h72, h43, h62, h16, h17, h100, h31, h80, h71, h69, h82, h74, h22, h75, h42, h46, h26, h37, h23, h33, h41, h97, h10, h91, h47, h50, h61, h6, h29, h48, h2, h95, h7, h79, h54, h88, h81, h49, h83, h76, h5, h84, h8, h93, h86, h51, h40, h39, h89, h78, h64, h27, h94, h77, h60, h53, h85, h99, h59, h15, h57, h24, h38, h67, h30, h13, h87, h14, h63, h36, h58, h19, h56, h34 ;
r17 : h62, h16, h60, h91, h72, h95, h8, h46, h75, h31, h54, h23, h48, h79, h1, h43, h4, h21, h30, h33, h22, h24, h9, h69, h27, h93, h11, h29, h89, h61, h71, h40, h97, h96, h37, h82, h64, h74, h76, h99, h66, h53, h7, h5, h13, h84, h10, h80, h86, h87, h77, h17, h50, h35, h19, h52, h15, h49, h85, h14, h63, h57, h26, h20, h25, h41, h81, h18, h44, h3, h45, h36, h39, h51, h6, h88, h56, h78, h47, h42 ;
