@PartitionA
a455, a393, a352, a612, a698, a814, a44, a418, a655, a438, a463, a902, a360, a397, a783, a268, a400, a122, a798, a247, a442, a125, a138, a235, a419, a659, a69, a895, a208, a511, a910, a997, a938, a961, a959, a864, a445, a131, a180, a65, a150, a720, a246, a350, a327, a402, a755, a837, a776, a830, a310, a253, a162, a599, a341, a231, a679, a364, a901, a224, a328, a841, a779, a84, a385, a587, a222, a342, a722, a343, a850, a279, a433, a817, a392, a765, a240, a905, a934, a734, a210, a4, a128, a244, a790, a331, a800, a747, a476, a577, a324, a628, a844, a170, a34, a597, a25, a5, a568, a675, a848, a348, a898, a886, a270, a977, a918, a72, a62, a878, a416, a120, a46, a420, a220, a692, a653, a770, a879, a581, a601, a265, a80, a995, a97, a300, a425, a443, a646, a856, a869, a975, a699, a384, a89, a284, a441, a705, a683, a654, a867, a307, a686, a590, a664, a487, a157, a403, a503, a332, a638, a721, a401, a380, a508, a875, a233, a497, a277, a185, a515, a583, a421, a712, a351, a166, a635, a631, a773, a405, a130, a289, a312, a823, a322, a662, a516, a868, a1000, a386, a760, a651, a260, a607, a806, a215, a750, a815, a771, a344, a913, a22, a337, a978, a43, a620, a950, a851, a237, a585, a637, a981, a946, a973, a23, a379, a155, a196, a219, a621, a451, a21, a315, a543, a113, a749, a79, a880, a189, a160, a738, a489, a560, a278, a370, a966, a826, a20, a200, a305, a308, a707, a119, a229, a554, a793, a803, a249, a785, a986, a173, a3, a232, a752, a50, a580, a1, a810, a520, a303, a645, a76, a687, a11, a858, a696, a500, a804, a484, a594, a178, a936, a104, a112, a276, a334, a358, a17, a439, a611, a717, a239, a808, a737, a412, a899, a502, a186, a9, a212, a731, a184, a38, a649, a83, a733, a114, a994, a217, a272, a575, a939, a528, a998, a701, a371, a578, a743, a618, a827, a169, a408, a473, a788, a136, a469, a449, a732, a381, a540, a988, a238, a390, a181, a505, a917, a532, a330, a60, a108, a410, a323, a716, a822, a684, a824, a887, a681, a35, a193, a153, a389, a133, a171, a435, a634, a865, a116, a375, a669, a839, a688, a413, a559, a52, a763, a838, a501, a27, a630, a709, a281, a713, a759, a832, a849, a872, a932, a989, a313, a444, a70, a661, a871, a893, a935, a518, a960, a63, a91, a533, a456, a40, a103, a92, a593, a710, a522, a558, a873, a660, a311, a428, a531, a730, a49, a881, a725, a167, a605, a188, a430, a767, a900, a894, a164, a726, a940, a417, a775, a985, a115, a205, a588, a172, a191, a567, a374, a409, a93, a512, a73, a53, a236, a797, a2, a346, a466, a854, a126, a440, a544, a820, a690, a42, a984, a404, a982, a398, a769, a273, a552, a942, a94, a16, a811, a791, a61, a306, a464, a796, a204, a256, a309, a335, a118, a454, a472, a106, a499, a87, a606, a674, a761, a846, a845, a957, a95, a363, a629, a640, a665, a211, a245, a608, a916, a357, a667, a168, a586, a427, a884, a66, a496, a908, a263, a368, a548, a47, a111, a129, a67, a571, a494, a782, a394, a579, a967, a906, a36, a56, a59, a376, a541, a987, a462, a891, a288, a301, a51, a349, a314, a110, a127, a643, a835, a137, a553, a941, a151, a507, a448, a399, a30, a31, a719, a968, a904, a139, a863, a383, a919, a836, a792, a753, a945, a603, a470, a794, a415, a876, a174, a340, a561, a570, a870, a948, a951, a658, a859, a517, a382, a576, a784, a706, a282, a613, a347, a736, a542, a228, a774, a266, a468, a697, a100, a735, a801, a446, a739, a819, a537, a953, a758, a591, a55, a991, a805, a195, a339, a754, a972, a589, a795, a964, a267, a954, a545, a556, a627, a407, a787, a728, a218, a807, a321, a490, a199, a828, a12, a592, a663, a32, a411, a703, a158, a336, a248, a990, a506, a242, a259, a436, a671, a225, a101, a458, a861, a866, a326, a970, a648, a57, a356, a569, a715, a584, a82, a183, a672, a781, a809, a911, a530, a551, a107, a414, a509, a550, a243, a625, a226, a142, a825, a58, a432, a291, a748, a614, a75, a447, a475, a802, a154, a780, a132, a41, a197, a821, a639, a105, a745, a992, a88, a159, a362, a756, a909, a622, a546, a15, a636, a33, a678, a724, a68, a293, a221, a877, a949, a595, a121, a261, a48, a693, a227, a264, a744, a955, a930, a527, a144, a757, a147, a391, a812, a598, a141, a923, a361, a915, a764, a18, a488, a521, a98, a223, a504, a524, a566, a833, a929, a286, a772, a302, a163, a799, a329, a746, a140, a829, a280, a486, a666, a702, a928, a135, a943, a831, a914, a258, a396, a789, a555, a423, a96, a742, a600, a903, a704, a623, a857, a177, a182, a252, a557, a933, a388, a641, a852, a495, a378, a338, a896, a372, a467, a619, a610, a652, a889, a723, a209, a6, a8, a471, a602, a980, a149, a983, a993, a673, a373, a564, a574, a778, a927, a255, a670, a680, a452, a498, a192, a816, a979, a230, a626, a481, a921, a536, a271, a572, a214, a257, a477, a479, a274, a965, a925, a194, a882, a944, a888, a969, a834, a768, a134, a201, a493, a741, a24, a296, a642, a647, a353, a109, a460, a650, a523, a962, a145, a762, a926, a146, a514, a727, a711, a740, a842, a123, a117, a695, a29, a912, a563, a99, a202, a976, a285, a367, a644, a491, a78, a535, a565, a424, a387, a354, a7, a426, a434, a85, a526, a254, a287, a359, a478, a539, a860, a777, a656, a813, a604, a294, a179, a369, a907, a457, a668, a143, a714, a176, a947, a275, a395, a175, a897, a234, a26, a203, a250, a54, a299, a549, a676, a700, a480, a74, a10, a213, a124, a295, a624, a632, a529, a538, a573, a28, a459, a165, a161, a766, a422, a547, a187, a19, a102, a924, a355, a437, a862, a519, a890, a657, a843, a290, a304, a292, a492, a431, a718, a958, a241, a450, a708, a786, a937, a963, a562, a616, a751, a365, a45, a37, a694, a633, a461, a316, a453, a931, a855, a86, a14, a345, a510, a366, a262, a482, a333, a156, a206, a320, a999, a885, a406, a283, a298, a971, a689, a483, a847, a922, a148, a952, a71, a892, a216, a190, a513, a90, a207, a152, a474, a729, a77, a883, a534, a956, a677, a81, a377, a682, a198, a818, a609, a485, a317, a840, a465, a617, a874, a325, a251, a853, a920, a269, a13, a615, a582, a297, a996, a318, a64, a596, a685, a691, a39, a525, a974, a319, a429 ;
@End

@PartitionB
b50 (0, 10), b86 (8, 10), b90 (2, 10), b93 (10, 10), b49 (6, 10), b19 (6, 10), b62 (4, 10), b30 (9, 10), b75 (2, 10), b58 (5, 10), b87 (10, 10), b51 (4, 10), b84 (0, 10), b91 (3, 10), b83 (7, 10), b95 (3, 10), b27 (7, 10), b4 (6, 10), b68 (1, 10), b77 (7, 10), b42 (9, 10), b21 (6, 10), b78 (1, 10), b14 (0, 10), b38 (3, 10), b20 (0, 10), b18 (5, 10), b25 (1, 10), b73 (4, 10), b72 (0, 10), b80 (1, 10), b24 (1, 10), b94 (9, 10), b22 (0, 10), b29 (5, 10), b74 (3, 10), b89 (10, 10), b100 (4, 10), b26 (2, 10), b97 (8, 10), b5 (4, 10), b71 (3, 10), b54 (2, 10), b47 (4, 10), b41 (2, 10), b8 (6, 10), b92 (9, 10), b96 (1, 10), b12 (1, 10), b99 (10, 10), b65 (10, 10), b46 (7, 10), b59 (10, 10), b32 (0, 10), b11 (10, 10), b82 (2, 10), b16 (3, 10), b15 (10, 10), b37 (10, 10), b61 (9, 10), b64 (0, 10), b28 (8, 10), b13 (2, 10), b6 (2, 10), b31 (4, 10), b63 (10, 10), b70 (1, 10), b23 (10, 10), b53 (2, 10), b44 (8, 10), b67 (5, 10), b9 (10, 10), b69 (4, 10), b60 (1, 10), b81 (8, 10), b34 (8, 10), b1 (6, 10), b36 (6, 10), b76 (0, 10), b52 (2, 10), b88 (0, 10), b3 (6, 10), b17 (9, 10), b55 (7, 10), b2 (0, 10), b40 (6, 10), b79 (1, 10), b98 (4, 10), b45 (3, 10), b56 (9, 10), b35 (10, 10), b57 (4, 10), b48 (2, 10), b39 (8, 10), b66 (8, 10), b85 (9, 10), b10 (10, 10), b43 (5, 10), b33 (3, 10), b7 (9, 10) ;
@End

@PreferenceListsA
a455 : b5, b24, b21, b25, b61 ;
a393 : b38, b60, b94, b59, b81 ;
a352 : b10, b85, b3, b24, b6 ;
a612 : b16, b42, b75, b90, b86 ;
a698 : b40, b19, b6, b67, b26 ;
a814 : b30, b86, b9, b33, b4 ;
a44 : b85, b66, b13, b71, b33 ;
a418 : b20, b40, b42, b23, b78 ;
a655 : b88, b93, b11, b41, b16 ;
a438 : b55, b78, b38, b61, b95 ;
a463 : b49, b1, b91, b56, b90 ;
a902 : b76, b92, b74, b84, b18 ;
a360 : b83, b73, b92, b94, b28 ;
a397 : b22, b35, b97, b73, b42 ;
a783 : b29, b8, b54, b17, b23 ;
a268 : b51, b70, b68, b78, b59 ;
a400 : b19, b33, b63, b34, b61 ;
a122 : b1, b30, b18, b72, b46 ;
a798 : b16, b88, b18, b55, b77 ;
a247 : b59, b78, b51, b49, b80 ;
a442 : b99, b13, b46, b85, b23 ;
a125 : b36, b40, b88, b80, b75 ;
a138 : b77, b57, b75, b96, b55 ;
a235 : b15, b37, b24, b4, b88 ;
a419 : b2, b36, b54, b76, b22 ;
a659 : b76, b95, b38, b47, b65 ;
a69 : b68, b6, b2, b71, b54 ;
a895 : b71, b1, b56, b79, b48 ;
a208 : b8, b7, b46, b3, b67 ;
a511 : b99, b65, b3, b96, b58 ;
a910 : b90, b64, b13, b91, b18 ;
a997 : b78, b93, b91, b44, b87 ;
a938 : b31, b92, b90, b81, b69 ;
a961 : b10, b83, b29, b20, b65 ;
a959 : b55, b28, b73, b90, b50 ;
a864 : b100, b51, b39, b30, b3 ;
a445 : b51, b23, b86, b70, b89 ;
a131 : b68, b7, b40, b53, b52 ;
a180 : b53, b52, b80, b99, b51 ;
a65 : b75, b40, b29, b51, b54 ;
a150 : b7, b79, b42, b90, b63 ;
a720 : b36, b35, b81, b59, b10 ;
a246 : b38, b2, b75, b84, b33 ;
a350 : b20, b57, b62, b59, b98 ;
a327 : b23, b30, b53, b80, b83 ;
a402 : b32, b76, b56, b83, b82 ;
a755 : b100, b2, b52, b88, b97 ;
a837 : b42, b1, b75, b62, b28 ;
a776 : b41, b82, b34, b62, b63 ;
a830 : b100, b34, b80, b43, b90 ;
a310 : b79, b25, b19, b53, b29 ;
a253 : b3, b71, b51, b79, b37 ;
a162 : b48, b83, b46, b98, b21 ;
a599 : b49, b39, b42, b6, b89 ;
a341 : b78, b21, b63, b41, b5 ;
a231 : b83, b96, b75, b55, b35 ;
a679 : b97, b24, b34, b39, b83 ;
a364 : b48, b49, b8, b11, b75 ;
a901 : b71, b82, b21, b93, b4 ;
a224 : b47, b36, b59, b57, b34 ;
a328 : b30, b12, b22, b10, b31 ;
a841 : b24, b44, b30, b21, b36 ;
a779 : b69, b97, b73, b66, b77 ;
a84 : b79, b85, b51, b77, b99 ;
a385 : b29, b73, b20, b99, b11 ;
a587 : b21, b97, b4, b48, b12 ;
a222 : b92, b61, b20, b50, b29 ;
a342 : b100, b42, b70, b22, b97 ;
a722 : b26, b93, b11, b45, b75 ;
a343 : b71, b93, b34, b70, b23 ;
a850 : b90, b49, b91, b15, b36 ;
a279 : b17, b72, b57, b81, b37 ;
a433 : b35, b82, b13, b46, b38 ;
a817 : b42, b48, b60, b37, b96 ;
a392 : b59, b95, b22, b84, b7 ;
a765 : b5, b72, b6, b47, b42 ;
a240 : b33, b41, b36, b72, b95 ;
a905 : b84, b52, b3, b57, b100 ;
a934 : b22, b24, b90, b57, b40 ;
a734 : b62, b49, b53, b70, b66 ;
a210 : b51, b36, b41, b65, b95 ;
a4 : b30, b4, b56, b69, b24 ;
a128 : b53, b48, b95, b87, b37 ;
a244 : b81, b31, b90, b5, b13 ;
a790 : b57, b3, b13, b56, b5 ;
a331 : b37, b60, b63, b17, b32 ;
a800 : b6, b31, b42, b20, b1 ;
a747 : b79, b17, b81, b16, b86 ;
a476 : b57, b78, b2, b23, b66 ;
a577 : b23, b16, b89, b85, b13 ;
a324 : b22, b79, b4, b55, b38 ;
a628 : b27, b79, b21, b100, b26 ;
a844 : b9, b93, b94, b100, b10 ;
a170 : b69, b90, b50, b28, b77 ;
a34 : b30, b23, b8, b70, b59 ;
a597 : b98, b31, b87, b51, b33 ;
a25 : b11, b62, b47, b55, b68 ;
a5 : b52, b40, b3, b13, b50 ;
a568 : b23, b58, b80, b86, b93 ;
a675 : b80, b19, b83, b20, b39 ;
a848 : b85, b82, b73, b26, b83 ;
a348 : b35, b83, b44, b75, b27 ;
a898 : b4, b33, b45, b69, b70 ;
a886 : b79, b89, b63, b100, b24 ;
a270 : b76, b55, b36, b38, b61 ;
a977 : b87, b67, b38, b13, b24 ;
a918 : b44, b35, b81, b13, b78 ;
a72 : b17, b33, b6, b2, b71 ;
a62 : b63, b13, b57, b41, b51 ;
a878 : b46, b31, b25, b78, b19 ;
a416 : b61, b87, b59, b99, b84 ;
a120 : b26, b6, b30, b89, b51 ;
a46 : b41, b56, b70, b65, b79 ;
a420 : b32, b16, b36, b22, b33 ;
a220 : b28, b17, b88, b61, b47 ;
a692 : b14, b99, b15, b82, b69 ;
a653 : b84, b32, b96, b36, b92 ;
a770 : b56, b59, b79, b35, b14 ;
a879 : b25, b82, b65, b30, b68 ;
a581 : b78, b75, b14, b74, b42 ;
a601 : b41, b30, b56, b87, b70 ;
a265 : b58, b53, b79, b55, b90 ;
a80 : b97, b10, b45, b13, b1 ;
a995 : b9, b15, b86, b93, b82 ;
a97 : b78, b55, b63, b83, b84 ;
a300 : b69, b85, b71, b67, b90 ;
a425 : b66, b61, b93, b100, b45 ;
a443 : b64, b88, b94, b79, b54 ;
a646 : b50, b57, b31, b68, b25 ;
a856 : b10, b15, b68, b64, b16 ;
a869 : b92, b51, b57, b17, b55 ;
a975 : b23, b70, b65, b30, b19 ;
a699 : b44, b16, b3, b18, b85 ;
a384 : b87, b92, b81, b99, b51 ;
a89 : b12, b8, b83, b43, b95 ;
a284 : b17, b90, b8, b24, b99 ;
a441 : b7, b86, b6, b92, b35 ;
a705 : b10, b37, b95, b39, b75 ;
a683 : b95, b87, b6, b10, b29 ;
a654 : b76, b82, b66, b10, b98 ;
a867 : b35, b40, b45, b37, b25 ;
a307 : b62, b68, b3, b70, b55 ;
a686 : b90, b17, b42, b25, b30 ;
a590 : b20, b91, b80, b44, b28 ;
a664 : b67, b57, b2, b46, b42 ;
a487 : b15, b60, b63, b55, b5 ;
a157 : b18, b13, b89, b82, b6 ;
a403 : b18, b26, b31, b20, b43 ;
a503 : b6, b12, b38, b55, b11 ;
a332 : b89, b83, b40, b30, b88 ;
a638 : b32, b59, b98, b50, b67 ;
a721 : b18, b5, b92, b32, b55 ;
a401 : b37, b15, b53, b44, b50 ;
a380 : b100, b4, b66, b35, b17 ;
a508 : b31, b76, b1, b3, b86 ;
a875 : b26, b58, b89, b69, b40 ;
a233 : b48, b88, b19, b95, b63 ;
a497 : b39, b77, b18, b90, b47 ;
a277 : b79, b21, b74, b61, b72 ;
a185 : b16, b50, b86, b59, b74 ;
a515 : b34, b33, b42, b26, b47 ;
a583 : b93, b85, b12, b40, b20 ;
a421 : b27, b11, b1, b79, b54 ;
a712 : b5, b34, b57, b75, b54 ;
a351 : b62, b27, b76, b90, b81 ;
a166 : b50, b26, b47, b67, b34 ;
a635 : b43, b68, b75, b3, b83 ;
a631 : b5, b74, b95, b81, b70 ;
a773 : b58, b45, b78, b22, b94 ;
a405 : b28, b89, b87, b40, b45 ;
a130 : b1, b45, b32, b54, b35 ;
a289 : b97, b15, b28, b24, b19 ;
a312 : b2, b59, b70, b60, b63 ;
a823 : b1, b97, b69, b56, b34 ;
a322 : b21, b38, b82, b61, b3 ;
a662 : b53, b27, b65, b95, b11 ;
a516 : b50, b26, b85, b93, b80 ;
a868 : b4, b57, b69, b97, b26 ;
a1000 : b81, b58, b45, b36, b2 ;
a386 : b47, b49, b44, b1, b25 ;
a760 : b97, b59, b62, b20, b50 ;
a651 : b91, b23, b57, b45, b90 ;
a260 : b2, b49, b66, b25, b76 ;
a607 : b59, b99, b54, b89, b76 ;
a806 : b93, b43, b34, b19, b100 ;
a215 : b32, b21, b82, b65, b6 ;
a750 : b86, b78, b28, b80, b77 ;
a815 : b40, b35, b6, b57, b19 ;
a771 : b14, b31, b24, b49, b34 ;
a344 : b91, b52, b62, b64, b21 ;
a913 : b89, b3, b2, b85, b15 ;
a22 : b53, b25, b91, b48, b57 ;
a337 : b37, b86, b69, b87, b43 ;
a978 : b14, b10, b62, b58, b74 ;
a43 : b79, b88, b29, b38, b60 ;
a620 : b19, b97, b70, b75, b44 ;
