@PartitionA
a335, a201, a515, a125, a59, a535, a785, a914, a67, a543, a88, a159, a558, a462, a880, a688, a653, a514, a9, a5, a162, a812, a451, a753, a442, a149, a463, a169, a472, a60, a219, a467, a526, a695, a826, a837, a228, a101, a965, a450, a552, a555, a625, a46, a798, a347, a553, a741, a1000, a504, a150, a742, a703, a527, a401, a226, a733, a387, a624, a395, a787, a370, a947, a698, a970, a6, a593, a617, a367, a581, a407, a427, a823, a215, a779, a284, a530, a3, a96, a142, a165, a276, a439, a138, a627, a755, a588, a773, a422, a307, a118, a635, a353, a330, a238, a644, a693, a797, a722, a887, a107, a771, a380, a31, a941, a889, a560, a223, a728, a959, a85, a65, a584, a264, a133, a115, a858, a90, a963, a418, a549, a110, a26, a25, a61, a536, a259, a958, a993, a492, a316, a482, a696, a277, a926, a132, a673, a168, a664, a857, a905, a845, a84, a257, a705, a305, a156, a629, a597, a973, a183, a209, a813, a574, a550, a886, a72, a854, a438, a686, a896, a671, a239, a793, a621, a124, a29, a888, a105, a522, a524, a778, a267, a4, a501, a870, a383, a871, a602, a843, a128, a957, a445, a769, a205, a261, a135, a431, a190, a697, a680, a237, a631, a804, a690, a582, a738, a299, a577, a786, a357, a436, a502, a363, a831, a327, a533, a184, a920, a283, a605, a378, a565, a392, a296, a480, a196, a269, a140, a426, a249, a500, a441, a532, a488, a371, a74, a258, a639, a241, a578, a985, a38, a62, a265, a457, a262, a375, a71, a204, a599, a601, a200, a576, a646, a180, a147, a969, a759, a999, a211, a950, a534, a35, a329, a848, a563, a852, a22, a521, a513, a909, a944, a303, a106, a962, a736, a499, a260, a64, a556, a702, a268, a564, a727, a406, a930, a224, a561, a280, a811, a949, a539, a956, a30, a155, a121, a320, a721, a473, a412, a32, a713, a419, a222, a92, a282, a358, a398, a613, a706, a628, a40, a198, a756, a911, a333, a960, a48, a551, a594, a952, a21, a34, a50, a762, a346, a417, a731, a719, a776, a352, a683, a221, a991, a869, a758, a229, a361, a433, a544, a655, a306, a875, a430, a966, a27, a23, a193, a545, a308, a846, a782, a912, a775, a943, a455, a774, a891, a672, a189, a98, a77, a94, a374, a546, a925, a757, a781, a83, a747, a942, a97, a87, a76, a832, a385, a704, a416, a881, a777, a751, a746, a182, a444, a877, a537, a379, a669, a830, a519, a606, a994, a54, a667, a865, a42, a681, a990, a923, a647, a122, a160, a520, a980, a487, a517, a396, a893, a66, a818, a409, a108, a218, a476, a523, a931, a464, a876, a676, a540, a794, a475, a707, a287, a274, a95, a113, a726, a989, a640, a294, a571, a234, a479, a207, a240, a47, a700, a862, a233, a799, a689, a974, a807, a643, a494, a528, a366, a585, a768, a243, a604, a748, a208, a828, a867, a145, a446, a666, a292, a656, a185, a230, a922, a354, a391, a557, a538, a278, a835, a102, a297, a309, a348, a295, a770, a884, a913, a580, a461, a675, a904, a434, a20, a933, a43, a119, a541, a45, a255, a607, a591, a474, a641, a729, a69, a420, a587, a868, a293, a435, a802, a935, a413, a273, a783, a834, a657, a788, a853, a890, a432, a918, a687, a390, a114, a711, a331, a583, a317, a146, a39, a212, a272, a394, a448, a619, a682, a745, a948, a766, a674, a954, a927, a987, a510, a44, a919, a91, a997, a389, a542, a907, a256, a153, a248, a908, a917, a372, a368, a841, a784, a649, a318, a360, a600, a824, a244, a191, a405, a712, a814, a817, a341, a355, a866, a82, a227, a254, a428, a511, a872, a338, a642, a270, a285, a590, a677, a478, a470, a892, a928, a638, a945, a250, a408, a570, a322, a902, a232, a53, a134, a120, a663, a127, a851, a319, a325, a659, a620, a816, a968, a790, a414, a801, a351, a531, a359, a192, a81, a321, a567, a630, a173, a275, a75, a645, a977, a998, a692, a763, a608, a123, a615, a279, a210, a56, a725, a216, a10, a36, a895, a468, a614, a979, a364, a143, a384, a491, a986, a79, a312, a595, a809, a863, a104, a301, a934, a873, a937, a245, a710, a466, a623, a486, a7, a2, a252, a885, a323, a181, a70, a856, a356, a575, a188, a429, a568, a709, a137, a929, a154, a800, a694, a126, a668, a964, a197, a411, a263, a796, a497, a670, a661, a51, a648, a460, a365, a175, a116, a449, a78, a37, a598, a310, a410, a424, a618, a57, a749, a822, a921, a735, a477, a652, a981, a373, a938, a569, a111, a17, a231, a844, a503, a765, a337, a214, a334, a901, a984, a566, a14, a86, a186, a586, a103, a443, a610, a423, a41, a311, a484, a213, a289, a836, a951, a328, a723, a626, a898, a650, a332, a397, a454, a685, a701, a194, a847, a900, a483, a220, a163, a382, a339, a148, a932, a894, a33, a795, a559, a714, a996, a343, a266, a592, a829, a452, a916, a286, a326, a637, a634, a764, a660, a808, a63, a803, a572, a152, a878, a512, a662, a376, a377, a508, a849, a906, a195, a437, a940, a459, a157, a708, a304, a174, a743, a810, a247, a737, a456, a489, a369, a573, a144, a236, a170, a388, a678, a490, a903, a665, a612, a253, a525, a967, a381, a976, a716, a717, a350, a507, a345, a399, a715, a761, a548, a342, a16, a924, a529, a953, a699, a827, a632, a315, a171, a440, a855, a112, a897, a691, a89, a611, a562, a864, a874, a971, a136, a983, a861, a780, a178, a386, a622, a176, a453, a403, a939, a815, a899, a404, a651, a946, a792, a117, a516, a225, a129, a633, a313, a187, a839, a833, a58, a732, a554, a217, a658, a879, a806, a820, a910, a402, a447, a860, a52, a982, a518, a739, a603, a740, a825, a203, a242, a179, a93, a302, a425, a151, a915, a972, a340, a49, a281, a485, a850, a988, a139, a992, a734, a471, a80, a100, a13, a172, a99, a498, a589, a883, a469, a805, a493, a609, a130, a393, a936, a636, a791, a298, a961, a978, a718, a1, a859, a750, a995, a12, a349, a202, a720, a458, a314, a505, a400, a819, a8, a821, a251, a465, a654, a336, a68, a166, a24, a596, a177, a19, a164, a18, a235, a789, a206, a616, a109, a547, a955, a744, a73, a246, a291, a271, a324, a842, a421, a679, a579, a15, a752, a754, a509, a362, a28, a767, a772, a506, a730, a290, a415, a55, a167, a684, a882, a481, a760, a11, a161, a838, a495, a141, a199, a724, a840, a496, a158, a288, a975, a300, a131, a344 ;
@End

@PartitionB
b8 (4, 50), b20 (31, 50), b10 (1, 50), b17 (43, 50), b7 (7, 50), b16 (50, 50), b12 (17, 50), b4 (45, 50), b6 (3, 50), b14 (36, 50), b9 (6, 50), b18 (3, 50), b19 (17, 50), b11 (5, 50), b15 (36, 50), b2 (42, 50), b13 (12, 50), b3 (15, 50), b5 (12, 50), b1 (39, 50) ;
@End

@PreferenceListsA
a335 : b19, b9, b20, b7, b6 ;
a201 : b20, b2, b9, b12, b16 ;
a515 : b3, b18, b15, b7, b11 ;
a125 : b3, b20, b7, b11, b2 ;
a59 : b1, b6, b4, b3, b17 ;
a535 : b20, b4, b13, b10, b16 ;
a785 : b16, b20, b2, b5, b14 ;
a914 : b19, b9, b12, b1, b18 ;
a67 : b15, b12, b19, b11, b10 ;
a543 : b15, b16, b4, b20, b12 ;
a88 : b13, b7, b17, b3, b14 ;
a159 : b4, b20, b5, b12, b2 ;
a558 : b19, b11, b6, b18, b12 ;
a462 : b9, b7, b16, b13, b14 ;
a880 : b15, b9, b20, b8, b7 ;
a688 : b7, b11, b2, b20, b8 ;
a653 : b13, b5, b11, b12, b9 ;
a514 : b9, b1, b8, b10, b18 ;
a9 : b18, b13, b2, b19, b4 ;
a5 : b10, b20, b12, b15, b11 ;
a162 : b14, b10, b9, b2, b5 ;
a812 : b19, b12, b3, b2, b5 ;
a451 : b11, b4, b14, b13, b18 ;
a753 : b20, b12, b3, b18, b11 ;
a442 : b8, b13, b4, b12, b11 ;
a149 : b11, b18, b15, b6, b16 ;
a463 : b14, b6, b13, b20, b19 ;
a169 : b18, b12, b1, b10, b7 ;
a472 : b2, b20, b5, b6, b18 ;
a60 : b6, b10, b2, b9, b12 ;
a219 : b15, b6, b17, b11, b14 ;
a467 : b11, b3, b12, b9, b20 ;
a526 : b5, b7, b4, b19, b8 ;
a695 : b1, b6, b20, b15, b14 ;
a826 : b10, b15, b17, b4, b1 ;
a837 : b9, b6, b7, b14, b11 ;
a228 : b17, b6, b19, b10, b2 ;
a101 : b19, b10, b1, b12, b3 ;
a965 : b19, b12, b10, b11, b13 ;
a450 : b9, b16, b6, b13, b12 ;
a552 : b13, b11, b6, b3, b12 ;
a555 : b10, b5, b1, b15, b3 ;
a625 : b1, b14, b13, b7, b17 ;
a46 : b6, b20, b7, b1, b4 ;
a798 : b6, b15, b8, b7, b1 ;
a347 : b4, b11, b14, b16, b9 ;
a553 : b18, b19, b2, b12, b20 ;
a741 : b1, b4, b12, b2, b8 ;
a1000 : b2, b11, b16, b6, b8 ;
a504 : b2, b15, b5, b8, b10 ;
a150 : b10, b12, b2, b11, b5 ;
a742 : b6, b2, b11, b7, b16 ;
a703 : b8, b6, b9, b18, b3 ;
a527 : b12, b14, b16, b19, b17 ;
a401 : b17, b7, b8, b16, b18 ;
a226 : b20, b12, b11, b15, b7 ;
a733 : b5, b1, b7, b15, b16 ;
a387 : b20, b1, b4, b17, b16 ;
a624 : b12, b14, b10, b13, b18 ;
a395 : b18, b2, b7, b11, b15 ;
a787 : b14, b1, b19, b11, b8 ;
a370 : b17, b6, b2, b13, b14 ;
a947 : b3, b14, b8, b11, b6 ;
a698 : b2, b6, b12, b8, b14 ;
a970 : b2, b9, b18, b12, b5 ;
a6 : b3, b14, b6, b12, b9 ;
a593 : b15, b18, b2, b9, b20 ;
a617 : b14, b20, b3, b16, b9 ;
a367 : b9, b10, b20, b19, b8 ;
a581 : b1, b3, b18, b12, b20 ;
a407 : b4, b17, b9, b7, b19 ;
a427 : b18, b8, b10, b6, b1 ;
a823 : b12, b17, b2, b18, b8 ;
a215 : b4, b7, b11, b2, b5 ;
a779 : b7, b19, b11, b1, b3 ;
a284 : b1, b7, b10, b4, b2 ;
a530 : b2, b14, b19, b10, b7 ;
a3 : b2, b3, b15, b12, b16 ;
a96 : b19, b15, b17, b16, b1 ;
a142 : b6, b1, b20, b12, b18 ;
a165 : b5, b3, b19, b14, b9 ;
a276 : b6, b4, b13, b1, b8 ;
a439 : b5, b3, b16, b2, b19 ;
a138 : b14, b13, b18, b3, b5 ;
a627 : b7, b16, b2, b18, b17 ;
a755 : b8, b7, b17, b5, b15 ;
a588 : b7, b8, b20, b18, b9 ;
a773 : b18, b13, b10, b4, b2 ;
a422 : b1, b17, b7, b20, b18 ;
a307 : b2, b3, b18, b19, b16 ;
a118 : b3, b14, b20, b4, b10 ;
a635 : b18, b19, b16, b1, b5 ;
a353 : b18, b13, b16, b1, b17 ;
a330 : b15, b7, b11, b9, b10 ;
a238 : b3, b13, b5, b16, b4 ;
a644 : b6, b19, b11, b18, b17 ;
a693 : b4, b2, b1, b10, b15 ;
a797 : b14, b3, b2, b7, b11 ;
a722 : b4, b14, b9, b20, b6 ;
a887 : b15, b5, b7, b17, b4 ;
a107 : b5, b7, b13, b11, b14 ;
a771 : b9, b11, b15, b19, b6 ;
a380 : b3, b13, b15, b1, b4 ;
a31 : b17, b8, b2, b20, b5 ;
a941 : b4, b17, b9, b8, b16 ;
a889 : b4, b2, b16, b17, b1 ;
a560 : b18, b1, b20, b2, b14 ;
a223 : b5, b6, b1, b17, b11 ;
a728 : b12, b5, b1, b6, b10 ;
a959 : b11, b8, b2, b16, b15 ;
a85 : b3, b6, b13, b5, b2 ;
a65 : b20, b18, b1, b6, b15 ;
a584 : b12, b8, b2, b13, b19 ;
a264 : b11, b7, b10, b5, b2 ;
a133 : b20, b8, b2, b12, b14 ;
a115 : b20, b18, b13, b7, b4 ;
a858 : b6, b13, b9, b14, b5 ;
a90 : b3, b17, b6, b20, b16 ;
a963 : b3, b7, b16, b14, b20 ;
a418 : b14, b1, b2, b6, b15 ;
a549 : b15, b16, b13, b17, b5 ;
a110 : b17, b16, b18, b11, b8 ;
a26 : b17, b1, b8, b14, b5 ;
a25 : b9, b15, b2, b8, b4 ;
a61 : b16, b5, b14, b11, b9 ;
a536 : b4, b18, b7, b6, b10 ;
a259 : b14, b16, b7, b6, b18 ;
a958 : b6, b3, b8, b19, b10 ;
a993 : b18, b8, b9, b15, b1 ;
a492 : b11, b16, b20, b7, b19 ;
a316 : b7, b8, b2, b17, b19 ;
a482 : b13, b11, b20, b14, b15 ;
a696 : b2, b19, b4, b6, b11 ;
a277 : b2, b19, b20, b13, b5 ;
a926 : b18, b8, b13, b12, b19 ;
a132 : b17, b19, b7, b12, b16 ;
a673 : b10, b13, b19, b9, b16 ;
a168 : b1, b18, b19, b9, b8 ;
a664 : b18, b1, b13, b19, b6 ;
a857 : b1, b19, b17, b9, b14 ;
a905 : b1, b20, b5, b12, b8 ;
a845 : b17, b4, b6, b2, b3 ;
a84 : b7, b10, b15, b1, b19 ;
a257 : b18, b15, b7, b12, b2 ;
a705 : b16, b4, b5, b15, b18 ;
a305 : b17, b2, b3, b13, b14 ;
a156 : b10, b7, b20, b9, b13 ;
a629 : b6, b13, b16, b8, b18 ;
