@PartitionA
r1, r2, r3, r4, r5, r6, r7, r8, r9, r10, r11, r12, r13, r14, r15, r16, r17, r18, r19, r20, r21, r22, r23, r24, r25, r26, r27, r28, r29, r30, r31, r32, r33, r34, r35, r36, r37, r38, r39, r40, r41, r42, r43, r44, r45, r46, r47, r48, r49, r50, r51, r52, r53, r54, r55, r56, r57, r58, r59, r60, r61, r62, r63, r64, r65, r66, r67, r68, r69, r70, r71, r72, r73, r74, r75, r76, r77, r78, r79, r80, r81, r82, r83, r84, r85, r86, r87, r88, r89, r90, r91, r92, r93, r94, r95, r96, r97, r98, r99, r100, r101, r102, r103, r104, r105, r106, r107, r108, r109, r110, r111, r112, r113, r114, r115, r116, r117, r118, r119, r120, r121, r122, r123, r124, r125, r126, r127, r128, r129, r130, r131, r132, r133, r134, r135, r136, r137, r138, r139, r140, r141, r142, r143, r144, r145, r146, r147, r148, r149, r150, r151, r152, r153, r154, r155, r156, r157, r158, r159, r160, r161, r162, r163, r164, r165, r166, r167, r168, r169, r170, r171, r172, r173, r174, r175, r176, r177, r178, r179, r180, r181, r182, r183, r184, r185, r186, r187, r188, r189, r190, r191, r192, r193, r194, r195, r196, r197, r198, r199, r200, r201, r202, r203, r204, r205, r206, r207, r208, r209, r210, r211, r212, r213, r214, r215, r216, r217, r218, r219, r220, r221, r222, r223, r224, r225, r226, r227, r228, r229, r230, r231, r232, r233, r234, r235, r236, r237, r238, r239, r240, r241, r242, r243, r244, r245, r246, r247, r248, r249, r250, r251, r252, r253, r254, r255, r256, r257, r258, r259, r260, r261, r262, r263, r264, r265, r266, r267, r268, r269, r270, r271, r272, r273, r274, r275, r276, r277, r278, r279, r280, r281, r282, r283, r284, r285, r286, r287, r288, r289, r290, r291, r292, r293, r294, r295, r296, r297, r298, r299, r300, r301, r302, r303, r304, r305, r306, r307, r308, r309, r310, r311, r312, r313, r314, r315, r316, r317, r318, r319, r320, r321, r322, r323, r324, r325, r326, r327, r328, r329, r330, r331, r332, r333, r334, r335, r336, r337, r338, r339, r340, r341, r342, r343, r344, r345, r346, r347, r348, r349, r350, r351, r352, r353, r354, r355, r356, r357, r358, r359, r360, r361, r362, r363, r364, r365, r366, r367, r368, r369, r370, r371, r372, r373, r374, r375, r376, r377, r378, r379, r380, r381, r382, r383, r384, r385, r386, r387, r388, r389, r390, r391, r392, r393, r394, r395, r396, r397, r398, r399, r400, r401, r402, r403, r404, r405, r406, r407, r408, r409, r410, r411, r412, r413, r414, r415, r416, r417, r418, r419, r420, r421, r422, r423, r424, r425, r426, r427, r428, r429, r430, r431, r432, r433, r434, r435, r436, r437, r438, r439, r440, r441, r442, r443, r444, r445, r446, r447, r448, r449, r450, r451, r452, r453, r454, r455, r456, r457, r458, r459, r460, r461, r462, r463, r464, r465, r466, r467, r468, r469, r470, r471, r472, r473, r474, r475, r476, r477, r478, r479, r480, r481, r482, r483, r484, r485, r486, r487, r488, r489, r490, r491, r492, r493, r494, r495, r496, r497, r498, r499, r500, r501, r502, r503, r504, r505, r506, r507, r508, r509, r510, r511, r512, r513, r514, r515, r516, r517, r518, r519, r520, r521, r522, r523, r524, r525, r526, r527, r528, r529, r530, r531, r532, r533, r534, r535, r536, r537, r538, r539, r540, r541, r542, r543, r544, r545, r546, r547, r548, r549, r550, r551, r552, r553, r554, r555, r556, r557, r558, r559, r560, r561, r562, r563, r564, r565, r566, r567, r568, r569, r570, r571, r572, r573, r574, r575, r576, r577, r578, r579, r580, r581, r582, r583, r584, r585, r586, r587, r588, r589, r590, r591, r592, r593, r594, r595, r596, r597, r598, r599, r600, r601, r602, r603, r604, r605, r606, r607, r608, r609, r610, r611, r612, r613, r614, r615, r616, r617, r618, r619, r620, r621, r622, r623, r624, r625, r626, r627, r628, r629, r630, r631, r632, r633, r634, r635, r636, r637, r638, r639, r640, r641, r642, r643, r644, r645, r646, r647, r648, r649, r650, r651, r652, r653, r654, r655, r656, r657, r658, r659, r660, r661, r662, r663, r664, r665, r666, r667, r668, r669, r670, r671, r672, r673, r674, r675, r676, r677, r678, r679, r680, r681, r682, r683, r684, r685, r686, r687, r688, r689, r690, r691, r692, r693, r694, r695, r696, r697, r698, r699, r700, r701, r702, r703, r704, r705, r706, r707, r708, r709, r710, r711, r712, r713, r714, r715, r716, r717, r718, r719, r720, r721, r722, r723, r724, r725, r726, r727, r728, r729, r730, r731, r732, r733, r734, r735, r736, r737, r738, r739, r740, r741, r742, r743, r744, r745, r746, r747, r748, r749, r750, r751, r752, r753, r754, r755, r756, r757, r758, r759, r760, r761, r762, r763, r764, r765, r766, r767, r768, r769, r770, r771, r772, r773, r774, r775, r776, r777, r778, r779, r780, r781, r782, r783, r784, r785, r786, r787, r788, r789, r790, r791, r792, r793, r794, r795, r796, r797, r798, r799, r800, r801, r802, r803, r804, r805, r806, r807, r808, r809, r810, r811, r812, r813, r814, r815, r816, r817, r818, r819, r820, r821, r822, r823, r824, r825, r826, r827, r828, r829, r830, r831, r832, r833, r834, r835, r836, r837, r838, r839, r840, r841, r842, r843, r844, r845, r846, r847, r848, r849, r850, r851, r852, r853, r854, r855, r856, r857, r858, r859, r860, r861, r862, r863, r864, r865, r866, r867, r868, r869, r870, r871, r872, r873, r874, r875, r876, r877, r878, r879, r880, r881, r882, r883, r884, r885, r886, r887, r888, r889, r890, r891, r892, r893, r894, r895, r896, r897, r898, r899, r900, r901, r902, r903, r904, r905, r906, r907, r908, r909, r910, r911, r912, r913, r914, r915, r916, r917, r918, r919, r920, r921, r922, r923, r924, r925, r926, r927, r928, r929, r930, r931, r932, r933, r934, r935, r936, r937, r938, r939, r940, r941, r942, r943, r944, r945, r946, r947, r948, r949, r950, r951, r952, r953, r954, r955, r956, r957, r958, r959, r960, r961, r962, r963, r964, r965, r966, r967, r968, r969, r970, r971, r972, r973, r974, r975, r976, r977, r978, r979, r980, r981, r982, r983, r984, r985, r986, r987, r988, r989, r990, r991, r992, r993, r994, r995, r996, r997, r998, r999, r1000 ;
@End

@PartitionB
h75 (10, 10), h55 (6, 10), h63 (2, 10), h83 (10, 10), h92 (1, 10), h31 (10, 10), h80 (9, 10), h27 (2, 10), h28 (4, 10), h39 (9, 10), h11 (7, 10), h68 (6, 10), h48 (2, 10), h70 (0, 10), h59 (5, 10), h4 (3, 10), h33 (3, 10), h1 (0, 10), h10 (9, 10), h51 (0, 10), h100 (0, 10), h58 (8, 10), h57 (10, 10), h81 (2, 10), h66 (0, 10), h24 (8, 10), h89 (7, 10), h35 (7, 10), h37 (3, 10), h25 (1, 10), h15 (0, 10), h41 (4, 10), h26 (4, 10), h45 (5, 10), h54 (10, 10), h87 (5, 10), h53 (7, 10), h40 (10, 10), h74 (9, 10), h21 (8, 10), h71 (7, 10), h2 (9, 10), h69 (9, 10), h61 (9, 10), h65 (6, 10), h14 (2, 10), h17 (2, 10), h13 (2, 10), h6 (2, 10), h34 (5, 10), h86 (2, 10), h46 (7, 10), h18 (1, 10), h7 (9, 10), h90 (10, 10), h36 (4, 10), h62 (1, 10), h22 (5, 10), h72 (4, 10), h30 (7, 10), h67 (0, 10), h3 (5, 10), h73 (10, 10), h8 (4, 10), h50 (2, 10), h98 (3, 10), h47 (7, 10), h52 (8, 10), h42 (7, 10), h76 (6, 10), h82 (8, 10), h78 (9, 10), h16 (7, 10), h56 (6, 10), h5 (7, 10), h20 (0, 10), h95 (10, 10), h77 (4, 10), h99 (2, 10), h29 (1, 10), h97 (6, 10), h60 (1, 10), h84 (3, 10), h85 (8, 10), h23 (3, 10), h79 (1, 10), h9 (10, 10), h96 (6, 10), h32 (10, 10), h93 (6, 10), h49 (5, 10), h43 (6, 10), h91 (4, 10), h12 (3, 10), h94 (10, 10), h38 (6, 10), h64 (1, 10), h44 (4, 10), h88 (1, 10), h19 (1, 10) ;
@End

@PreferenceListsA
r1 : h27, h2, h73, h84, h68, h5, h62, h63, h37, h55, h16, h99, h19, h65, h24 ;
r2 : h42, h54, h98, h80, h87, h94, h23, h8, h4, h35, h44, h17, h64, h65, h72 ;
r3 : h68, h73, h58, h20, h28, h60, h26, h85, h32, h83, h56, h94, h84, h66, h80 ;
r4 : h87, h52, h99, h28, h72, h81, h26, h4, h70, h58, h43, h19, h93, h34, h65 ;
r5 : h12, h26, h65, h64, h37, h35, h6, h87, h98, h17, h58, h16, h46, h4, h71 ;
r6 : h80, h22, h72, h46, h16, h100, h91, h97, h5, h70, h75, h48, h58, h99, h49 ;
r7 : h35, h28, h72, h22, h55, h54, h80, h73, h20, h47, h79, h16, h37, h5, h65 ;
r8 : h89, h57, h58, h80, h17, h24, h72, h34, h41, h62, h54, h16, h40, h26, h78 ;
r9 : h33, h43, h81, h99, h32, h79, h24, h16, h27, h37, h73, h63, h34, h30, h18 ;
r10 : h80, h71, h46, h34, h44, h57, h37, h58, h73, h19, h68, h50, h75, h60, h62 ;
r11 : h23, h72, h35, h24, h37, h58, h34, h46, h73, h80, h4, h98, h76, h84, h39 ;
r12 : h99, h74, h75, h41, h17, h19, h93, h24, h16, h1, h54, h27, h57, h15, h94 ;
r13 : h55, h62, h24, h71, h60, h34, h7, h27, h22, h84, h15, h91, h96, h65, h85 ;
r14 : h73, h28, h24, h46, h99, h58, h65, h57, h19, h88, h26, h84, h50, h98, h18 ;
r15 : h57, h30, h80, h99, h44, h28, h72, h16, h90, h93, h68, h94, h84, h85, h70 ;
r16 : h57, h89, h37, h27, h41, h26, h80, h63, h68, h43, h73, h4, h13, h53, h28 ;
r17 : h19, h95, h35, h4, h34, h48, h65, h27, h24, h72, h46, h52, h23, h28, h84 ;
r18 : h28, h30, h37, h63, h16, h99, h70, h80, h73, h24, h89, h68, h76, h65, h12 ;
r19 : h81, h50, h68, h43, h99, h41, h60, h37, h87, h79, h22, h38, h17, h27, h78 ;
r20 : h42, h23, h55, h16, h34, h40, h68, h83, h4, h17, h46, h24, h43, h28, h93 ;
r21 : h71, h89, h43, h57, h12, h37, h42, h16, h60, h52, h87, h9, h44, h81, h79 ;
r22 : h80, h62, h78, h84, h23, h72, h73, h35, h61, h22, h99, h63, h83, h28, h36 ;
r23 : h19, h4, h84, h68, h80, h24, h55, h20, h52, h81, h87, h60, h57, h74, h58 ;
r24 : h89, h68, h80, h81, h4, h73, h24, h83, h46, h50, h93, h84, h17, h57, h78 ;
r25 : h87, h40, h99, h4, h46, h58, h28, h12, h60, h37, h62, h65, h96, h80, h84 ;
r26 : h65, h28, h89, h73, h84, h37, h80, h62, h43, h24, h68, h8, h12, h98, h27 ;
r27 : h2, h53, h78, h15, h43, h57, h98, h71, h72, h17, h39, h69, h99, h37, h1 ;
r28 : h67, h43, h12, h44, h58, h68, h83, h73, h16, h57, h54, h41, h65, h19, h75 ;
r29 : h53, h62, h52, h65, h34, h29, h99, h73, h19, h89, h67, h68, h12, h91, h35 ;
r30 : h52, h9, h19, h68, h44, h16, h43, h3, h60, h24, h13, h94, h80, h65, h63 ;
r31 : h76, h78, h24, h57, h43, h4, h81, h87, h2, h42, h83, h84, h91, h58, h54 ;
r32 : h87, h4, h17, h26, h27, h52, h7, h65, h18, h81, h99, h72, h62, h70, h91 ;
r33 : h17, h79, h73, h1, h63, h43, h4, h12, h81, h50, h41, h34, h46, h99, h71 ;
r34 : h72, h34, h79, h68, h62, h87, h94, h1, h43, h84, h37, h53, h16, h2, h71 ;
r35 : h99, h10, h35, h72, h65, h27, h78, h73, h62, h5, h67, h93, h57, h34, h63 ;
r36 : h63, h2, h96, h91, h27, h12, h42, h75, h35, h39, h94, h57, h90, h4, h54 ;
r37 : h71, h62, h37, h84, h10, h98, h82, h92, h2, h73, h46, h91, h87, h24, h18 ;
r38 : h43, h98, h58, h63, h5, h73, h35, h62, h93, h71, h24, h48, h68, h17, h19 ;
r39 : h51, h16, h73, h24, h20, h42, h94, h52, h28, h58, h72, h4, h12, h70, h17 ;
r40 : h99, h73, h19, h84, h23, h90, h67, h95, h57, h27, h55, h43, h76, h58, h37 ;
r41 : h58, h99, h62, h43, h35, h51, h68, h87, h12, h56, h95, h63, h73, h81, h50 ;
r42 : h82, h24, h94, h33, h75, h27, h72, h1, h6, h12, h63, h68, h78, h65, h73 ;
r43 : h71, h6, h58, h81, h93, h27, h29, h2, h91, h63, h43, h57, h16, h62, h65 ;
r44 : h2, h50, h81, h63, h3, h93, h55, h12, h34, h54, h73, h43, h4, h58, h21 ;
r45 : h18, h12, h73, h80, h75, h100, h34, h65, h58, h85, h43, h24, h78, h84, h16 ;
r46 : h81, h52, h68, h32, h63, h78, h18, h1, h43, h99, h58, h16, h9, h4, h93 ;
r47 : h41, h30, h38, h96, h54, h16, h80, h50, h73, h18, h75, h17, h85, h27, h84 ;
r48 : h87, h68, h20, h24, h54, h16, h12, h99, h43, h19, h93, h50, h78, h69, h80 ;
r49 : h37, h27, h16, h52, h13, h58, h73, h24, h72, h34, h89, h17, h43, h41, h99 ;
r50 : h91, h79, h27, h34, h37, h24, h99, h77, h60, h43, h94, h58, h16, h2, h6 ;
r51 : h72, h43, h81, h78, h1, h56, h16, h73, h76, h4, h62, h74, h97, h94, h89 ;
r52 : h28, h52, h70, h57, h63, h58, h73, h61, h93, h99, h9, h23, h59, h80, h87 ;
r53 : h28, h18, h76, h32, h3, h1, h48, h93, h37, h98, h57, h73, h87, h24, h83 ;
r54 : h17, h12, h40, h73, h68, h94, h87, h37, h75, h78, h69, h42, h4, h84, h93 ;
r55 : h93, h57, h68, h87, h84, h52, h98, h43, h35, h78, h5, h16, h34, h94, h90 ;
r56 : h43, h63, h73, h37, h9, h48, h81, h16, h78, h34, h84, h58, h93, h62, h99 ;
r57 : h19, h80, h84, h97, h52, h12, h4, h23, h57, h2, h65, h58, h71, h73, h67 ;
r58 : h24, h83, h39, h75, h55, h99, h69, h33, h19, h6, h93, h46, h87, h20, h80 ;
r59 : h1, h57, h12, h50, h58, h32, h30, h7, h27, h93, h63, h52, h24, h19, h87 ;
r60 : h81, h63, h50, h65, h74, h17, h78, h80, h12, h28, h43, h2, h73, h24, h9 ;
r61 : h93, h78, h91, h83, h73, h12, h58, h34, h52, h47, h37, h84, h94, h54, h19 ;
r62 : h94, h72, h57, h52, h80, h63, h58, h62, h65, h73, h42, h13, h19, h50, h1 ;
r63 : h73, h12, h37, h17, h91, h86, h32, h89, h22, h57, h26, h40, h99, h4, h27 ;
r64 : h54, h41, h94, h99, h69, h93, h60, h65, h11, h18, h84, h80, h87, h44, h43 ;
r65 : h78, h67, h32, h68, h44, h54, h43, h73, h34, h99, h33, h66, h75, h41, h63 ;
r66 : h85, h58, h55, h72, h46, h73, h74, h52, h4, h27, h43, h57, h93, h34, h35 ;
r67 : h93, h79, h24, h58, h65, h87, h46, h17, h39, h31, h23, h2, h43, h12, h28 ;
r68 : h12, h60, h36, h44, h34, h19, h43, h39, h1, h68, h65, h57, h40, h76, h22 ;
r69 : h87, h62, h43, h78, h50, h4, h2, h94, h58, h81, h80, h73, h76, h72, h37 ;
r70 : h57, h2, h68, h34, h58, h28, h93, h17, h65, h33, h12, h80, h73, h43, h94 ;
r71 : h65, h13, h10, h27, h17, h81, h46, h57, h40, h43, h54, h35, h73, h2, h52 ;
r72 : h62, h18, h24, h17, h87, h56, h43, h41, h99, h27, h55, h71, h47, h65, h93 ;
r73 : h93, h87, h48, h18, h85, h27, h10, h43, h94, h75, h19, h99, h80, h73, h42 ;
r74 : h68, h32, h47, h43, h12, h52, h37, h93, h28, h72, h99, h73, h84, h62, h63 ;
r75 : h65, h94, h80, h84, h36, h69, h20, h37, h32, h16, h2, h24, h9, h63, h46 ;
r76 : h44, h63, h46, h72, h48, h24, h87, h12, h73, h57, h99, h39, h95, h10, h37 ;
r77 : h75, h62, h10, h76, h30, h84, h19, h43, h52, h93, h83, h16, h2, h65, h44 ;
