@PartitionA
r1, r2, r3, r4, r5, r6, r7, r8, r9, r10, r11, r12, r13, r14, r15, r16, r17, r18, r19, r20, r21, r22, r23, r24, r25, r26, r27, r28, r29, r30, r31, r32, r33, r34, r35, r36, r37, r38, r39, r40, r41, r42, r43, r44, r45, r46, r47, r48, r49, r50, r51, r52, r53, r54, r55, r56, r57, r58, r59, r60, r61, r62, r63, r64, r65, r66, r67, r68, r69, r70, r71, r72, r73, r74, r75, r76, r77, r78, r79, r80, r81, r82, r83, r84, r85, r86, r87, r88, r89, r90, r91, r92, r93, r94, r95, r96, r97, r98, r99, r100, r101, r102, r103, r104, r105, r106, r107, r108, r109, r110, r111, r112, r113, r114, r115, r116, r117, r118, r119, r120, r121, r122, r123, r124, r125, r126, r127, r128, r129, r130, r131, r132, r133, r134, r135, r136, r137, r138, r139, r140, r141, r142, r143, r144, r145, r146, r147, r148, r149, r150, r151, r152, r153, r154, r155, r156, r157, r158, r159, r160, r161, r162, r163, r164, r165, r166, r167, r168, r169, r170, r171, r172, r173, r174, r175, r176, r177, r178, r179, r180, r181, r182, r183, r184, r185, r186, r187, r188, r189, r190, r191, r192, r193, r194, r195, r196, r197, r198, r199, r200, r201, r202, r203, r204, r205, r206, r207, r208, r209, r210, r211, r212, r213, r214, r215, r216, r217, r218, r219, r220, r221, r222, r223, r224, r225, r226, r227, r228, r229, r230, r231, r232, r233, r234, r235, r236, r237, r238, r239, r240, r241, r242, r243, r244, r245, r246, r247, r248, r249, r250, r251, r252, r253, r254, r255, r256, r257, r258, r259, r260, r261, r262, r263, r264, r265, r266, r267, r268, r269, r270, r271, r272, r273, r274, r275, r276, r277, r278, r279, r280, r281, r282, r283, r284, r285, r286, r287, r288, r289, r290, r291, r292, r293, r294, r295, r296, r297, r298, r299, r300, r301, r302, r303, r304, r305, r306, r307, r308, r309, r310, r311, r312, r313, r314, r315, r316, r317, r318, r319, r320, r321, r322, r323, r324, r325, r326, r327, r328, r329, r330, r331, r332, r333, r334, r335, r336, r337, r338, r339, r340, r341, r342, r343, r344, r345, r346, r347, r348, r349, r350, r351, r352, r353, r354, r355, r356, r357, r358, r359, r360, r361, r362, r363, r364, r365, r366, r367, r368, r369, r370, r371, r372, r373, r374, r375, r376, r377, r378, r379, r380, r381, r382, r383, r384, r385, r386, r387, r388, r389, r390, r391, r392, r393, r394, r395, r396, r397, r398, r399, r400, r401, r402, r403, r404, r405, r406, r407, r408, r409, r410, r411, r412, r413, r414, r415, r416, r417, r418, r419, r420, r421, r422, r423, r424, r425, r426, r427, r428, r429, r430, r431, r432, r433, r434, r435, r436, r437, r438, r439, r440, r441, r442, r443, r444, r445, r446, r447, r448, r449, r450, r451, r452, r453, r454, r455, r456, r457, r458, r459, r460, r461, r462, r463, r464, r465, r466, r467, r468, r469, r470, r471, r472, r473, r474, r475, r476, r477, r478, r479, r480, r481, r482, r483, r484, r485, r486, r487, r488, r489, r490, r491, r492, r493, r494, r495, r496, r497, r498, r499, r500, r501, r502, r503, r504, r505, r506, r507, r508, r509, r510, r511, r512, r513, r514, r515, r516, r517, r518, r519, r520, r521, r522, r523, r524, r525, r526, r527, r528, r529, r530, r531, r532, r533, r534, r535, r536, r537, r538, r539, r540, r541, r542, r543, r544, r545, r546, r547, r548, r549, r550, r551, r552, r553, r554, r555, r556, r557, r558, r559, r560, r561, r562, r563, r564, r565, r566, r567, r568, r569, r570, r571, r572, r573, r574, r575, r576, r577, r578, r579, r580, r581, r582, r583, r584, r585, r586, r587, r588, r589, r590, r591, r592, r593, r594, r595, r596, r597, r598, r599, r600, r601, r602, r603, r604, r605, r606, r607, r608, r609, r610, r611, r612, r613, r614, r615, r616, r617, r618, r619, r620, r621, r622, r623, r624, r625, r626, r627, r628, r629, r630, r631, r632, r633, r634, r635, r636, r637, r638, r639, r640, r641, r642, r643, r644, r645, r646, r647, r648, r649, r650, r651, r652, r653, r654, r655, r656, r657, r658, r659, r660, r661, r662, r663, r664, r665, r666, r667, r668, r669, r670, r671, r672, r673, r674, r675, r676, r677, r678, r679, r680, r681, r682, r683, r684, r685, r686, r687, r688, r689, r690, r691, r692, r693, r694, r695, r696, r697, r698, r699, r700, r701, r702, r703, r704, r705, r706, r707, r708, r709, r710, r711, r712, r713, r714, r715, r716, r717, r718, r719, r720, r721, r722, r723, r724, r725, r726, r727, r728, r729, r730, r731, r732, r733, r734, r735, r736, r737, r738, r739, r740, r741, r742, r743, r744, r745, r746, r747, r748, r749, r750, r751, r752, r753, r754, r755, r756, r757, r758, r759, r760, r761, r762, r763, r764, r765, r766, r767, r768, r769, r770, r771, r772, r773, r774, r775, r776, r777, r778, r779, r780, r781, r782, r783, r784, r785, r786, r787, r788, r789, r790, r791, r792, r793, r794, r795, r796, r797, r798, r799, r800, r801, r802, r803, r804, r805, r806, r807, r808, r809, r810, r811, r812, r813, r814, r815, r816, r817, r818, r819, r820, r821, r822, r823, r824, r825, r826, r827, r828, r829, r830, r831, r832, r833, r834, r835, r836, r837, r838, r839, r840, r841, r842, r843, r844, r845, r846, r847, r848, r849, r850, r851, r852, r853, r854, r855, r856, r857, r858, r859, r860, r861, r862, r863, r864, r865, r866, r867, r868, r869, r870, r871, r872, r873, r874, r875, r876, r877, r878, r879, r880, r881, r882, r883, r884, r885, r886, r887, r888, r889, r890, r891, r892, r893, r894, r895, r896, r897, r898, r899, r900, r901, r902, r903, r904, r905, r906, r907, r908, r909, r910, r911, r912, r913, r914, r915, r916, r917, r918, r919, r920, r921, r922, r923, r924, r925, r926, r927, r928, r929, r930, r931, r932, r933, r934, r935, r936, r937, r938, r939, r940, r941, r942, r943, r944, r945, r946, r947, r948, r949, r950, r951, r952, r953, r954, r955, r956, r957, r958, r959, r960, r961, r962, r963, r964, r965, r966, r967, r968, r969, r970, r971, r972, r973, r974, r975, r976, r977, r978, r979, r980, r981, r982, r983, r984, r985, r986, r987, r988, r989, r990, r991, r992, r993, r994, r995, r996, r997, r998, r999, r1000 ;
@End

@PartitionB
h80 (4, 10), h1 (1, 10), h93 (2, 10), h3 (3, 10), h56 (7, 10), h9 (0, 10), h20 (0, 10), h61 (2, 10), h67 (10, 10), h27 (1, 10), h34 (5, 10), h52 (6, 10), h5 (9, 10), h22 (1, 10), h70 (4, 10), h95 (6, 10), h8 (8, 10), h83 (1, 10), h58 (10, 10), h6 (9, 10), h100 (8, 10), h14 (4, 10), h86 (2, 10), h12 (5, 10), h84 (1, 10), h18 (1, 10), h76 (5, 10), h51 (2, 10), h62 (1, 10), h47 (10, 10), h96 (1, 10), h54 (5, 10), h64 (0, 10), h66 (2, 10), h74 (2, 10), h37 (1, 10), h98 (5, 10), h75 (1, 10), h90 (2, 10), h77 (3, 10), h68 (5, 10), h57 (4, 10), h41 (6, 10), h97 (0, 10), h91 (1, 10), h63 (8, 10), h33 (6, 10), h42 (1, 10), h88 (10, 10), h21 (0, 10), h78 (5, 10), h38 (2, 10), h35 (4, 10), h45 (8, 10), h53 (9, 10), h13 (0, 10), h31 (8, 10), h28 (0, 10), h50 (7, 10), h24 (2, 10), h43 (7, 10), h39 (6, 10), h89 (1, 10), h65 (6, 10), h40 (9, 10), h59 (6, 10), h25 (5, 10), h44 (2, 10), h73 (1, 10), h19 (6, 10), h82 (2, 10), h69 (6, 10), h29 (2, 10), h17 (2, 10), h26 (8, 10), h32 (5, 10), h49 (2, 10), h87 (9, 10), h92 (1, 10), h71 (4, 10), h79 (8, 10), h48 (6, 10), h60 (9, 10), h55 (4, 10), h72 (1, 10), h30 (0, 10), h94 (4, 10), h81 (0, 10), h15 (8, 10), h99 (2, 10), h7 (1, 10), h46 (10, 10), h10 (2, 10), h36 (9, 10), h16 (9, 10), h2 (5, 10), h4 (7, 10), h23 (8, 10), h85 (1, 10), h11 (10, 10) ;
@End

@PreferenceListsA
r1 : h82, h55, h81, h23, h27, h35, h84, h4, h88, h74, h49, h66, h24, h45, h86, h34, h75, h64, h44, h92, h29, h18, h46, h51, h96 ;
r2 : h89, h67, h49, h74, h37, h55, h34, h20, h44, h14, h81, h75, h1, h4, h12, h25, h54, h83, h87, h47, h69, h94, h45, h22, h73 ;
r3 : h39, h91, h35, h49, h14, h21, h27, h74, h85, h79, h41, h82, h51, h89, h92, h5, h38, h45, h44, h46, h97, h19, h88, h32, h78 ;
r4 : h47, h54, h88, h41, h44, h13, h4, h27, h70, h55, h97, h23, h92, h57, h67, h81, h45, h64, h35, h25, h24, h96, h29, h18, h5 ;
r5 : h69, h51, h18, h79, h41, h8, h34, h55, h73, h20, h45, h21, h36, h63, h5, h40, h72, h66, h92, h84, h74, h87, h65, h44, h56 ;
r6 : h41, h23, h22, h27, h87, h13, h34, h25, h73, h54, h5, h38, h44, h53, h37, h55, h75, h61, h85, h88, h35, h93, h52, h74, h29 ;
r7 : h55, h20, h23, h46, h37, h64, h69, h35, h95, h75, h44, h78, h21, h88, h67, h10, h91, h45, h24, h47, h41, h65, h87, h59, h27 ;
r8 : h24, h38, h27, h4, h74, h23, h36, h29, h5, h92, h41, h15, h46, h26, h81, h52, h14, h87, h48, h56, h50, h1, h70, h19, h75 ;
r9 : h55, h79, h66, h47, h35, h7, h18, h54, h96, h40, h27, h97, h78, h92, h87, h56, h22, h5, h80, h73, h34, h63, h24, h8, h69 ;
r10 : h27, h52, h59, h49, h98, h55, h96, h8, h46, h47, h87, h88, h37, h48, h23, h60, h67, h44, h84, h13, h24, h15, h36, h73, h5 ;
r11 : h39, h24, h56, h91, h85, h87, h44, h26, h70, h82, h23, h10, h45, h63, h37, h15, h84, h48, h35, h5, h55, h9, h38, h34, h54 ;
r12 : h75, h72, h88, h73, h66, h61, h4, h36, h51, h24, h14, h79, h91, h67, h59, h60, h54, h56, h70, h55, h82, h87, h27, h49, h21 ;
r13 : h66, h73, h97, h54, h92, h25, h84, h27, h45, h85, h4, h75, h59, h32, h74, h91, h23, h52, h30, h5, h87, h38, h34, h46, h20 ;
r14 : h88, h46, h92, h30, h55, h15, h99, h38, h36, h18, h19, h27, h25, h20, h44, h57, h96, h77, h45, h52, h65, h23, h35, h37, h66 ;
r15 : h87, h80, h74, h4, h38, h44, h47, h46, h37, h34, h59, h8, h55, h5, h92, h82, h23, h54, h27, h14, h79, h67, h100, h29, h52 ;
r16 : h49, h67, h92, h97, h5, h38, h46, h79, h70, h35, h54, h45, h88, h85, h48, h87, h29, h55, h24, h84, h96, h75, h44, h36, h47 ;
r17 : h28, h88, h80, h21, h27, h47, h79, h87, h55, h58, h6, h31, h25, h92, h56, h45, h5, h66, h11, h51, h24, h95, h64, h1, h81 ;
r18 : h87, h52, h92, h37, h35, h4, h55, h34, h64, h74, h73, h66, h27, h100, h76, h24, h98, h47, h31, h44, h29, h14, h88, h16, h39 ;
r19 : h59, h5, h82, h55, h61, h18, h48, h46, h92, h25, h75, h83, h1, h69, h4, h45, h9, h88, h47, h66, h41, h65, h24, h14, h31 ;
r20 : h66, h42, h35, h80, h97, h44, h79, h85, h23, h45, h5, h49, h32, h59, h75, h74, h41, h27, h93, h38, h4, h46, h48, h60, h21 ;
r21 : h64, h93, h74, h52, h70, h49, h87, h48, h5, h18, h59, h38, h54, h56, h55, h21, h77, h4, h80, h96, h88, h22, h50, h28, h92 ;
r22 : h92, h5, h18, h13, h82, h41, h87, h55, h56, h23, h59, h31, h70, h37, h81, h73, h1, h8, h28, h88, h79, h46, h52, h100, h96 ;
r23 : h55, h45, h66, h97, h27, h87, h37, h89, h92, h100, h93, h74, h46, h56, h38, h96, h50, h39, h70, h54, h98, h36, h1, h41, h91 ;
r24 : h88, h45, h64, h87, h75, h92, h59, h24, h35, h39, h58, h84, h41, h33, h13, h82, h76, h27, h46, h44, h55, h2, h18, h74, h20 ;
r25 : h44, h55, h45, h59, h73, h5, h87, h82, h54, h90, h46, h61, h53, h36, h97, h31, h35, h91, h79, h27, h8, h4, h65, h96, h37 ;
r26 : h9, h24, h82, h92, h55, h27, h87, h41, h4, h25, h89, h3, h75, h45, h66, h36, h46, h38, h23, h5, h74, h85, h70, h67, h56 ;
r27 : h44, h21, h89, h59, h56, h4, h41, h46, h88, h73, h80, h27, h35, h92, h82, h9, h96, h53, h87, h79, h1, h97, h64, h38, h55 ;
r28 : h23, h96, h27, h34, h55, h18, h59, h5, h41, h26, h83, h47, h80, h22, h49, h82, h67, h44, h4, h64, h38, h24, h75, h30, h8 ;
r29 : h98, h4, h35, h85, h5, h15, h99, h91, h55, h21, h56, h51, h75, h46, h63, h80, h92, h33, h14, h48, h65, h39, h27, h87, h89 ;
r30 : h36, h87, h88, h54, h23, h18, h92, h81, h41, h31, h45, h46, h24, h51, h59, h38, h65, h27, h5, h71, h1, h64, h55, h44, h97 ;
r31 : h87, h6, h39, h41, h55, h52, h54, h2, h21, h88, h45, h79, h86, h80, h37, h43, h31, h24, h48, h56, h4, h5, h74, h16, h34 ;
r32 : h44, h31, h46, h54, h61, h55, h84, h69, h18, h13, h5, h34, h66, h92, h4, h88, h56, h14, h27, h63, h6, h78, h70, h19, h32 ;
r33 : h39, h45, h59, h4, h88, h87, h10, h92, h47, h82, h40, h46, h42, h5, h30, h70, h55, h27, h75, h50, h6, h96, h51, h36, h58 ;
r34 : h96, h12, h4, h57, h35, h46, h9, h39, h50, h48, h22, h100, h55, h75, h69, h5, h80, h72, h56, h1, h54, h24, h25, h15, h18 ;
r35 : h67, h50, h47, h28, h92, h59, h21, h42, h96, h31, h87, h23, h46, h15, h55, h98, h100, h5, h94, h24, h38, h48, h1, h45, h36 ;
r36 : h92, h25, h37, h80, h56, h35, h27, h58, h64, h4, h55, h8, h49, h45, h69, h52, h46, h14, h100, h36, h6, h47, h94, h61, h97 ;
r37 : h87, h31, h52, h37, h5, h49, h58, h74, h91, h85, h95, h32, h23, h6, h8, h82, h77, h96, h35, h46, h4, h45, h56, h28, h44 ;
r38 : h35, h56, h4, h74, h39, h5, h54, h9, h23, h46, h29, h55, h45, h18, h27, h88, h98, h96, h89, h38, h58, h37, h73, h36, h49 ;
r39 : h36, h27, h93, h55, h45, h35, h85, h88, h9, h48, h65, h92, h98, h66, h96, h4, h74, h57, h54, h6, h91, h47, h8, h15, h87 ;
r40 : h44, h92, h45, h35, h70, h46, h21, h79, h8, h4, h67, h58, h87, h50, h55, h41, h24, h65, h27, h91, h74, h34, h15, h64, h48 ;
r41 : h75, h21, h24, h71, h55, h41, h34, h85, h14, h54, h39, h96, h80, h45, h56, h23, h36, h37, h83, h57, h44, h92, h27, h46, h87 ;
r42 : h45, h27, h4, h8, h93, h56, h91, h75, h96, h55, h54, h39, h88, h44, h6, h47, h81, h18, h15, h49, h59, h29, h23, h22, h97 ;
r43 : h14, h95, h5, h39, h59, h24, h55, h6, h98, h41, h45, h44, h65, h88, h27, h91, h66, h42, h36, h89, h67, h31, h50, h60, h61 ;
r44 : h75, h96, h68, h79, h88, h44, h40, h85, h55, h52, h98, h33, h25, h54, h4, h66, h100, h36, h46, h87, h32, h45, h74, h30, h27 ;
r45 : h75, h21, h89, h29, h88, h15, h25, h54, h87, h5, h41, h34, h66, h74, h46, h92, h49, h18, h20, h67, h4, h8, h52, h65, h45 ;
r46 : h56, h61, h32, h54, h66, h27, h2, h76, h15, h73, h45, h51, h75, h4, h88, h25, h14, h68, h69, h46, h35, h93, h81, h59, h74 ;
r47 : h26, h59, h56, h14, h65, h45, h92, h88, h4, h75, h61, h30, h48, h39, h44, h87, h80, h47, h18, h55, h5, h54, h52, h51, h27 ;
r48 : h2, h46, h32, h45, h4, h1, h79, h40, h99, h41, h5, h37, h9, h74, h55, h27, h23, h91, h35, h24, h92, h26, h75, h59, h73 ;
r49 : h4, h18, h13, h87, h38, h35, h25, h49, h58, h27, h55, h23, h41, h73, h46, h50, h45, h66, h85, h92, h6, h20, h8, h37, h5 ;
r50 : h35, h6, h5, h46, h4, h52, h79, h75, h65, h9, h41, h91, h21, h20, h55, h87, h27, h14, h56, h26, h85, h82, h8, h31, h89 ;
