@PartitionA
r1, r2, r3, r4, r5, r6, r7, r8, r9, r10, r11, r12, r13, r14, r15, r16, r17, r18, r19, r20, r21, r22, r23, r24, r25, r26, r27, r28, r29, r30, r31, r32, r33, r34, r35, r36, r37, r38, r39, r40, r41, r42, r43, r44, r45, r46, r47, r48, r49, r50, r51, r52, r53, r54, r55, r56, r57, r58, r59, r60, r61, r62, r63, r64, r65, r66, r67, r68, r69, r70, r71, r72, r73, r74, r75, r76, r77, r78, r79, r80, r81, r82, r83, r84, r85, r86, r87, r88, r89, r90, r91, r92, r93, r94, r95, r96, r97, r98, r99, r100, r101, r102, r103, r104, r105, r106, r107, r108, r109, r110, r111, r112, r113, r114, r115, r116, r117, r118, r119, r120, r121, r122, r123, r124, r125, r126, r127, r128, r129, r130, r131, r132, r133, r134, r135, r136, r137, r138, r139, r140, r141, r142, r143, r144, r145, r146, r147, r148, r149, r150, r151, r152, r153, r154, r155, r156, r157, r158, r159, r160, r161, r162, r163, r164, r165, r166, r167, r168, r169, r170, r171, r172, r173, r174, r175, r176, r177, r178, r179, r180, r181, r182, r183, r184, r185, r186, r187, r188, r189, r190, r191, r192, r193, r194, r195, r196, r197, r198, r199, r200, r201, r202, r203, r204, r205, r206, r207, r208, r209, r210, r211, r212, r213, r214, r215, r216, r217, r218, r219, r220, r221, r222, r223, r224, r225, r226, r227, r228, r229, r230, r231, r232, r233, r234, r235, r236, r237, r238, r239, r240, r241, r242, r243, r244, r245, r246, r247, r248, r249, r250, r251, r252, r253, r254, r255, r256, r257, r258, r259, r260, r261, r262, r263, r264, r265, r266, r267, r268, r269, r270, r271, r272, r273, r274, r275, r276, r277, r278, r279, r280, r281, r282, r283, r284, r285, r286, r287, r288, r289, r290, r291, r292, r293, r294, r295, r296, r297, r298, r299, r300, r301, r302, r303, r304, r305, r306, r307, r308, r309, r310, r311, r312, r313, r314, r315, r316, r317, r318, r319, r320, r321, r322, r323, r324, r325, r326, r327, r328, r329, r330, r331, r332, r333, r334, r335, r336, r337, r338, r339, r340, r341, r342, r343, r344, r345, r346, r347, r348, r349, r350, r351, r352, r353, r354, r355, r356, r357, r358, r359, r360, r361, r362, r363, r364, r365, r366, r367, r368, r369, r370, r371, r372, r373, r374, r375, r376, r377, r378, r379, r380, r381, r382, r383, r384, r385, r386, r387, r388, r389, r390, r391, r392, r393, r394, r395, r396, r397, r398, r399, r400, r401, r402, r403, r404, r405, r406, r407, r408, r409, r410, r411, r412, r413, r414, r415, r416, r417, r418, r419, r420, r421, r422, r423, r424, r425, r426, r427, r428, r429, r430, r431, r432, r433, r434, r435, r436, r437, r438, r439, r440, r441, r442, r443, r444, r445, r446, r447, r448, r449, r450, r451, r452, r453, r454, r455, r456, r457, r458, r459, r460, r461, r462, r463, r464, r465, r466, r467, r468, r469, r470, r471, r472, r473, r474, r475, r476, r477, r478, r479, r480, r481, r482, r483, r484, r485, r486, r487, r488, r489, r490, r491, r492, r493, r494, r495, r496, r497, r498, r499, r500, r501, r502, r503, r504, r505, r506, r507, r508, r509, r510, r511, r512, r513, r514, r515, r516, r517, r518, r519, r520, r521, r522, r523, r524, r525, r526, r527, r528, r529, r530, r531, r532, r533, r534, r535, r536, r537, r538, r539, r540, r541, r542, r543, r544, r545, r546, r547, r548, r549, r550, r551, r552, r553, r554, r555, r556, r557, r558, r559, r560, r561, r562, r563, r564, r565, r566, r567, r568, r569, r570, r571, r572, r573, r574, r575, r576, r577, r578, r579, r580, r581, r582, r583, r584, r585, r586, r587, r588, r589, r590, r591, r592, r593, r594, r595, r596, r597, r598, r599, r600, r601, r602, r603, r604, r605, r606, r607, r608, r609, r610, r611, r612, r613, r614, r615, r616, r617, r618, r619, r620, r621, r622, r623, r624, r625, r626, r627, r628, r629, r630, r631, r632, r633, r634, r635, r636, r637, r638, r639, r640, r641, r642, r643, r644, r645, r646, r647, r648, r649, r650, r651, r652, r653, r654, r655, r656, r657, r658, r659, r660, r661, r662, r663, r664, r665, r666, r667, r668, r669, r670, r671, r672, r673, r674, r675, r676, r677, r678, r679, r680, r681, r682, r683, r684, r685, r686, r687, r688, r689, r690, r691, r692, r693, r694, r695, r696, r697, r698, r699, r700, r701, r702, r703, r704, r705, r706, r707, r708, r709, r710, r711, r712, r713, r714, r715, r716, r717, r718, r719, r720, r721, r722, r723, r724, r725, r726, r727, r728, r729, r730, r731, r732, r733, r734, r735, r736, r737, r738, r739, r740, r741, r742, r743, r744, r745, r746, r747, r748, r749, r750, r751, r752, r753, r754, r755, r756, r757, r758, r759, r760, r761, r762, r763, r764, r765, r766, r767, r768, r769, r770, r771, r772, r773, r774, r775, r776, r777, r778, r779, r780, r781, r782, r783, r784, r785, r786, r787, r788, r789, r790, r791, r792, r793, r794, r795, r796, r797, r798, r799, r800, r801, r802, r803, r804, r805, r806, r807, r808, r809, r810, r811, r812, r813, r814, r815, r816, r817, r818, r819, r820, r821, r822, r823, r824, r825, r826, r827, r828, r829, r830, r831, r832, r833, r834, r835, r836, r837, r838, r839, r840, r841, r842, r843, r844, r845, r846, r847, r848, r849, r850, r851, r852, r853, r854, r855, r856, r857, r858, r859, r860, r861, r862, r863, r864, r865, r866, r867, r868, r869, r870, r871, r872, r873, r874, r875, r876, r877, r878, r879, r880, r881, r882, r883, r884, r885, r886, r887, r888, r889, r890, r891, r892, r893, r894, r895, r896, r897, r898, r899, r900, r901, r902, r903, r904, r905, r906, r907, r908, r909, r910, r911, r912, r913, r914, r915, r916, r917, r918, r919, r920, r921, r922, r923, r924, r925, r926, r927, r928, r929, r930, r931, r932, r933, r934, r935, r936, r937, r938, r939, r940, r941, r942, r943, r944, r945, r946, r947, r948, r949, r950, r951, r952, r953, r954, r955, r956, r957, r958, r959, r960, r961, r962, r963, r964, r965, r966, r967, r968, r969, r970, r971, r972, r973, r974, r975, r976, r977, r978, r979, r980, r981, r982, r983, r984, r985, r986, r987, r988, r989, r990, r991, r992, r993, r994, r995, r996, r997, r998, r999, r1000 ;
@End

@PartitionB
h29 (10, 10), h23 (9, 10), h28 (2, 10), h33 (3, 10), h17 (9, 10), h12 (4, 10), h53 (3, 10), h3 (6, 10), h83 (2, 10), h62 (4, 10), h13 (6, 10), h57 (8, 10), h32 (1, 10), h27 (5, 10), h67 (6, 10), h6 (0, 10), h93 (10, 10), h10 (10, 10), h79 (1, 10), h49 (9, 10), h43 (1, 10), h42 (9, 10), h55 (6, 10), h71 (6, 10), h98 (2, 10), h82 (10, 10), h50 (4, 10), h37 (1, 10), h19 (7, 10), h99 (3, 10), h77 (3, 10), h24 (6, 10), h30 (4, 10), h46 (9, 10), h21 (7, 10), h63 (5, 10), h31 (3, 10), h44 (1, 10), h89 (1, 10), h7 (8, 10), h78 (1, 10), h68 (7, 10), h5 (6, 10), h8 (6, 10), h20 (5, 10), h39 (6, 10), h85 (2, 10), h75 (6, 10), h14 (3, 10), h15 (3, 10), h81 (2, 10), h94 (5, 10), h40 (8, 10), h47 (1, 10), h4 (0, 10), h59 (7, 10), h48 (7, 10), h56 (2, 10), h54 (4, 10), h36 (2, 10), h51 (10, 10), h84 (7, 10), h80 (3, 10), h16 (4, 10), h90 (0, 10), h70 (6, 10), h66 (0, 10), h9 (6, 10), h22 (6, 10), h61 (4, 10), h52 (10, 10), h64 (8, 10), h95 (6, 10), h2 (2, 10), h60 (7, 10), h58 (4, 10), h25 (1, 10), h11 (10, 10), h1 (5, 10), h18 (6, 10), h38 (5, 10), h92 (9, 10), h91 (10, 10), h35 (9, 10), h45 (1, 10), h88 (9, 10), h76 (2, 10), h72 (5, 10), h87 (8, 10), h96 (9, 10), h97 (1, 10), h65 (1, 10), h86 (2, 10), h100 (9, 10), h26 (1, 10), h34 (1, 10), h74 (8, 10), h69 (7, 10), h73 (3, 10), h41 (5, 10) ;
@End

@PreferenceListsA
r1 : h26, h46, h49, h8, h69 ;
r2 : h29, h80, h61, h49, h78 ;
r3 : h74, h37, h88, h52, h55 ;
r4 : h65, h67, h74, h76, h12 ;
r5 : h65, h57, h69, h89, h62 ;
r6 : h8, h37, h74, h20, h99 ;
r7 : h98, h25, h94, h65, h46 ;
r8 : h35, h26, h80, h74, h99 ;
r9 : h18, h92, h35, h12, h37 ;
r10 : h65, h52, h74, h7, h41 ;
r11 : h48, h2, h55, h69, h80 ;
r12 : h26, h40, h43, h84, h61 ;
r13 : h46, h75, h85, h20, h52 ;
r14 : h72, h20, h71, h38, h5 ;
r15 : h98, h3, h65, h23, h71 ;
r16 : h62, h21, h78, h43, h63 ;
r17 : h26, h80, h67, h90, h27 ;
r18 : h62, h68, h84, h35, h24 ;
r19 : h66, h71, h75, h63, h74 ;
r20 : h28, h59, h65, h69, h5 ;
r21 : h21, h95, h43, h44, h52 ;
r22 : h75, h12, h71, h41, h18 ;
r23 : h55, h65, h45, h63, h48 ;
r24 : h24, h37, h2, h98, h65 ;
r25 : h55, h96, h94, h84, h10 ;
r26 : h38, h80, h2, h78, h24 ;
r27 : h78, h20, h96, h50, h18 ;
r28 : h44, h71, h96, h64, h50 ;
r29 : h65, h80, h10, h56, h84 ;
r30 : h62, h58, h61, h12, h63 ;
r31 : h48, h75, h71, h59, h80 ;
r32 : h75, h73, h71, h46, h35 ;
r33 : h97, h26, h52, h12, h36 ;
r34 : h18, h71, h80, h55, h32 ;
r35 : h58, h90, h69, h74, h26 ;
r36 : h73, h2, h26, h75, h35 ;
r37 : h29, h18, h63, h21, h39 ;
r38 : h12, h74, h39, h88, h43 ;
r39 : h71, h28, h9, h8, h18 ;
r40 : h87, h23, h52, h45, h41 ;
r41 : h29, h98, h93, h84, h26 ;
r42 : h5, h68, h50, h16, h23 ;
r43 : h80, h57, h69, h90, h51 ;
r44 : h92, h42, h8, h26, h84 ;
r45 : h10, h50, h62, h46, h18 ;
r46 : h49, h26, h74, h44, h52 ;
r47 : h87, h48, h17, h74, h35 ;
r48 : h24, h85, h63, h90, h69 ;
r49 : h35, h69, h18, h52, h99 ;
r50 : h48, h74, h71, h34, h18 ;
r51 : h68, h52, h3, h2, h36 ;
r52 : h74, h95, h48, h71, h66 ;
r53 : h52, h65, h36, h98, h62 ;
r54 : h91, h26, h94, h73, h55 ;
r55 : h74, h65, h67, h39, h90 ;
r56 : h35, h46, h80, h65, h75 ;
r57 : h16, h32, h5, h12, h29 ;
r58 : h5, h74, h18, h98, h41 ;
r59 : h23, h71, h8, h55, h74 ;
r60 : h23, h88, h52, h55, h44 ;
r61 : h13, h5, h56, h18, h58 ;
r62 : h79, h36, h47, h26, h24 ;
r63 : h24, h73, h56, h48, h12 ;
r64 : h65, h99, h41, h21, h78 ;
r65 : h58, h2, h48, h74, h64 ;
r66 : h93, h48, h18, h88, h68 ;
r67 : h48, h5, h46, h26, h52 ;
r68 : h37, h63, h73, h80, h91 ;
r69 : h32, h69, h62, h26, h2 ;
r70 : h63, h39, h50, h96, h17 ;
r71 : h16, h55, h71, h49, h88 ;
r72 : h48, h75, h69, h3, h87 ;
r73 : h49, h40, h93, h72, h36 ;
r74 : h48, h88, h16, h2, h73 ;
r75 : h35, h74, h72, h88, h55 ;
r76 : h18, h88, h16, h55, h53 ;
r77 : h90, h62, h74, h10, h50 ;
r78 : h80, h8, h95, h18, h40 ;
r79 : h12, h10, h45, h48, h18 ;
r80 : h98, h2, h21, h62, h74 ;
r81 : h58, h18, h55, h29, h87 ;
r82 : h92, h72, h61, h35, h75 ;
r83 : h48, h42, h18, h55, h45 ;
r84 : h63, h55, h71, h46, h60 ;
r85 : h75, h52, h46, h14, h29 ;
r86 : h12, h34, h91, h63, h37 ;
r87 : h62, h76, h26, h18, h52 ;
r88 : h53, h99, h32, h21, h62 ;
r89 : h24, h97, h52, h74, h23 ;
r90 : h85, h21, h17, h35, h80 ;
r91 : h17, h50, h14, h52, h37 ;
r92 : h71, h48, h94, h18, h62 ;
r93 : h62, h64, h81, h46, h65 ;
r94 : h97, h5, h88, h15, h18 ;
r95 : h17, h18, h24, h62, h49 ;
r96 : h41, h18, h71, h100, h90 ;
r97 : h75, h90, h80, h71, h18 ;
r98 : h90, h28, h10, h48, h63 ;
r99 : h64, h83, h2, h55, h75 ;
r100 : h99, h62, h61, h26, h84 ;
r101 : h65, h44, h50, h88, h94 ;
r102 : h26, h29, h61, h68, h37 ;
r103 : h19, h62, h65, h35, h44 ;
r104 : h75, h26, h63, h17, h18 ;
r105 : h71, h21, h97, h18, h13 ;
r106 : h69, h55, h8, h56, h100 ;
r107 : h87, h26, h79, h49, h37 ;
r108 : h64, h80, h66, h1, h84 ;
r109 : h53, h37, h91, h35, h13 ;
r110 : h92, h52, h80, h62, h8 ;
r111 : h96, h52, h69, h8, h65 ;
r112 : h41, h96, h80, h61, h49 ;
r113 : h61, h82, h93, h37, h90 ;
r114 : h49, h64, h58, h14, h62 ;
r115 : h40, h92, h37, h20, h36 ;
r116 : h80, h34, h26, h98, h68 ;
r117 : h68, h96, h48, h62, h12 ;
r118 : h16, h67, h32, h17, h52 ;
r119 : h85, h19, h58, h63, h4 ;
r120 : h74, h62, h57, h8, h78 ;
r121 : h97, h70, h52, h74, h2 ;
r122 : h17, h99, h70, h2, h52 ;
r123 : h30, h18, h11, h37, h74 ;
r124 : h90, h98, h18, h12, h43 ;
r125 : h27, h18, h74, h26, h85 ;
r126 : h37, h55, h18, h61, h40 ;
r127 : h52, h94, h32, h78, h93 ;
r128 : h29, h8, h74, h3, h36 ;
r129 : h69, h93, h18, h62, h55 ;
r130 : h62, h71, h18, h21, h24 ;
r131 : h16, h31, h62, h52, h26 ;
r132 : h81, h36, h38, h62, h71 ;
r133 : h34, h71, h10, h41, h98 ;
r134 : h89, h26, h17, h20, h29 ;
r135 : h55, h36, h80, h61, h50 ;
r136 : h69, h18, h14, h74, h65 ;
r137 : h49, h65, h18, h12, h60 ;
r138 : h17, h43, h20, h23, h71 ;
r139 : h32, h90, h85, h16, h14 ;
r140 : h65, h90, h58, h33, h46 ;
r141 : h26, h62, h50, h77, h71 ;
r142 : h55, h50, h65, h41, h69 ;
r143 : h44, h46, h23, h36, h80 ;
r144 : h93, h65, h49, h80, h45 ;
r145 : h63, h62, h7, h80, h85 ;
r146 : h8, h93, h41, h98, h35 ;
r147 : h43, h37, h83, h26, h3 ;
r148 : h67, h55, h35, h98, h52 ;
r149 : h88, h98, h74, h84, h91 ;
r150 : h48, h73, h83, h84, h46 ;
r151 : h24, h55, h20, h75, h97 ;
r152 : h50, h84, h74, h41, h8 ;
r153 : h75, h71, h62, h59, h49 ;
r154 : h37, h24, h18, h36, h90 ;
r155 : h90, h8, h69, h24, h52 ;
r156 : h96, h91, h62, h48, h35 ;
r157 : h80, h48, h88, h74, h25 ;
r158 : h78, h63, h12, h43, h17 ;
r159 : h61, h5, h64, h65, h2 ;
r160 : h24, h96, h62, h36, h78 ;
r161 : h18, h14, h48, h93, h54 ;
r162 : h64, h20, h40, h71, h35 ;
r163 : h5, h71, h2, h9, h62 ;
r164 : h9, h67, h50, h88, h36 ;
r165 : h23, h18, h71, h70, h34 ;
r166 : h96, h4, h29, h3, h2 ;
r167 : h14, h37, h87, h55, h65 ;
r168 : h7, h44, h14, h5, h78 ;
r169 : h91, h62, h41, h96, h74 ;
r170 : h73, h8, h34, h69, h35 ;
r171 : h85, h37, h41, h46, h23 ;
r172 : h56, h90, h74, h28, h40 ;
r173 : h73, h91, h1, h52, h49 ;
r174 : h85, h64, h35, h26, h65 ;
r175 : h52, h74, h98, h21, h18 ;
r176 : h74, h43, h31, h35, h82 ;
r177 : h8, h2, h60, h76, h62 ;
r178 : h73, h46, h26, h37, h48 ;
r179 : h82, h80, h94, h71, h72 ;
r180 : h74, h51, h62, h26, h48 ;
