@PartitionA
r1, r2, r3, r4, r5, r6, r7, r8, r9, r10, r11, r12, r13, r14, r15, r16, r17, r18, r19, r20, r21, r22, r23, r24, r25, r26, r27, r28, r29, r30, r31, r32, r33, r34, r35, r36, r37, r38, r39, r40, r41, r42, r43, r44, r45, r46, r47, r48, r49, r50, r51, r52, r53, r54, r55, r56, r57, r58, r59, r60, r61, r62, r63, r64, r65, r66, r67, r68, r69, r70, r71, r72, r73, r74, r75, r76, r77, r78, r79, r80, r81, r82, r83, r84, r85, r86, r87, r88, r89, r90, r91, r92, r93, r94, r95, r96, r97, r98, r99, r100, r101, r102, r103, r104, r105, r106, r107, r108, r109, r110, r111, r112, r113, r114, r115, r116, r117, r118, r119, r120, r121, r122, r123, r124, r125, r126, r127, r128, r129, r130, r131, r132, r133, r134, r135, r136, r137, r138, r139, r140, r141, r142, r143, r144, r145, r146, r147, r148, r149, r150, r151, r152, r153, r154, r155, r156, r157, r158, r159, r160, r161, r162, r163, r164, r165, r166, r167, r168, r169, r170, r171, r172, r173, r174, r175, r176, r177, r178, r179, r180, r181, r182, r183, r184, r185, r186, r187, r188, r189, r190, r191, r192, r193, r194, r195, r196, r197, r198, r199, r200, r201, r202, r203, r204, r205, r206, r207, r208, r209, r210, r211, r212, r213, r214, r215, r216, r217, r218, r219, r220, r221, r222, r223, r224, r225, r226, r227, r228, r229, r230, r231, r232, r233, r234, r235, r236, r237, r238, r239, r240, r241, r242, r243, r244, r245, r246, r247, r248, r249, r250, r251, r252, r253, r254, r255, r256, r257, r258, r259, r260, r261, r262, r263, r264, r265, r266, r267, r268, r269, r270, r271, r272, r273, r274, r275, r276, r277, r278, r279, r280, r281, r282, r283, r284, r285, r286, r287, r288, r289, r290, r291, r292, r293, r294, r295, r296, r297, r298, r299, r300, r301, r302, r303, r304, r305, r306, r307, r308, r309, r310, r311, r312, r313, r314, r315, r316, r317, r318, r319, r320, r321, r322, r323, r324, r325, r326, r327, r328, r329, r330, r331, r332, r333, r334, r335, r336, r337, r338, r339, r340, r341, r342, r343, r344, r345, r346, r347, r348, r349, r350, r351, r352, r353, r354, r355, r356, r357, r358, r359, r360, r361, r362, r363, r364, r365, r366, r367, r368, r369, r370, r371, r372, r373, r374, r375, r376, r377, r378, r379, r380, r381, r382, r383, r384, r385, r386, r387, r388, r389, r390, r391, r392, r393, r394, r395, r396, r397, r398, r399, r400, r401, r402, r403, r404, r405, r406, r407, r408, r409, r410, r411, r412, r413, r414, r415, r416, r417, r418, r419, r420, r421, r422, r423, r424, r425, r426, r427, r428, r429, r430, r431, r432, r433, r434, r435, r436, r437, r438, r439, r440, r441, r442, r443, r444, r445, r446, r447, r448, r449, r450, r451, r452, r453, r454, r455, r456, r457, r458, r459, r460, r461, r462, r463, r464, r465, r466, r467, r468, r469, r470, r471, r472, r473, r474, r475, r476, r477, r478, r479, r480, r481, r482, r483, r484, r485, r486, r487, r488, r489, r490, r491, r492, r493, r494, r495, r496, r497, r498, r499, r500, r501, r502, r503, r504, r505, r506, r507, r508, r509, r510, r511, r512, r513, r514, r515, r516, r517, r518, r519, r520, r521, r522, r523, r524, r525, r526, r527, r528, r529, r530, r531, r532, r533, r534, r535, r536, r537, r538, r539, r540, r541, r542, r543, r544, r545, r546, r547, r548, r549, r550, r551, r552, r553, r554, r555, r556, r557, r558, r559, r560, r561, r562, r563, r564, r565, r566, r567, r568, r569, r570, r571, r572, r573, r574, r575, r576, r577, r578, r579, r580, r581, r582, r583, r584, r585, r586, r587, r588, r589, r590, r591, r592, r593, r594, r595, r596, r597, r598, r599, r600, r601, r602, r603, r604, r605, r606, r607, r608, r609, r610, r611, r612, r613, r614, r615, r616, r617, r618, r619, r620, r621, r622, r623, r624, r625, r626, r627, r628, r629, r630, r631, r632, r633, r634, r635, r636, r637, r638, r639, r640, r641, r642, r643, r644, r645, r646, r647, r648, r649, r650, r651, r652, r653, r654, r655, r656, r657, r658, r659, r660, r661, r662, r663, r664, r665, r666, r667, r668, r669, r670, r671, r672, r673, r674, r675, r676, r677, r678, r679, r680, r681, r682, r683, r684, r685, r686, r687, r688, r689, r690, r691, r692, r693, r694, r695, r696, r697, r698, r699, r700, r701, r702, r703, r704, r705, r706, r707, r708, r709, r710, r711, r712, r713, r714, r715, r716, r717, r718, r719, r720, r721, r722, r723, r724, r725, r726, r727, r728, r729, r730, r731, r732, r733, r734, r735, r736, r737, r738, r739, r740, r741, r742, r743, r744, r745, r746, r747, r748, r749, r750, r751, r752, r753, r754, r755, r756, r757, r758, r759, r760, r761, r762, r763, r764, r765, r766, r767, r768, r769, r770, r771, r772, r773, r774, r775, r776, r777, r778, r779, r780, r781, r782, r783, r784, r785, r786, r787, r788, r789, r790, r791, r792, r793, r794, r795, r796, r797, r798, r799, r800, r801, r802, r803, r804, r805, r806, r807, r808, r809, r810, r811, r812, r813, r814, r815, r816, r817, r818, r819, r820, r821, r822, r823, r824, r825, r826, r827, r828, r829, r830, r831, r832, r833, r834, r835, r836, r837, r838, r839, r840, r841, r842, r843, r844, r845, r846, r847, r848, r849, r850, r851, r852, r853, r854, r855, r856, r857, r858, r859, r860, r861, r862, r863, r864, r865, r866, r867, r868, r869, r870, r871, r872, r873, r874, r875, r876, r877, r878, r879, r880, r881, r882, r883, r884, r885, r886, r887, r888, r889, r890, r891, r892, r893, r894, r895, r896, r897, r898, r899, r900, r901, r902, r903, r904, r905, r906, r907, r908, r909, r910, r911, r912, r913, r914, r915, r916, r917, r918, r919, r920, r921, r922, r923, r924, r925, r926, r927, r928, r929, r930, r931, r932, r933, r934, r935, r936, r937, r938, r939, r940, r941, r942, r943, r944, r945, r946, r947, r948, r949, r950, r951, r952, r953, r954, r955, r956, r957, r958, r959, r960, r961, r962, r963, r964, r965, r966, r967, r968, r969, r970, r971, r972, r973, r974, r975, r976, r977, r978, r979, r980, r981, r982, r983, r984, r985, r986, r987, r988, r989, r990, r991, r992, r993, r994, r995, r996, r997, r998, r999, r1000 ;
@End

@PartitionB
h85 (8, 10), h2 (2, 10), h7 (4, 10), h10 (1, 10), h65 (9, 10), h100 (1, 10), h84 (5, 10), h29 (8, 10), h91 (5, 10), h78 (7, 10), h80 (10, 10), h20 (5, 10), h53 (3, 10), h12 (1, 10), h96 (10, 10), h17 (10, 10), h36 (7, 10), h63 (8, 10), h64 (6, 10), h62 (6, 10), h75 (3, 10), h97 (9, 10), h44 (8, 10), h82 (1, 10), h56 (3, 10), h37 (4, 10), h27 (5, 10), h30 (9, 10), h61 (6, 10), h57 (6, 10), h81 (0, 10), h13 (6, 10), h22 (4, 10), h52 (10, 10), h59 (4, 10), h50 (7, 10), h40 (3, 10), h69 (10, 10), h74 (2, 10), h49 (5, 10), h3 (10, 10), h14 (2, 10), h67 (4, 10), h93 (5, 10), h6 (7, 10), h54 (8, 10), h86 (8, 10), h24 (1, 10), h43 (10, 10), h55 (6, 10), h46 (6, 10), h34 (6, 10), h18 (3, 10), h47 (0, 10), h5 (3, 10), h73 (8, 10), h83 (4, 10), h23 (4, 10), h15 (8, 10), h41 (5, 10), h77 (4, 10), h90 (3, 10), h94 (7, 10), h92 (9, 10), h21 (4, 10), h95 (1, 10), h76 (3, 10), h33 (2, 10), h58 (9, 10), h9 (0, 10), h26 (10, 10), h35 (6, 10), h48 (2, 10), h98 (2, 10), h8 (3, 10), h25 (9, 10), h32 (8, 10), h1 (2, 10), h87 (0, 10), h79 (5, 10), h11 (5, 10), h19 (3, 10), h66 (2, 10), h99 (9, 10), h28 (0, 10), h68 (10, 10), h45 (0, 10), h31 (0, 10), h71 (8, 10), h89 (1, 10), h88 (3, 10), h51 (0, 10), h16 (0, 10), h60 (4, 10), h72 (9, 10), h42 (3, 10), h38 (6, 10), h39 (7, 10), h4 (7, 10), h70 (2, 10) ;
@End

@PreferenceListsA
r1 : h39, h6, h41, h92, h78, h26, h49, h98, h71, h40, h30, h81, h63, h14, h82, h60, h10, h24, h72, h46, h52, h54, h19, h45, h100, h37, h99, h23, h35, h16, h12, h55, h31, h73, h51, h64, h34, h67, h61, h7, h1, h84, h68, h69, h53, h88, h90, h4, h83, h47 ;
r2 : h23, h35, h67, h1, h40, h8, h14, h78, h41, h50, h69, h29, h16, h26, h4, h58, h22, h46, h10, h28, h51, h49, h55, h13, h53, h62, h73, h32, h45, h75, h92, h68, h36, h31, h66, h83, h30, h52, h43, h17, h44, h12, h37, h11, h63, h42, h74, h60, h2, h90 ;
r3 : h6, h35, h36, h30, h90, h26, h1, h52, h51, h61, h65, h81, h63, h96, h74, h49, h31, h60, h14, h22, h92, h73, h99, h100, h12, h67, h83, h7, h69, h4, h32, h50, h21, h95, h82, h15, h84, h41, h55, h19, h80, h39, h13, h9, h68, h56, h78, h53, h86, h45 ;
r4 : h22, h35, h30, h1, h61, h4, h84, h11, h93, h23, h13, h95, h45, h75, h67, h97, h53, h49, h6, h90, h99, h12, h46, h27, h31, h40, h8, h14, h34, h83, h87, h60, h56, h80, h70, h47, h76, h91, h39, h58, h50, h65, h71, h9, h21, h10, h82, h63, h19, h36 ;
r5 : h16, h1, h100, h30, h78, h67, h29, h88, h45, h60, h51, h69, h28, h9, h55, h99, h13, h43, h40, h37, h53, h35, h72, h49, h56, h68, h82, h46, h44, h36, h84, h73, h38, h90, h27, h32, h14, h39, h10, h23, h21, h66, h31, h26, h15, h63, h34, h61, h11, h20 ;
r6 : h73, h63, h21, h4, h55, h40, h60, h44, h67, h14, h46, h93, h45, h99, h68, h30, h1, h22, h74, h65, h76, h64, h90, h53, h41, h35, h6, h49, h26, h75, h61, h88, h91, h12, h51, h11, h32, h81, h23, h87, h27, h52, h83, h69, h37, h19, h56, h78, h34, h66 ;
r7 : h51, h16, h63, h11, h45, h14, h49, h83, h32, h72, h9, h12, h35, h88, h67, h22, h78, h82, h34, h26, h50, h10, h2, h1, h74, h53, h36, h77, h73, h65, h81, h44, h60, h30, h4, h92, h89, h76, h91, h6, h93, h57, h75, h19, h54, h5, h39, h90, h21, h61 ;
r8 : h84, h51, h68, h52, h88, h1, h4, h45, h73, h67, h46, h66, h14, h43, h90, h96, h83, h30, h11, h41, h44, h49, h74, h21, h87, h3, h50, h6, h15, h47, h22, h35, h40, h60, h10, h24, h93, h36, h94, h61, h26, h34, h65, h8, h9, h86, h12, h31, h99, h32 ;
r9 : h35, h84, h4, h99, h36, h51, h50, h39, h33, h75, h2, h41, h31, h14, h29, h28, h68, h57, h56, h60, h21, h32, h67, h73, h64, h72, h88, h1, h26, h7, h10, h22, h63, h90, h6, h45, h11, h9, h78, h53, h66, h83, h87, h40, h65, h86, h46, h92, h15, h82 ;
r10 : h1, h14, h49, h51, h56, h73, h45, h34, h53, h87, h30, h10, h68, h4, h67, h82, h52, h88, h66, h83, h23, h40, h60, h35, h81, h32, h63, h97, h43, h50, h61, h11, h78, h84, h46, h19, h21, h69, h36, h24, h27, h71, h13, h41, h26, h16, h91, h47, h65, h85 ;
r11 : h45, h30, h61, h38, h9, h73, h66, h51, h22, h27, h26, h21, h97, h2, h13, h17, h68, h83, h39, h82, h35, h91, h29, h34, h19, h78, h69, h52, h23, h37, h53, h42, h84, h28, h46, h40, h76, h88, h67, h75, h44, h32, h99, h11, h4, h36, h1, h49, h31, h81 ;
r12 : h1, h93, h8, h46, h67, h4, h9, h65, h79, h26, h87, h95, h23, h30, h61, h14, h22, h99, h76, h36, h60, h49, h12, h50, h68, h84, h82, h35, h2, h13, h96, h83, h43, h40, h31, h98, h78, h73, h53, h7, h51, h21, h34, h45, h72, h39, h66, h63, h10, h56 ;
r13 : h53, h84, h67, h10, h69, h26, h50, h61, h90, h49, h60, h27, h86, h45, h35, h46, h72, h74, h30, h38, h2, h31, h22, h68, h4, h51, h1, h39, h88, h29, h36, h43, h82, h66, h15, h12, h73, h63, h14, h100, h71, h11, h93, h8, h83, h40, h54, h70, h24, h21 ;
r14 : h48, h81, h37, h27, h46, h10, h9, h83, h82, h78, h45, h26, h63, h39, h8, h97, h11, h16, h1, h72, h73, h6, h90, h14, h13, h30, h56, h84, h96, h2, h21, h40, h53, h65, h4, h25, h23, h49, h54, h74, h24, h88, h34, h35, h60, h52, h50, h61, h75, h36 ;
r15 : h51, h69, h40, h26, h4, h67, h66, h32, h90, h35, h73, h10, h47, h85, h43, h63, h17, h46, h61, h12, h56, h30, h16, h100, h14, h41, h88, h83, h45, h60, h49, h11, h91, h8, h44, h42, h89, h82, h19, h53, h6, h1, h92, h23, h39, h84, h37, h93, h71, h65 ;
r16 : h37, h83, h35, h14, h23, h29, h90, h40, h50, h36, h45, h16, h84, h52, h2, h11, h55, h34, h63, h30, h9, h13, h89, h27, h67, h15, h99, h26, h21, h91, h69, h61, h68, h24, h12, h1, h75, h92, h76, h78, h51, h82, h43, h53, h6, h42, h64, h71, h22, h4 ;
r17 : h76, h26, h83, h30, h67, h40, h45, h35, h21, h61, h12, h14, h52, h60, h43, h69, h53, h9, h68, h93, h1, h92, h78, h10, h4, h81, h31, h84, h74, h51, h41, h16, h66, h63, h47, h99, h39, h87, h2, h23, h24, h73, h82, h77, h50, h71, h29, h42, h90, h6 ;
r18 : h88, h30, h6, h82, h60, h54, h86, h2, h63, h51, h12, h66, h74, h99, h1, h61, h35, h45, h64, h22, h83, h68, h10, h42, h39, h36, h28, h90, h9, h100, h84, h72, h13, h50, h53, h71, h52, h69, h11, h37, h32, h8, h98, h49, h26, h40, h81, h57, h67, h87 ;
r19 : h91, h68, h21, h14, h93, h81, h61, h60, h48, h26, h40, h23, h35, h32, h67, h96, h8, h83, h9, h77, h69, h78, h99, h82, h45, h73, h12, h30, h37, h63, h10, h39, h1, h90, h88, h41, h49, h76, h24, h53, h47, h84, h22, h11, h51, h92, h65, h16, h36, h66 ;
r20 : h46, h51, h26, h90, h67, h32, h78, h21, h22, h65, h14, h60, h43, h29, h4, h34, h49, h99, h88, h25, h45, h6, h23, h83, h73, h68, h39, h13, h24, h71, h35, h50, h82, h63, h52, h92, h77, h30, h9, h62, h7, h74, h1, h72, h100, h81, h36, h12, h53, h87 ;
r21 : h61, h42, h16, h50, h14, h35, h82, h32, h69, h94, h98, h54, h31, h6, h12, h24, h65, h40, h10, h13, h97, h30, h2, h66, h63, h39, h46, h45, h56, h21, h22, h34, h23, h26, h73, h28, h80, h60, h78, h37, h27, h41, h72, h84, h64, h4, h29, h44, h99, h67 ;
r22 : h4, h39, h69, h66, h36, h8, h30, h43, h58, h64, h16, h32, h53, h45, h60, h65, h41, h35, h99, h63, h40, h67, h10, h22, h90, h13, h28, h61, h46, h78, h55, h88, h87, h23, h9, h6, h49, h1, h51, h12, h19, h75, h74, h21, h42, h93, h7, h68, h84, h52 ;
r23 : h49, h30, h46, h42, h13, h10, h99, h74, h18, h44, h61, h17, h54, h32, h67, h78, h15, h73, h93, h6, h60, h51, h66, h9, h72, h84, h83, h52, h39, h35, h1, h11, h45, h40, h65, h43, h64, h88, h53, h87, h36, h22, h57, h100, h14, h68, h81, h4, h91, h29 ;
r24 : h4, h83, h23, h43, h71, h2, h74, h30, h45, h35, h26, h73, h1, h9, h19, h90, h61, h12, h67, h66, h6, h65, h49, h85, h63, h39, h11, h15, h60, h72, h16, h31, h34, h24, h84, h64, h14, h21, h54, h13, h47, h42, h50, h52, h17, h46, h53, h87, h88, h44 ;
r25 : h44, h70, h73, h99, h46, h2, h87, h32, h30, h66, h50, h14, h67, h6, h40, h27, h76, h22, h97, h53, h61, h71, h39, h42, h41, h15, h26, h60, h16, h35, h81, h91, h13, h84, h49, h83, h45, h24, h9, h74, h96, h68, h23, h93, h92, h56, h82, h90, h31, h64 ;
r26 : h45, h78, h35, h1, h56, h21, h30, h46, h39, h40, h49, h6, h83, h64, h13, h14, h38, h63, h84, h73, h26, h8, h67, h60, h100, h3, h4, h61, h91, h32, h53, h9, h31, h7, h90, h11, h55, h10, h81, h69, h72, h82, h88, h54, h66, h51, h58, h16, h22, h41 ;
r27 : h56, h12, h41, h74, h1, h50, h73, h24, h63, h19, h27, h14, h16, h72, h35, h96, h11, h40, h22, h60, h31, h38, h30, h58, h39, h65, h52, h53, h4, h54, h61, h6, h46, h45, h26, h51, h49, h92, h68, h69, h91, h8, h93, h10, h32, h28, h84, h85, h99, h100 ;
