@PartitionA
r1, r2, r3, r4, r5, r6, r7, r8, r9, r10, r11, r12, r13, r14, r15, r16, r17, r18, r19, r20, r21, r22, r23, r24, r25, r26, r27, r28, r29, r30, r31, r32, r33, r34, r35, r36, r37, r38, r39, r40, r41, r42, r43, r44, r45, r46, r47, r48, r49, r50, r51, r52, r53, r54, r55, r56, r57, r58, r59, r60, r61, r62, r63, r64, r65, r66, r67, r68, r69, r70, r71, r72, r73, r74, r75, r76, r77, r78, r79, r80, r81, r82, r83, r84, r85, r86, r87, r88, r89, r90, r91, r92, r93, r94, r95, r96, r97, r98, r99, r100, r101, r102, r103, r104, r105, r106, r107, r108, r109, r110, r111, r112, r113, r114, r115, r116, r117, r118, r119, r120, r121, r122, r123, r124, r125, r126, r127, r128, r129, r130, r131, r132, r133, r134, r135, r136, r137, r138, r139, r140, r141, r142, r143, r144, r145, r146, r147, r148, r149, r150, r151, r152, r153, r154, r155, r156, r157, r158, r159, r160, r161, r162, r163, r164, r165, r166, r167, r168, r169, r170, r171, r172, r173, r174, r175, r176, r177, r178, r179, r180, r181, r182, r183, r184, r185, r186, r187, r188, r189, r190, r191, r192, r193, r194, r195, r196, r197, r198, r199, r200, r201, r202, r203, r204, r205, r206, r207, r208, r209, r210, r211, r212, r213, r214, r215, r216, r217, r218, r219, r220, r221, r222, r223, r224, r225, r226, r227, r228, r229, r230, r231, r232, r233, r234, r235, r236, r237, r238, r239, r240, r241, r242, r243, r244, r245, r246, r247, r248, r249, r250, r251, r252, r253, r254, r255, r256, r257, r258, r259, r260, r261, r262, r263, r264, r265, r266, r267, r268, r269, r270, r271, r272, r273, r274, r275, r276, r277, r278, r279, r280, r281, r282, r283, r284, r285, r286, r287, r288, r289, r290, r291, r292, r293, r294, r295, r296, r297, r298, r299, r300, r301, r302, r303, r304, r305, r306, r307, r308, r309, r310, r311, r312, r313, r314, r315, r316, r317, r318, r319, r320, r321, r322, r323, r324, r325, r326, r327, r328, r329, r330, r331, r332, r333, r334, r335, r336, r337, r338, r339, r340, r341, r342, r343, r344, r345, r346, r347, r348, r349, r350, r351, r352, r353, r354, r355, r356, r357, r358, r359, r360, r361, r362, r363, r364, r365, r366, r367, r368, r369, r370, r371, r372, r373, r374, r375, r376, r377, r378, r379, r380, r381, r382, r383, r384, r385, r386, r387, r388, r389, r390, r391, r392, r393, r394, r395, r396, r397, r398, r399, r400, r401, r402, r403, r404, r405, r406, r407, r408, r409, r410, r411, r412, r413, r414, r415, r416, r417, r418, r419, r420, r421, r422, r423, r424, r425, r426, r427, r428, r429, r430, r431, r432, r433, r434, r435, r436, r437, r438, r439, r440, r441, r442, r443, r444, r445, r446, r447, r448, r449, r450, r451, r452, r453, r454, r455, r456, r457, r458, r459, r460, r461, r462, r463, r464, r465, r466, r467, r468, r469, r470, r471, r472, r473, r474, r475, r476, r477, r478, r479, r480, r481, r482, r483, r484, r485, r486, r487, r488, r489, r490, r491, r492, r493, r494, r495, r496, r497, r498, r499, r500, r501, r502, r503, r504, r505, r506, r507, r508, r509, r510, r511, r512, r513, r514, r515, r516, r517, r518, r519, r520, r521, r522, r523, r524, r525, r526, r527, r528, r529, r530, r531, r532, r533, r534, r535, r536, r537, r538, r539, r540, r541, r542, r543, r544, r545, r546, r547, r548, r549, r550, r551, r552, r553, r554, r555, r556, r557, r558, r559, r560, r561, r562, r563, r564, r565, r566, r567, r568, r569, r570, r571, r572, r573, r574, r575, r576, r577, r578, r579, r580, r581, r582, r583, r584, r585, r586, r587, r588, r589, r590, r591, r592, r593, r594, r595, r596, r597, r598, r599, r600, r601, r602, r603, r604, r605, r606, r607, r608, r609, r610, r611, r612, r613, r614, r615, r616, r617, r618, r619, r620, r621, r622, r623, r624, r625, r626, r627, r628, r629, r630, r631, r632, r633, r634, r635, r636, r637, r638, r639, r640, r641, r642, r643, r644, r645, r646, r647, r648, r649, r650, r651, r652, r653, r654, r655, r656, r657, r658, r659, r660, r661, r662, r663, r664, r665, r666, r667, r668, r669, r670, r671, r672, r673, r674, r675, r676, r677, r678, r679, r680, r681, r682, r683, r684, r685, r686, r687, r688, r689, r690, r691, r692, r693, r694, r695, r696, r697, r698, r699, r700, r701, r702, r703, r704, r705, r706, r707, r708, r709, r710, r711, r712, r713, r714, r715, r716, r717, r718, r719, r720, r721, r722, r723, r724, r725, r726, r727, r728, r729, r730, r731, r732, r733, r734, r735, r736, r737, r738, r739, r740, r741, r742, r743, r744, r745, r746, r747, r748, r749, r750, r751, r752, r753, r754, r755, r756, r757, r758, r759, r760, r761, r762, r763, r764, r765, r766, r767, r768, r769, r770, r771, r772, r773, r774, r775, r776, r777, r778, r779, r780, r781, r782, r783, r784, r785, r786, r787, r788, r789, r790, r791, r792, r793, r794, r795, r796, r797, r798, r799, r800, r801, r802, r803, r804, r805, r806, r807, r808, r809, r810, r811, r812, r813, r814, r815, r816, r817, r818, r819, r820, r821, r822, r823, r824, r825, r826, r827, r828, r829, r830, r831, r832, r833, r834, r835, r836, r837, r838, r839, r840, r841, r842, r843, r844, r845, r846, r847, r848, r849, r850, r851, r852, r853, r854, r855, r856, r857, r858, r859, r860, r861, r862, r863, r864, r865, r866, r867, r868, r869, r870, r871, r872, r873, r874, r875, r876, r877, r878, r879, r880, r881, r882, r883, r884, r885, r886, r887, r888, r889, r890, r891, r892, r893, r894, r895, r896, r897, r898, r899, r900, r901, r902, r903, r904, r905, r906, r907, r908, r909, r910, r911, r912, r913, r914, r915, r916, r917, r918, r919, r920, r921, r922, r923, r924, r925, r926, r927, r928, r929, r930, r931, r932, r933, r934, r935, r936, r937, r938, r939, r940, r941, r942, r943, r944, r945, r946, r947, r948, r949, r950, r951, r952, r953, r954, r955, r956, r957, r958, r959, r960, r961, r962, r963, r964, r965, r966, r967, r968, r969, r970, r971, r972, r973, r974, r975, r976, r977, r978, r979, r980, r981, r982, r983, r984, r985, r986, r987, r988, r989, r990, r991, r992, r993, r994, r995, r996, r997, r998, r999, r1000 ;
@End

@PartitionB
h7 (0, 10), h77 (0, 10), h85 (4, 10), h39 (1, 10), h12 (7, 10), h47 (5, 10), h17 (8, 10), h1 (1, 10), h8 (6, 10), h45 (0, 10), h43 (2, 10), h80 (5, 10), h52 (7, 10), h18 (3, 10), h57 (0, 10), h6 (6, 10), h40 (6, 10), h94 (5, 10), h55 (6, 10), h83 (5, 10), h19 (1, 10), h65 (6, 10), h81 (9, 10), h72 (6, 10), h86 (4, 10), h31 (8, 10), h87 (4, 10), h3 (3, 10), h100 (4, 10), h62 (2, 10), h50 (8, 10), h49 (5, 10), h30 (3, 10), h95 (0, 10), h24 (3, 10), h9 (6, 10), h29 (8, 10), h71 (2, 10), h74 (7, 10), h33 (4, 10), h88 (10, 10), h2 (1, 10), h76 (10, 10), h54 (9, 10), h38 (7, 10), h78 (0, 10), h53 (3, 10), h14 (6, 10), h60 (8, 10), h98 (2, 10), h97 (9, 10), h90 (0, 10), h4 (8, 10), h69 (3, 10), h23 (6, 10), h48 (0, 10), h28 (7, 10), h15 (10, 10), h20 (9, 10), h51 (6, 10), h89 (3, 10), h42 (10, 10), h27 (0, 10), h11 (5, 10), h10 (7, 10), h61 (7, 10), h96 (10, 10), h82 (1, 10), h13 (6, 10), h58 (9, 10), h70 (3, 10), h5 (1, 10), h63 (2, 10), h41 (6, 10), h44 (10, 10), h25 (4, 10), h26 (10, 10), h16 (9, 10), h91 (9, 10), h22 (1, 10), h56 (2, 10), h84 (2, 10), h64 (5, 10), h75 (8, 10), h37 (7, 10), h66 (5, 10), h73 (7, 10), h36 (5, 10), h32 (9, 10), h79 (10, 10), h92 (10, 10), h59 (3, 10), h93 (7, 10), h67 (5, 10), h35 (1, 10), h34 (4, 10), h21 (7, 10), h46 (2, 10), h68 (4, 10), h99 (5, 10) ;
@End

@PreferenceListsA
r1 : h59, h84, h55, h75, h25, h2, h60, h21, h12, h8, h27, h38, h5, h81, h65, h58, h30, h11, h9, h39, h67, h87, h13, h63, h7, h47, h20, h18, h29, h35, h91, h72, h93, h98, h61, h17, h36, h40, h76, h62, h57, h41, h89, h33, h14, h34, h52, h73, h23, h1, h88, h16, h56, h86, h6, h69, h66, h51, h64, h48, h50, h54, h92, h77, h83, h46, h70, h32, h85, h94, h82, h78, h96, h10, h19 ;
r2 : h13, h53, h41, h52, h18, h12, h77, h14, h8, h11, h100, h55, h21, h27, h20, h33, h67, h89, h93, h81, h50, h83, h2, h1, h46, h96, h72, h75, h58, h73, h86, h5, h17, h88, h56, h34, h87, h69, h63, h36, h70, h76, h32, h60, h97, h9, h39, h91, h61, h10, h95, h94, h29, h31, h62, h23, h57, h47, h59, h80, h22, h35, h4, h30, h26, h25, h51, h54, h74, h79, h66, h71, h90, h40, h49 ;
r3 : h58, h62, h3, h30, h18, h55, h88, h89, h63, h78, h34, h1, h57, h72, h12, h21, h11, h9, h52, h84, h5, h27, h75, h59, h71, h95, h82, h93, h2, h66, h61, h44, h8, h90, h64, h40, h14, h19, h46, h39, h73, h20, h4, h17, h50, h47, h13, h76, h29, h96, h23, h67, h87, h60, h35, h36, h10, h48, h42, h69, h25, h24, h79, h32, h45, h6, h83, h80, h15, h99, h81, h74, h65, h98, h41 ;
r4 : h16, h95, h60, h89, h57, h5, h2, h21, h39, h84, h61, h72, h90, h7, h12, h29, h58, h24, h63, h14, h73, h10, h32, h59, h23, h40, h66, h88, h47, h4, h9, h50, h8, h100, h48, h75, h52, h34, h53, h27, h17, h56, h97, h64, h76, h77, h41, h35, h30, h1, h11, h87, h20, h91, h69, h70, h55, h74, h96, h80, h67, h98, h18, h43, h25, h42, h93, h62, h82, h6, h46, h33, h65, h22, h37 ;
r5 : h12, h9, h50, h34, h93, h76, h62, h5, h78, h23, h27, h55, h83, h66, h73, h60, h35, h63, h96, h81, h52, h1, h87, h77, h53, h17, h31, h57, h21, h3, h84, h72, h11, h82, h69, h42, h95, h70, h47, h25, h74, h59, h58, h32, h75, h94, h4, h18, h30, h40, h19, h88, h67, h68, h49, h10, h14, h29, h20, h89, h39, h86, h41, h13, h38, h8, h43, h56, h61, h51, h46, h65, h26, h2, h90 ;
r6 : h84, h74, h75, h57, h60, h53, h96, h59, h91, h35, h64, h23, h41, h17, h13, h32, h50, h63, h18, h5, h83, h92, h52, h87, h80, h62, h95, h58, h14, h55, h21, h27, h66, h30, h88, h40, h12, h72, h29, h93, h34, h73, h67, h46, h9, h61, h2, h33, h11, h89, h8, h38, h3, h4, h1, h6, h10, h48, h69, h31, h70, h20, h25, h36, h39, h16, h82, h76, h7, h47, h65, h100, h94, h56, h86 ;
r7 : h12, h21, h5, h77, h22, h37, h87, h59, h80, h96, h48, h76, h90, h34, h58, h63, h66, h20, h14, h4, h52, h7, h60, h19, h89, h55, h8, h9, h23, h40, h69, h41, h93, h1, h85, h75, h88, h46, h17, h2, h82, h28, h56, h50, h25, h30, h6, h42, h29, h57, h72, h27, h83, h81, h39, h68, h62, h61, h13, h38, h94, h100, h91, h31, h32, h53, h18, h86, h35, h16, h36, h11, h73, h47, h49 ;
r8 : h69, h36, h75, h88, h67, h57, h3, h14, h55, h92, h27, h63, h1, h11, h9, h47, h84, h93, h95, h51, h72, h100, h16, h61, h25, h12, h21, h85, h23, h58, h96, h34, h89, h7, h32, h59, h77, h60, h87, h62, h18, h82, h70, h52, h5, h2, h31, h10, h98, h38, h8, h41, h20, h35, h94, h64, h80, h73, h56, h48, h90, h4, h17, h91, h50, h76, h29, h74, h39, h66, h13, h53, h33, h68, h54 ;
r9 : h56, h41, h23, h72, h67, h8, h49, h20, h50, h12, h59, h30, h40, h76, h95, h82, h48, h5, h88, h39, h35, h43, h46, h11, h63, h29, h78, h32, h21, h55, h93, h9, h52, h89, h34, h10, h18, h74, h65, h83, h24, h58, h61, h69, h1, h96, h90, h57, h33, h66, h68, h25, h75, h73, h13, h85, h14, h7, h27, h17, h53, h80, h87, h70, h2, h64, h86, h4, h60, h81, h38, h94, h100, h77, h36 ;
r10 : h66, h34, h57, h59, h63, h55, h13, h60, h47, h76, h39, h11, h30, h32, h61, h72, h81, h93, h40, h36, h16, h73, h52, h24, h20, h6, h50, h7, h67, h21, h5, h25, h86, h41, h96, h1, h4, h27, h94, h91, h82, h69, h17, h65, h33, h56, h83, h75, h64, h46, h12, h42, h29, h70, h95, h71, h88, h14, h23, h18, h87, h89, h19, h8, h31, h74, h9, h2, h97, h79, h58, h45, h10, h38, h28 ;
r11 : h39, h21, h59, h31, h57, h11, h6, h96, h23, h73, h14, h78, h32, h72, h55, h47, h52, h5, h17, h29, h25, h1, h63, h95, h18, h34, h61, h94, h74, h37, h76, h75, h69, h43, h8, h12, h97, h88, h89, h87, h9, h41, h62, h20, h2, h90, h36, h49, h60, h67, h19, h35, h82, h85, h50, h54, h30, h33, h27, h80, h4, h46, h66, h7, h56, h40, h38, h70, h24, h86, h81, h13, h93, h79, h65 ;
r12 : h7, h29, h63, h4, h57, h55, h77, h17, h88, h56, h89, h27, h39, h80, h61, h20, h58, h82, h21, h32, h34, h23, h25, h84, h41, h92, h9, h8, h2, h52, h76, h79, h67, h46, h36, h43, h5, h69, h72, h18, h11, h31, h90, h59, h35, h49, h37, h45, h47, h91, h13, h48, h87, h12, h53, h40, h1, h75, h24, h78, h60, h64, h73, h93, h95, h38, h15, h19, h96, h10, h83, h3, h68, h99, h86 ;
r13 : h63, h14, h88, h89, h1, h27, h64, h77, h57, h34, h38, h4, h21, h69, h67, h8, h85, h100, h62, h61, h55, h35, h36, h60, h66, h83, h33, h76, h11, h91, h41, h12, h94, h39, h9, h18, h25, h86, h19, h58, h2, h52, h87, h29, h20, h6, h51, h23, h75, h5, h72, h50, h47, h82, h93, h59, h68, h31, h79, h73, h78, h40, h46, h71, h95, h16, h32, h13, h7, h17, h53, h70, h10, h74, h90 ;
r14 : h30, h24, h40, h55, h72, h47, h21, h98, h62, h70, h66, h8, h39, h7, h50, h34, h27, h56, h73, h29, h89, h65, h46, h28, h5, h14, h57, h76, h88, h11, h67, h43, h9, h61, h23, h75, h59, h91, h69, h58, h18, h41, h35, h94, h52, h100, h87, h25, h60, h63, h44, h77, h96, h3, h20, h12, h1, h53, h17, h32, h74, h6, h64, h10, h86, h36, h93, h85, h16, h80, h82, h78, h13, h2, h33 ;
r15 : h52, h8, h47, h12, h18, h96, h76, h41, h88, h72, h89, h17, h44, h80, h11, h14, h57, h36, h67, h13, h93, h21, h2, h5, h69, h39, h10, h63, h73, h94, h82, h20, h59, h55, h71, h23, h83, h75, h46, h95, h61, h27, h62, h79, h6, h70, h29, h66, h1, h34, h53, h16, h86, h90, h4, h37, h64, h7, h19, h9, h25, h56, h92, h40, h35, h28, h50, h30, h49, h85, h65, h87, h24, h31, h60 ;
r16 : h1, h38, h34, h11, h89, h8, h14, h63, h82, h57, h93, h41, h39, h70, h80, h29, h58, h96, h46, h18, h52, h21, h50, h73, h87, h9, h13, h72, h20, h66, h47, h59, h32, h26, h2, h68, h6, h17, h56, h75, h49, h44, h12, h7, h95, h88, h91, h25, h81, h61, h53, h3, h35, h40, h98, h67, h55, h10, h5, h74, h94, h60, h69, h85, h62, h64, h27, h86, h84, h31, h36, h23, h100, h71, h65 ;
r17 : h20, h56, h29, h33, h63, h73, h89, h70, h42, h1, h2, h5, h52, h61, h93, h59, h72, h9, h19, h11, h69, h66, h77, h68, h76, h83, h18, h88, h14, h67, h57, h91, h12, h62, h81, h23, h64, h35, h82, h31, h95, h27, h75, h96, h34, h55, h79, h40, h86, h78, h58, h60, h7, h87, h39, h21, h90, h36, h47, h32, h84, h50, h17, h16, h41, h65, h94, h24, h46, h80, h25, h53, h48, h22, h85 ;
r18 : h29, h17, h72, h93, h32, h95, h27, h12, h88, h66, h18, h23, h6, h52, h59, h21, h34, h2, h25, h55, h73, h63, h20, h83, h5, h57, h75, h82, h14, h89, h35, h9, h39, h50, h87, h76, h58, h78, h94, h41, h8, h11, h64, h47, h1, h62, h61, h7, h100, h86, h49, h19, h80, h33, h81, h67, h48, h96, h99, h69, h24, h43, h42, h46, h90, h84, h13, h91, h53, h71, h30, h28, h60, h4, h31 ;
